Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Dion Sims,TE,2500,Mia@Phi 01:00PM ET,3.5,Mia,,1.6,3.74,1.8,3.99,3.4,3.323,2.9755,3.99,1.6,2.39,0.803226348513
Jerome Cunningham,TE,2500,NE@NYG 04:25PM ET,2.15,NYG,,,,,3.76,0.21,,1.985,3.76,0.21,3.55,1.78841309824
Nic Jacobs,TE,2500,Jax@Bal 01:00PM ET,0.2,Jax,,,,,,,,,,,,
Brandon Williams,TE,2500,Mia@Phi 01:00PM ET,0.0,Mia,,,,,,,,,,,,
Cooper Helfet,TE,2500,Ari@Sea 08:30PM ET,0.0,Sea,,,,,,,,,,,,
Trey Burton,TE,2500,Mia@Phi 01:00PM ET,0.0,Phi,,,,,,,,,,,,
James O'Shaughnessy,TE,2500,KC@Den 04:25PM ET,2.1,KC,,,3.24,,,,3.383,3.3115,3.383,3.24,0.143,0.0431828476521
MyCole Pruitt,TE,2500,Min@Oak 04:05PM ET,0.925,Min,,1.4,,1.7,1.48,,,1.52666666667,1.7,1.4,0.3,0.196506550218
Cameron Brate,TE,2500,Dal@TB 01:00PM ET,3.133,TB,,,3.67,,,,1.121,2.3955,3.67,1.121,2.549,1.06407848048
Will Tye,TE,2500,NE@NYG 04:25PM ET,3.1,NYG,4.0,,,,8.69,,5.432,6.04066666667,8.69,4.0,4.69,0.776404370379
Chase Ford,TE,2500,Min@Oak 04:05PM ET,0.0,Min,,,,,,,,,,,,
Clive Walford,TE,2500,Min@Oak 04:05PM ET,3.675,Oak,2.0,1.4,2.13,1.7,6.16,3.62,2.43,2.77714285714,6.16,1.4,4.76,1.71399176955
C.J. Fiedorowicz,TE,2500,Hou@Cin 08:30PM ET,2.863,Hou,,,3.61,,,0.04,1.941,1.86366666667,3.61,0.04,3.57,1.91557860848
Brian Parker,TE,2500,KC@Den 04:25PM ET,0.0,KC,,,,,,,,,,,,
Scott Simonson,TE,2500,Car@Ten 01:00PM ET,0.0,Car,,,,,,,,,,,,
Tyler Kroft,TE,2500,Hou@Cin 08:30PM ET,0.0,Cin,,1.4,,1.7,,,,1.55,1.7,1.4,0.3,0.193548387097
C.J. Uzomah,TE,2500,Hou@Cin 08:30PM ET,0.0,Cin,,,,,,,,,,,,
Demetrius Harris,TE,2500,KC@Den 04:25PM ET,0.438,KC,,,,,1.94,,,1.94,1.94,1.94,0.0,0.0
Nick Boyle,TE,2500,Jax@Bal 01:00PM ET,2.788,Bal,,2.6,5.81,2.3,,0.01,,2.68,5.81,0.01,5.8,2.16417910448
Kennard Backman,TE,2500,Det@GB 01:00PM ET,0.0,GB,,1.2,,1.6,,0.18,,0.993333333333,1.6,0.18,1.42,1.42953020134
Troy Niklas,TE,2500,Ari@Sea 08:30PM ET,2.188,Ari,,,,,,,3.27,3.27,3.27,3.27,0.0,0.0
Phillip Supernaw,TE,2500,Car@Ten 01:00PM ET,0.0,Ten,,,,,,,,,,,,
Maxx Williams,TE,2500,Jax@Bal 01:00PM ET,3.257,Bal,,6.4,6.41,6.2,4.47,2.45,2.789,4.7865,6.41,2.45,3.96,0.827326856785
Jesse James,TE,2500,Cle@Pit 01:00PM ET,9.3,Pit,,3.0,,2.5,,0.41,1.132,1.7605,3.0,0.41,2.59,1.47117296223
Derek Carrier,TE,2500,NO@Was 01:00PM ET,3.588,Was,,2.6,3.05,3.3,2.7,3.19,4.116,3.15933333333,4.116,2.6,1.516,0.479848069213
Geoff Swaim,TE,2500,Dal@TB 01:00PM ET,0.5,Dal,,,,,,,,,,,,
E.J. Bibbs,TE,2500,Cle@Pit 01:00PM ET,0.0,Cle,,,,,,,,,,,,
Khari Lee,TE,2500,Chi@StL 01:00PM ET,0.0,Chi,,,,,,0.01,,0.01,0.01,0.01,0.0,0.0
Giants ,DST,2400,NE@NYG 04:25PM ET,9.667,NYG,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,0.0,0.0
Saints ,DST,2300,NO@Was 01:00PM ET,5.556,NO,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0.0,0.0
Bears ,DST,2200,Chi@StL 01:00PM ET,4.25,Chi,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0
Titans ,DST,2200,Car@Ten 01:00PM ET,6.875,Ten,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,0.0,0.0
Lions ,DST,2100,Det@GB 01:00PM ET,6.125,Det,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,0.0,0.0
Raiders ,DST,2100,Min@Oak 04:05PM ET,5.75,Oak,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,0.0,0.0
Browns ,DST,2000,Cle@Pit 01:00PM ET,5.889,Cle,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,0.0,0.0
