,Unnamed: 0,player,fftoday,dk_name
59,63,Frank Gore,7.6,Frank Gore
60,64,Giovani Bernard,7.2,Giovani Bernard
61,65,Alfred Blue,6.6,Alfred Blue
62,66,Ronnie Hillman,6.6,Ronnie Hillman
63,67,Duke Johnson,6.7,Duke Johnson
64,68,Antonio Andrews,6.05,Antonio Andrews
65,69,Alfred Morris,6.0,Alfred Morris
66,70,Ameer Abdullah,5.05,NaN
67,71,Melvin Gordon,5.05,Melvin Gordon
68,72,Matt Jones,5.15,Matt Jones
69,73,Theo Riddick,5.3,NaN
70,74,James Starks,5.15,NaN
71,75,Isaiah Crowell,4.55,Isaiah Crowell
72,76,Rashad Jennings,4.6,Rashad Jennings
73,77,Charles Sims,4.7,Charles Sims
74,78,Darren Sproles,4.65,Darren Sproles
75,79,James White,4.65,James White
76,80,Shane Vereen,4.2,Shane Vereen
77,81,Jay Ajayi,3.55,Jay Ajayi
78,82,Chris Thompson,3.7,Chris Thompson
79,83,Joique Bell,3.05,NaN
80,84,David Cobb,3.05,David Cobb
81,85,Jonathan Grimes,3.05,Jonathan Grimes
82,88,Dan Herron,3.05,Dan Herron
83,89,Bilal Powell,3.15,Bilal Powell
84,90,C.J. Spiller,3.1,C.J. Spiller
85,91,Terrance West,2.55,Terrance West
86,92,Brandon Bolden,2.05,Brandon Bolden
87,93,Tevin Coleman,2.05,Tevin Coleman
88,94,Benny Cunningham,2.1,Benny Cunningham
89,95,Fred Jackson,2.05,Fred Jackson
90,96,Denard Robinson,2.05,Denard Robinson
91,97,Mike Tolbert,2.05,Mike Tolbert
92,98,Robert Turbin,2.0,Robert Turbin
93,99,Anthony Dixon,1.5,Anthony Dixon
94,100,Tre Mason,1.5,Tre Mason
95,101,Jerick McKinnon,1.55,Jerick McKinnon
96,102,Marcel Reece,1.55,Marcel Reece
97,103,Stepfan Taylor,1.5,Stepfan Taylor
98,108,Odell Beckham Jr.,17.4,Odell Beckham Jr.
99,109,Antonio Brown,17.45,Antonio Brown
100,110,Julio Jones,16.9,Julio Jones
101,111,DeAndre Hopkins,16.35,DeAndre Hopkins
102,112,Allen Robinson,16.35,Allen Robinson
103,113,Alshon Jeffery,15.85,Alshon Jeffery
104,114,Larry Fitzgerald,15.4,Larry Fitzgerald
105,115,A.J. Green,15.4,A.J. Green
106,116,Brandon Marshall,15.35,Brandon Marshall
107,117,Calvin Johnson,14.8,NaN
108,118,Demaryius Thomas,14.3,Demaryius Thomas
109,119,Kamar Aiken,13.85,Kamar Aiken
110,120,Danny Amendola,13.85,Danny Amendola
111,121,Travis Benjamin,13.8,Travis Benjamin
112,122,Martavis Bryant,13.85,Martavis Bryant
113,123,Amari Cooper,13.8,Amari Cooper
114,124,Mike Evans,13.75,Mike Evans
115,125,T.Y. Hilton,13.75,T.Y. Hilton
116,126,Jarvis Landry,13.9,Jarvis Landry
117,127,Sammy Watkins,13.85,Sammy Watkins
118,128,Anquan Boldin,13.3,Anquan Boldin
119,129,Eric Decker,13.3,Eric Decker
120,130,DeSean Jackson,13.2,DeSean Jackson
121,131,Brandon LaFell,13.25,Brandon LaFell
122,132,Donte Moncrief,13.3,Donte Moncrief
123,133,John Brown,12.75,John Brown
124,134,Dez Bryant,12.75,Dez Bryant
125,135,Randall Cobb,12.75,NaN
126,136,Michael Crabtree,12.75,Michael Crabtree
127,137,Vincent Jackson,12.7,Vincent Jackson
128,138,Golden Tate,12.75,NaN
129,139,Kendall Wright,12.8,Kendall Wright
130,140,Doug Baldwin,12.25,Doug Baldwin
131,141,Jordan Matthews,12.2,Jordan Matthews
132,142,Emmanuel Sanders,12.2,Emmanuel Sanders
133,143,Nate Washington,11.7,Nate Washington
134,144,Tavon Austin,11.25,Tavon Austin
135,145,Dwayne Harris,11.2,Dwayne Harris
136,146,Jeremy Maclin,7.8,Jeremy Maclin
137,147,Marvin Jones,7.35,Marvin Jones
138,148,DeVante Parker,7.3,DeVante Parker
139,149,Brandin Cooks,6.85,Brandin Cooks
140,150,Steve Johnson,6.75,Steve Johnson
141,151,Davante Adams,5.7,NaN
142,152,James Jones,5.7,NaN
143,153,Stefon Diggs,5.2,Stefon Diggs
144,154,Michael Floyd,5.2,Michael Floyd
145,155,Devin Funchess,5.25,Devin Funchess
146,156,Ted Ginn Jr.,5.2,Ted Ginn Jr.
147,157,Chris Givens,5.15,Chris Givens
148,160,Dontrelle Inman,5.2,Dontrelle Inman
149,161,Tyler Lockett,5.15,Tyler Lockett
150,162,Brian Hartline,4.75,Brian Hartline
151,163,Cecil Shorts,4.7,Cecil Shorts
152,164,Marques Colston,4.15,Marques Colston
153,165,Pierre Garcon,4.15,Pierre Garcon
154,166,Jermaine Kearse,4.2,Jermaine Kearse
155,167,Marqise Lee,4.15,Marqise Lee
156,168,Rueben Randle,4.15,Rueben Randle
157,169,Terrance Williams,4.15,Terrance Williams
158,170,Robert Woods,4.15,Robert Woods
159,171,Harry Douglas,3.65,Harry Douglas
160,172,Dorial Green-Beckham,3.65,Dorial Green-Beckham
161,173,Keshawn Martin,3.65,Keshawn Martin
162,174,Torrey Smith,3.6,Torrey Smith
163,175,Nelson Agholor,3.1,Nelson Agholor
164,176,Cole Beasley,3.15,Cole Beasley
165,177,Josh Bellamy,3.1,Josh Bellamy
166,178,Kenny Britt,3.1,Kenny Britt
167,179,Justin Hardy,3.1,Justin Hardy
168,180,Chris Hogan,3.1,Chris Hogan
169,181,Adam Humphries,3.1,Adam Humphries
170,182,Charles Johnson,3.1,Charles Johnson
171,183,Kenny Stills,3.15,Kenny Stills
172,184,Mike Wallace,3.1,Mike Wallace
173,185,Markus Wheaton,3.1,Markus Wheaton
174,186,Roddy White,3.15,Roddy White
175,187,Jarius Wright,3.15,Jarius Wright
176,188,Brandon Coleman,2.6,Brandon Coleman
177,189,Jamison Crowder,2.6,Jamison Crowder
178,190,Andre Johnson,2.6,Andre Johnson
179,191,Quinton Patton,2.6,Quinton Patton
180,192,Chris Conley,2.1,Chris Conley
181,193,Riley Cooper,2.1,Riley Cooper
182,194,Jerricho Cotchery,2.1,Jerricho Cotchery
183,195,Quincy Enunwa,2.1,Quincy Enunwa
184,196,Malcom Floyd,2.1,Malcom Floyd
185,197,Bennie Fowler,2.05,Bennie Fowler
186,198,Andre Holmes,2.1,Andre Holmes
187,199,Josh Huff,2.1,Josh Huff
188,200,Lance Moore,2.1,NaN
189,201,J.J. Nelson,2.1,NaN
190,202,Mohamed Sanu,2.1,Mohamed Sanu
191,203,Devin Smith,2.1,Devin Smith
192,204,Wes Welker,2.1,Wes Welker
193,205,Griff Whalen,2.1,Griff Whalen
194,206,Albert Wilson,2.1,Albert Wilson
195,207,Cody Latimer,1.55,Cody Latimer
196,208,Miles Austin,1.05,Miles Austin
197,209,Jaron Brown,1.05,Jaron Brown
198,212,Greg Olsen,13.85,Greg Olsen
199,213,Gary Barnidge,12.8,Gary Barnidge
200,214,Travis Kelce,12.8,Travis Kelce
201,215,Julius Thomas,12.8,Julius Thomas
202,216,Delanie Walker,12.8,Delanie Walker
203,217,Jordan Reed,12.25,Jordan Reed
204,218,Martellus Bennett,11.75,Martellus Bennett
205,219,Antonio Gates,11.75,Antonio Gates
206,220,Ben Watson,11.25,NaN
207,221,Scott Chandler,10.7,Scott Chandler
208,222,Crockett Gillmore,5.2,Crockett Gillmore
209,223,Jacob Tamme,5.25,Jacob Tamme
210,224,Zach Ertz,4.65,Zach Ertz
211,225,Jason Witten,4.7,Jason Witten
212,226,Charles Clay,4.2,Charles Clay
213,227,Jared Cook,4.2,Jared Cook
214,228,Eric Ebron,4.15,NaN
215,229,Coby Fleener,4.2,Coby Fleener
216,230,Vance McDonald,4.2,Vance McDonald
217,231,Richard Rodgers,4.2,NaN
218,232,Kyle Rudolph,4.2,Kyle Rudolph
219,233,Jordan Cameron,3.7,Jordan Cameron
220,234,Luke Willson,3.65,Luke Willson
221,235,Vernon Davis,3.15,Vernon Davis
222,236,Ryan Griffin,3.15,Ryan Griffin
223,237,Jesse James,3.15,Jesse James
224,238,Will Tye,3.15,Will Tye
225,239,Cameron Brate,2.6,Cameron Brate
226,240,Owen Daniels,2.6,Owen Daniels
227,241,Ladarius Green,2.6,Ladarius Green
228,242,Tyler Kroft,2.6,Tyler Kroft
229,243,Mychal Rivera,2.6,Mychal Rivera
230,244,Brent Celek,2.1,Brent Celek
231,245,Jermaine Gresham,2.1,Jermaine Gresham
232,246,Clive Walford,2.1,Clive Walford
233,247,Dwayne Allen,1.55,Dwayne Allen
234,248,Ed Dickson,1.05,Ed Dickson
235,249,Gavin Escobar,1.05,Gavin Escobar
236,250,Darren Fells,1.05,Darren Fells
237,251,Heath Miller,1.05,Heath Miller
238,252,Zach Miller,1.05,Zach Miller
239,253,Austin Seferian-Jenkins,1.05,Austin Seferian-Jenkins
