,Id,Name,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,upside,final
232,34073,Ryan Griffin,TE,4900,HOU@BUF,6.1,HOU,3.15,1.785,2.76,2.2,4.265,2.26,2.736666667,4.265,1.785,2.48,0.906211937,1.528333333,9.05
233,6607,Mike Wallace,WR,4900,SEA@MIN,4.8,MIN,3.1,11.245,4.19,12.65,4.275,3.4355,6.482583333,12.65,3.1,9.55,1.473178131,6.167416667,4.4
234,22920,Derek Carrier,TE,4900,DAL@WAS,2.5,WAS,,1.365,2.585,1.25,1.79,2.3455,1.8671,2.585,1.25,1.335,0.715012586,0.7179,
235,11890,Bryan Walters,WR,4900,JAC@TEN,5.6,JAC,,2.205,4.295,2.1,,2.856,2.864,4.295,2.1,2.195,0.766410615,1.431,1.9
236,6522,Josh Brown,K,4900,NYJ@NYG,10.0,NYG,,,,,,,,,,,,,
237,22991,Jonathan Grimes,RB,4900,HOU@BUF,4.0,HOU,3.05,,4.59,,4.46,1.466,3.3915,4.59,1.466,3.124,0.921126345,1.1985,6.4
238,54782,Cameron Brate,TE,4900,ATL@TB,4.8,TB,2.6,,3.255,,,2.725,2.86,3.255,2.6,0.655,0.229020979,0.395,1.3
239,27457,Kenny Stills,WR,4900,BAL@MIA,5.1,MIA,3.15,9.99,5.055,10.05,7.08,2.3265,6.27525,10.05,2.3265,7.7235,1.230787618,3.77475,
240,12903,Andrew Hawkins,WR,4900,CIN@CLE,5.1,CLE,,4.195,,,,,4.195,4.195,4.195,0.0,0.0,0.0,
241,46882,Jay Ajayi,RB,4900,BAL@MIA,5.3,MIA,3.55,1.745,4.73,1.75,6.66,4.6655,3.850083333,6.66,1.745,4.915,1.276595745,2.809916667,3.2
242,30403,Chris Conley,WR,4900,KC@OAK,2.8,KC,2.1,,1.855,,2.06,2.182,2.04925,2.182,1.855,0.327,0.159570575,0.13275,
243,31261,Tre Mason,RB,4900,ARI@STL,3.1,STL,1.5,3.435,1.45,3.05,3.415,1.43,2.38,3.435,1.43,2.005,0.842436975,1.055,2.4
244,27441,Damien Williams,RB,4900,BAL@MIA,1.6,MIA,,1.225,,1.35,,,1.2875,1.35,1.225,0.125,0.097087379,0.0625,
245,29357,Kenjon Barner,RB,4900,PHI@NE,1.5,PHI,,,2.945,,,,2.945,2.945,2.945,0.0,0.0,0.0,2.7
246,28502,Devin Smith,WR,4900,NYJ@NYG,2.5,NYJ,2.1,1.68,2.45,2.1,3.685,1.0345,2.174916667,3.685,1.0345,2.6505,1.218667382,1.510083333,
247,32045,Vance McDonald,TE,4900,SF@CHI,4.2,SF,4.2,,3.105,,5.215,5.42,4.485,5.42,3.105,2.315,0.516164994,0.935,1.9
248,24797,Juwan Thompson,RB,4900,DEN@SD,0.3,DEN,,,,,,,,,,,,,4.15
249,14761,Andre Holmes,WR,4900,KC@OAK,3.9,OAK,2.1,1.365,3.38,1.55,2.085,2.355,2.139166667,3.38,1.365,2.015,0.94195559,1.240833333,
250,12553,Carolina Panthers,D,4900,CAR@NO,11.6,CAR,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,0.0,0.0,0.0,
251,12556,Houston Texans,D,4900,HOU@BUF,7.5,HOU,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,0.0,0.0,-8.88e-16,
252,39445,Brice Butler,WR,4900,DAL@WAS,3.1,DAL,,,,,,,,,,,,,
253,7972,Darren Sproles,RB,4900,PHI@NE,7.1,PHI,4.65,13.095,5.52,7.15,7.47,5.328,7.202166667,13.095,4.65,8.445,1.172563812,5.892833333,10.2
254,7975,Mike Tolbert,RB,4900,CAR@NO,4.2,CAR,2.05,9.075,4.605,3.3,3.9,3.967,4.482833333,9.075,2.05,7.025,1.567089266,4.592166667,11.2
255,21123,Larry Donnell,TE,4900,NYJ@NYG,6.1,NYG,,,,,,,,,,,,,
256,23045,Justin Tucker,K,4900,BAL@MIA,9.8,BAL,,,,,,,,,,,,,
257,10647,Matt Bryant,K,4900,ATL@TB,7.4,ATL,,,,,,,,,,,,,
258,7857,Wes Welker,WR,4900,ARI@STL,3.1,STL,2.1,,2.94,,1.375,2.1935,2.152125,2.94,1.375,1.565,0.727188244,0.787875,1.6
259,25886,Devin Street,WR,4900,DAL@WAS,1.5,DAL,,,,,,4.354,4.354,4.354,4.354,0.0,0.0,0.0,
260,11577,Riley Cooper,WR,4900,PHI@NE,4.2,PHI,2.1,1.68,2.86,1.75,3.9,3.1555,2.57425,3.9,1.68,2.22,0.862387103,1.32575,1.45
261,6724,Steven Hauschka,K,4900,SEA@MIN,9.0,SEA,,,,,,,,,,,,,
