,Unnamed: 0,player,fire,dk_name
163,163,Tyler Kroft ,3.348,Tyler Kroft
164,164,Richard Rodgers ,3.6265,NaN
165,165,Jay Ajayi ,4.6655,Jay Ajayi
166,166,Jerricho Cotchery ,4.165,Jerricho Cotchery
167,167,Roddy White ,3.659,Roddy White
168,168,Matt Jones ,4.603,Matt Jones
169,169,Marques Colston ,3.6347,Marques Colston
170,170,Devin Street ,4.354,Devin Street
171,171,Chris Thompson ,3.598,Chris Thompson
172,172,Jesse James ,3.076,Jesse James
173,173,Mike Wallace ,3.4355,Mike Wallace
174,174,Nelson Agholor ,3.05,Nelson Agholor
175,175,Shane Vereen ,3.89,Shane Vereen
176,176,Andre Johnson ,3.5315,Andre Johnson
177,177,Coby Fleener ,3.1605,Coby Fleener
178,178,Eddie Royal ,3.309,Eddie Royal
179,179,Markus Wheaton ,3.7135,Markus Wheaton
180,180,Mike Tolbert ,3.967,Mike Tolbert
181,181,Torrey Smith ,3.754,Torrey Smith
182,182,Jared Cook ,2.9915,Jared Cook
183,183,Luke Willson ,3.271,Luke Willson
184,184,Dwayne Harris ,3.1906,Dwayne Harris
185,185,Cole Beasley ,3.092,Cole Beasley
186,186,Mychal Rivera ,3.1525,Mychal Rivera
187,187,Jeremy Kerley ,3.385,Jeremy Kerley
188,188,Joique Bell ,3.9575,NaN
189,189,Anthony Fasano ,3.31,Anthony Fasano
190,190,Spencer Ware ,4.413,Spencer Ware
191,191,Bilal Powell ,3.376,Bilal Powell
192,192,Brandon Tate ,3.4095,Brandon Tate
193,193,Josh Huff ,2.8405,Josh Huff
194,194,Harry Douglas ,2.814,Harry Douglas
195,195,Dontrelle Inman ,3.137,Dontrelle Inman
196,196,Bryan Walters ,2.856,Bryan Walters
197,197,C.J. Fiedorowicz ,2.3195,C.J. Fiedorowicz
198,198,Quinton Patton ,2.8175,Quinton Patton
199,199,Ryan Grant ,2.6605,Ryan Grant
200,200,Brandon Coleman ,2.945,Brandon Coleman
201,201,Riley Cooper ,3.1555,Riley Cooper
202,202,Taiwan Jones ,3.3395,Taiwan Jones
203,203,Tevin Coleman ,3.218,Tevin Coleman
204,204,Jermaine Gresham ,2.818,Jermaine Gresham
205,205,Ladarius Green ,2.6675,Ladarius Green
206,206,Tyler Lockett ,2.3715,Tyler Lockett
207,207,C.J. Spiller ,2.379,C.J. Spiller
208,208,Cameron Brate ,2.725,Cameron Brate
209,209,Derek Carrier ,2.3455,Derek Carrier
210,210,Wes Welker ,2.1935,Wes Welker
211,211,Dan Herron ,2.54,Dan Herron
212,212,Chris Hogan ,2.177,Chris Hogan
213,213,Kenny Stills ,2.3265,Kenny Stills
214,214,James White ,2.3385,James White
215,215,Bennie Fowler ,2.199,Bennie Fowler
216,216,Chris Conley ,2.182,Chris Conley
217,217,Nick Williams ,2.246,Nick Williams
218,218,Charles Johnson ,2.1866,Charles Johnson
219,219,Chris Polk ,2.3735,Chris Polk
220,220,Troy Niklas ,2.5565,NaN
221,221,Jason Avant ,1.897,Jason Avant
222,222,Ryan Griffin ,2.26,Ryan Griffin
223,223,Brandon Myers ,1.732,Brandon Myers
224,224,Andre Holmes ,2.355,Andre Holmes
225,225,Brandon Bolden ,1.907,Brandon Bolden
226,226,Clive Walford ,2.053,Clive Walford
227,227,Griff Whalen ,1.9782,Griff Whalen
228,228,Andre Caldwell ,1.6295,Andre Caldwell
229,229,Andre Williams ,2.132,Andre Williams
230,230,Rhett Ellison ,1.8445,Rhett Ellison
231,231,Jaelen Strong ,2.1235,Jaelen Strong
232,232,Miles Austin ,1.7965,Miles Austin
233,233,Lance Kendricks ,1.5305,Lance Kendricks
234,234,Robert Turbin ,2.4235,Robert Turbin
235,235,Donteea Dye ,1.665,Donteea Dye
236,236,Brent Celek ,1.835,Brent Celek
237,237,Denard Robinson ,1.846,Denard Robinson
238,238,Tre Mason ,1.43,Tre Mason
239,239,Keith Mumphery ,1.2485,Keith Mumphery
240,240,John Kuhn ,1.672,NaN
241,241,Dion Sims ,1.254,Dion Sims
242,242,Justin Hardy ,1.35,Justin Hardy
243,243,Hakeem Nicks ,1.226,Hakeem Nicks
244,244,Craig Stevens ,1.1755,Craig Stevens
245,245,Ed Dickson ,1.297,Ed Dickson
246,246,Orleans Darkwa ,1.7431,Orleans Darkwa
247,247,Chris Gragg ,1.3135,Chris Gragg
248,248,Marcel Reece ,1.2055,Marcel Reece
249,249,Tony Moeaki ,1.2535,NaN
250,250,Jonathan Grimes ,1.466,Jonathan Grimes
251,251,Greg Jennings ,1.2135,Greg Jennings
252,252,Bishop Sankey ,1.5415,Bishop Sankey
253,253,Jeff Cumberland ,1.151,Jeff Cumberland
254,254,Dwayne Allen ,1.169,Dwayne Allen
255,255,David Cobb ,1.775,David Cobb
256,257,Will Johnson ,1.4235,NaN
257,258,Terron Ward ,1.0535,Terron Ward
258,259,Marcedes Lewis ,1.0425,Marcedes Lewis
259,260,Cedric Peerman ,1.0715,Cedric Peerman
260,262,Bruce Miller ,1.268,Bruce Miller
261,265,Devin Smith ,1.0345,Devin Smith
262,266,Josh Hill ,1.0085,Josh Hill
263,267,Jerick McKinnon ,1.0449,Jerick McKinnon
264,268,Seth Roberts ,1.0965,Seth Roberts
265,273,Ka'Deem Carey ,1.0815,Ka'Deem Carey
