,Unnamed: 0,player,fftoday,dk_name
141,150,Steve Johnson,11.5,Stevie Johnson
142,151,Davante Adams,9.5,NaN
143,152,James Jones,9.5,NaN
144,153,Stefon Diggs,9.0,Stefon Diggs
145,154,Michael Floyd,9.0,Michael Floyd
146,155,Devin Funchess,10.0,Devin Funchess
147,156,Ted Ginn Jr.,9.0,Ted Ginn Jr.
148,157,Chris Givens,8.0,Chris Givens
149,160,Dontrelle Inman,9.0,Dontrelle Inman
150,161,Tyler Lockett,8.0,Tyler Lockett
151,162,Brian Hartline,9.5,Brian Hartline
152,163,Cecil Shorts,8.5,Cecil Shorts III
153,164,Marques Colston,7.0,Marques Colston
154,165,Pierre Garcon,7.0,Pierre Garcon
155,166,Jermaine Kearse,8.0,Jermaine Kearse
156,167,Marqise Lee,7.0,Marqise Lee
157,168,Rueben Randle,7.0,Rueben Randle
158,169,Terrance Williams,7.0,Terrance Williams
159,170,Robert Woods,7.0,Robert Woods
160,171,Harry Douglas,6.5,Harry Douglas
161,172,Dorial Green-Beckham,6.5,Dorial Green-Beckham
162,173,Keshawn Martin,6.5,Keshawn Martin
163,174,Torrey Smith,5.5,Torrey Smith
164,175,Nelson Agholor,5.0,Nelson Agholor
165,176,Cole Beasley,6.0,Cole Beasley
166,177,Josh Bellamy,5.0,Joshua Bellamy
167,178,Kenny Britt,5.0,Kenny Britt
168,179,Justin Hardy,5.0,Justin Hardy
169,180,Chris Hogan,5.0,Chris Hogan
170,181,Adam Humphries,5.0,Adam Humphries
171,182,Charles Johnson,5.0,Charles Johnson
172,183,Kenny Stills,6.0,Kenny Stills
173,184,Mike Wallace,5.0,Mike Wallace
174,185,Markus Wheaton,5.0,Markus Wheaton
175,186,Roddy White,6.0,Roddy White
176,187,Jarius Wright,6.0,Jarius Wright
177,188,Brandon Coleman,4.5,Brandon Coleman
178,189,Jamison Crowder,4.5,Jamison Crowder
179,190,Andre Johnson,4.5,Andre Johnson
180,191,Quinton Patton,4.5,Quinton Patton
181,192,Chris Conley,4.0,Chris Conley
182,193,Riley Cooper,4.0,Riley Cooper
183,194,Jerricho Cotchery,4.0,Jerricho Cotchery
184,195,Quincy Enunwa,4.0,Quincy Enunwa
185,196,Malcom Floyd,4.0,Malcom Floyd
186,197,Bennie Fowler,3.0,Bennie Fowler
187,198,Andre Holmes,4.0,Andre Holmes
188,199,Josh Huff,4.0,Josh Huff
189,200,Lance Moore,4.0,NaN
190,201,J.J. Nelson,4.0,J.J. Nelson
191,202,Mohamed Sanu,4.0,Mohamed Sanu
192,203,Devin Smith,4.0,Devin Smith
193,204,Wes Welker,4.0,Wes Welker
194,205,Griff Whalen,4.0,Griff Whalen
195,206,Albert Wilson,4.0,Albert Wilson
196,207,Cody Latimer,2.5,Cody Latimer
197,208,Miles Austin,2.0,Miles Austin
198,209,Jaron Brown,2.0,Jaron Brown
199,212,Greg Olsen,20.5,Greg Olsen
200,213,Gary Barnidge,18.5,Gary Barnidge
201,214,Travis Kelce,18.5,Travis Kelce
202,215,Julius Thomas,18.5,Julius Thomas
203,216,Delanie Walker,18.5,Delanie Walker
204,217,Jordan Reed,17.0,Jordan Reed
205,218,Martellus Bennett,16.5,Martellus Bennett
206,219,Antonio Gates,16.5,Antonio Gates
207,220,Ben Watson,16.0,NaN
208,221,Scott Chandler,14.5,Scott Chandler
209,222,Crockett Gillmore,9.0,Crockett Gillmore
210,223,Jacob Tamme,10.0,Jacob Tamme
211,224,Zach Ertz,7.5,Zach Ertz
212,225,Jason Witten,8.5,Jason Witten
213,226,Charles Clay,8.0,Charles Clay
214,227,Jared Cook,8.0,Jared Cook
215,228,Eric Ebron,7.0,NaN
216,229,Coby Fleener,8.0,Coby Fleener
217,230,Vance McDonald,8.0,Vance McDonald
218,231,Richard Rodgers,8.0,NaN
219,232,Kyle Rudolph,8.0,Kyle Rudolph
220,233,Jordan Cameron,7.5,Jordan Cameron
221,234,Luke Willson,6.5,Luke Willson
222,235,Vernon Davis,6.0,Vernon Davis
223,236,Ryan Griffin,6.0,Ryan Griffin
224,237,Jesse James,6.0,Jesse James
225,238,Will Tye,6.0,Will Tye
226,239,Cameron Brate,4.5,Cameron Brate
227,240,Owen Daniels,4.5,Owen Daniels
228,241,Ladarius Green,4.5,Ladarius Green
229,242,Tyler Kroft,4.5,Tyler Kroft
230,243,Mychal Rivera,4.5,Mychal Rivera
231,244,Brent Celek,4.0,Brent Celek
232,245,Jermaine Gresham,4.0,Jermaine Gresham
233,246,Clive Walford,4.0,Clive Walford
234,247,Dwayne Allen,2.5,Dwayne Allen
235,248,Ed Dickson,2.0,Ed Dickson
236,249,Gavin Escobar,2.0,Gavin Escobar
237,250,Darren Fells,2.0,Darren Fells
238,251,Heath Miller,2.0,Heath Miller
239,252,Zach Miller,2.0,Zach Miller
240,253,Austin Seferian-Jenkins,2.0,Austin Seferian-Jenkins
241,254,Jeff Cumberland,1.5,Jeff Cumberland
