,Unnamed: 0,player,espn,dk_name
111,157,Antonio Gates,7.675,Antonio Gates
112,158,Ronnie Hillman,7.875,Ronnie Hillman
113,160,Doug Baldwin,7.85,Doug Baldwin
114,161,Brian Hartline,7.855,Brian Hartline
115,166,Jacob Tamme,7.23,Jacob Tamme
116,167,Marques Colston,7.485,Marques Colston
117,168,Ted Ginn Jr.,7.46,Ted Ginn Jr.
118,169,James Jones,7.28,NaN
119,171,Dontrelle Inman,6.665,Dontrelle Inman
120,173,DeSean Jackson,6.855,DeSean Jackson
121,176,Anquan Boldin,7.265,Anquan Boldin
122,177,Darren Sproles,7.47,Darren Sproles
123,178,DeVante Parker,7.26,DeVante Parker
124,179,Rashad Jennings,6.97,Rashad Jennings
125,180,Kendall Wright,7.83,Kendall Wright
126,181,Stefon Diggs,6.805,Stefon Diggs
127,182,Martellus Bennett,6.67,Martellus Bennett
128,185,Theo Riddick,6.85,NaN
129,186,Coby Fleener,6.08,Coby Fleener
130,188,Austin Seferian-Jenkins,6.42,Austin Seferian-Jenkins
131,189,Melvin Gordon,7.5,Melvin Gordon
132,190,Rueben Randle,6.33,Rueben Randle
133,191,Bilal Powell,6.815,Bilal Powell
134,192,Ameer Abdullah,7.135,NaN
135,193,Brandon Coleman,6.55,Brandon Coleman
136,195,Tyler Lockett,6.075,Tyler Lockett
137,196,Nate Washington,6.43,Nate Washington
138,197,Malcom Floyd,6.29,Malcom Floyd
139,198,Devin Funchess,6.13,Devin Funchess
140,199,Keshawn Martin,6.525,Keshawn Martin
141,200,Spencer Ware,7.2,Spencer Ware
142,201,Shane Vereen,6.145,Shane Vereen
143,202,Zach Ertz,6.88,Zach Ertz
144,203,Richard Rodgers,6.27,NaN
145,204,Robert Woods,6.185,Robert Woods
146,206,Jermaine Kearse,5.38,Jermaine Kearse
147,207,Roddy White,6.155,Roddy White
148,208,Markus Wheaton,5.8,Markus Wheaton
149,209,Matt Jones,7.16,Matt Jones
150,210,Jason Witten,5.46,Jason Witten
151,212,Charles Sims,6.54,Charles Sims
152,213,Will Tye,6.11,Will Tye
153,214,Chris Givens,5.64,Chris Givens
154,216,Jay Ajayi,6.66,Jay Ajayi
155,217,Kenny Britt,5.56,Kenny Britt
156,219,Jordan Cameron,5.31,Jordan Cameron
157,220,Dwayne Harris,5.75,Dwayne Harris
158,221,Crockett Gillmore,5.6,Crockett Gillmore
159,222,Eric Ebron,5.98,NaN
160,223,Dorial Green-Beckham,5.52,Dorial Green-Beckham
161,225,Jesse James,4.965,Jesse James
162,226,C.J. Spiller,5.28,C.J. Spiller
163,227,Marqise Lee,6.07,Marqise Lee
164,229,Harry Douglas,5.05,Harry Douglas
165,231,Cecil Shorts III,6.055,Cecil Shorts
166,233,Terrance Williams,5.015,Terrance Williams
167,234,Vernon Davis,4.77,Vernon Davis
168,235,Charles Clay,5.355,Charles Clay
169,236,Terrance West,4.81,Terrance West
170,237,Pierre Garcon,4.975,Pierre Garcon
171,238,James Starks,5.48,NaN
172,239,Kyle Rudolph,4.75,Kyle Rudolph
173,240,Marlon Moore,4.5,NaN
174,241,Vance McDonald,5.215,Vance McDonald
175,242,Ladarius Green,4.52,Ladarius Green
176,243,Tyler Kroft,4.44,Tyler Kroft
177,244,Albert Wilson,4.475,Albert Wilson
178,245,Jared Cook,4.195,Jared Cook
179,247,Jeremy Butler,3.75,Jeremy Butler
180,249,Mike Wallace,4.275,Mike Wallace
