,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,upside,final
19,Alshon Jeffery,WR,6900,SF@Chi 01:00PM ET,20.75,Chi,22.5,21.2,17.32,22.7,18.43,15.767,19.65283333,22.7,15.767,6.933,0.352773561,3.047166667,12.5
20,Amari Cooper,WR,6900,KC@Oak 04:05PM ET,16.227,Oak,19.5,22.4,14.38,22.6,15.86,15.3748,18.35246667,22.6,14.38,8.22,0.447896196,4.247533333,10.2
21,Carson Palmer,QB,6700,Ari@StL 01:00PM ET,23.598,Ari,18.8,19.2,18.92,19.64,19.914,20.8,19.54566667,20.8,18.8,2.0,0.102324471,1.254333333,25.24
22,Matt Ryan,QB,6700,Atl@TB 01:00PM ET,17.671,Atl,18.6,26.48,17.57,27.6,17.286,24.84,22.06266667,27.6,17.286,10.314,0.467486553,5.537333333,14.16
23,Andrew Luck,QB,6700,Ind@Pit 08:30PM ET,21.406,Ind,,,,,,,,,,,,,
24,Jarvis Landry,WR,6700,Bal@Mia 01:00PM ET,19.333,Mia,21.5,17.1,16.06,17.0,17.56,16.816,17.67266667,21.5,16.06,5.44,0.307819986,3.827333333,2.5
25,Philip Rivers,QB,6600,Den@SD 04:05PM ET,22.667,SD,18.2,20.5,15.08,13.22,21.41,16.821,17.5385,21.41,13.22,8.19,0.46697266,3.8715,7.08
26,Ben Roethlisberger,QB,6600,Ind@Pit 08:30PM ET,22.46,Pit,23.9,21.76,18.04,23.76,20.06,20.2678,21.29796667,23.9,18.04,5.86,0.275143637,2.602033333,36.86
27,Adrian Peterson,RB,6600,Sea@Min 01:00PM ET,20.155,Min,19.0,15.9,14.75,25.0,21.53,15.7428,18.6538,25.0,14.75,10.25,0.549485896,6.3462,6.4
28,Eli Manning,QB,6500,NYJ@NYG 01:00PM ET,19.958,NYG,18.4,20.62,17.28,17.86,19.68,17.816,18.60933333,20.62,17.28,3.34,0.179479831,2.010666667,15.08
29,Emmanuel Sanders,WR,6500,Den@SD 04:05PM ET,16.02,Den,16.0,19.5,16.75,19.0,12.22,15.762,16.53866667,19.5,12.22,7.28,0.440180587,2.961333333,5.4
30,Michael Crabtree,WR,6500,KC@Oak 04:05PM ET,16.136,Oak,17.5,14.6,11.43,15.0,15.69,10.833,14.1755,17.5,10.833,6.667,0.470318507,3.3245,15.5
31,Greg Olsen,TE,6400,Car@NO 04:25PM ET,15.8,Car,20.5,19.2,15.55,18.4,16.42,16.556,17.771,20.5,15.55,4.95,0.278543695,2.729,23.9
