
"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Joe Flacco, BalQB",Cin,L 24-28,32/49,362,2,1,0,0,0,0,0,0,0,0,0,0,20
"Jeremy Maclin, KCWR",@GB,L 28-38,0/0,0,0,0,0,0,0,8,141,1,11,0,0,0,20
"Latavius Murray, OakRB",@Cle,W 27-20,0/0,0,0,0,26,139,1,1,10,0,1,0,0,0,20
"Derek Carr, OakQB",@Cle,W 27-20,20/32,314,2,0,1,-1,0,0,0,0,0,0,0,0,20
"Josh McCown, CleQBP",Oak,L 20-27,28/49,341,2,1,0,0,0,0,0,0,0,0,0,0,19
"Eli Manning, NYGQB",Wsh,W 32-21,23/32,279,2,0,0,0,0,0,0,0,0,0,0,0,19
"James Jones, GBWR",KC,W 38-28,0/0,0,0,0,0,0,0,7,139,1,8,0,0,0,19
"Le'Veon Bell, PitRB",@StL,W 12-6,0/0,0,0,0,19,62,1,7,70,0,8,0,0,0,19
"Alfred Blue, HouRB",TB,W 19-9,0/0,0,0,0,31,139,1,0,0,0,0,0,0,0,19
"Peyton Manning, DenQBP",@Det,W 24-12,31/42,324,2,1,1,-1,0,0,0,0,0,0,0,0,18
"Carson Palmer, AriQB",SF,W 47-7,20/32,311,2,1,1,1,0,0,0,0,0,0,0,0,18
"Alex Smith, KCQB",@GB,L 28-38,24/40,290,1,1,6,33,0,0,0,0,0,1,0,0,18
"Marcus Mariota, TenQB",Ind,L 33-35,27/44,367,2,2,0,0,0,0,0,0,0,0,0,0,18
"Stephen Gostkowski, NEK",Jax,W 51-17,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"Rueben Randle, NYGWR",Wsh,W 32-21,0/0,0,0,0,0,0,0,7,116,1,7,0,0,0,17
"Karlos Williams, BufRB",@Mia,W 41-14,0/0,0,0,0,12,110,1,0,0,0,0,0,0,0,17
Broncos D/STD/ST,@Det,W 24-12,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"Gary Barnidge, CleTE",Oak,L 20-27,0/0,0,0,0,0,0,0,6,105,1,10,0,0,0,16
"Steven Hauschka, SeaK",Chi,W 26-0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"Ryan Mathews, PhiRB",@NYJ,W 24-17,0/0,0,0,0,25,108,0,2,20,1,4,0,1,0,16
"Andrew Luck, IndQBQ",@Ten,W 35-33,18/30,260,2,2,6,21,0,0,0,0,0,0,0,0,16
"Kendall Wright, TenWR",Ind,L 33-35,0/0,0,0,0,1,13,0,7,95,1,12,0,0,0,16
"DeAndre Hopkins, HouWR",TB,W 19-9,0/0,0,0,0,0,0,0,8,101,1,15,0,0,0,16
Eagles D/STD/ST,@NYJ,W 24-17,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
Seahawks D/STD/ST,Chi,W 26-0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
"Mark Ingram, NORB",@Car,L 22-27,0/0,0,0,0,14,50,1,5,49,0,5,0,0,0,15
"Ryan Tannehill, MiaQB",Buf,L 14-41,26/49,297,2,3,1,-1,0,0,0,0,0,1,0,0,15
"Russell Wilson, SeaQB",Chi,W 26-0,20/30,235,1,0,6,28,0,0,0,0,0,0,0,0,15

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Marvin Jones, CinWR",@Bal,W 28-24,0/0,0,0,0,0,0,0,5,94,1,7,0,0,0,15
"Blake Bortles, JaxQB",@NE,L 17-51,17/33,242,2,1,3,7,0,0,0,0,0,0,0,0,15
"Darren Sproles, PhiRB",@NYJ,W 24-17,0/0,0,0,0,11,17,1,4,19,0,6,0,0,1,14
"Ryan Fitzpatrick, NYJQB",Phi,L 17-24,35/58,283,2,3,4,13,0,0,0,0,0,0,0,0,14
"Brandon Marshall, NYJWR",Phi,L 17-24,0/0,0,0,0,0,0,0,10,109,1,14,0,1,0,14
"Jimmy Graham, SeaTE",Chi,W 26-0,0/0,0,0,0,0,0,0,7,83,1,8,0,0,0,14
"Charles Clay, BufTE",@Mia,W 41-14,0/0,0,0,0,0,0,0,5,82,1,7,0,0,0,14
"Kirk Cousins, WshQB",@NYG,L 21-32,30/49,316,1,2,0,0,0,0,0,0,0,1,0,0,14
Bills D/STD/ST,@Mia,W 41-14,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
Vikings D/STD/ST,SD,W 31-14,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
"Josh Brown, NYGK",Wsh,W 32-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Demaryius Thomas, DenWR",@Det,W 24-12,0/0,0,0,0,0,0,0,9,92,1,13,0,1,0,13
"Chris Thompson, WshRB",@NYG,L 21-32,0/0,0,0,0,2,29,0,8,57,1,11,0,0,0,13
"Odell Beckham Jr., NYGWR",Wsh,W 32-21,0/0,0,0,0,0,0,0,7,79,1,9,0,0,0,13
"Allen Hurns, JaxWRQ",@NE,L 17-51,0/0,0,0,0,0,0,0,2,70,1,4,0,0,0,13
"Dan Carpenter, BufKQ",@Mia,W 41-14,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Dion Lewis, NERB",Jax,W 51-17,0/0,0,0,0,8,37,1,5,30,0,5,0,0,0,12
"Jameis Winston, TBQB",@Hou,L 9-19,17/36,261,1,1,0,0,0,0,0,0,0,0,0,0,12
Rams D/STD/ST,Pit,L 6-12,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Ryan Mallett, HouQBQ",TB,W 19-9,24/39,228,1,1,1,-1,0,0,0,0,0,0,0,0,11
"Charles Sims, TBRB",@Hou,L 9-19,0/0,0,0,0,6,11,0,2,41,1,2,0,0,0,11
"Antonio Andrews, TenRB",Ind,L 33-35,0/0,0,0,0,12,49,1,1,12,0,2,0,0,0,11
"Amari Cooper, OakWR",@Cle,W 27-20,0/0,0,0,0,0,0,0,8,134,0,11,0,1,0,11
"Seth Roberts, OakWR",@Cle,W 27-20,0/0,0,0,0,0,0,0,3,56,1,5,0,0,0,11
"Luke McCown, NOQB",@Car,L 22-27,31/38,310,0,1,0,0,0,0,0,0,0,0,0,0,10
"Graham Gano, CarK",NO,W 27-22,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Kenny Britt, StLWRQ",Pit,L 6-12,0/0,0,0,0,0,0,0,7,102,0,10,0,0,0,10
"Rob Gronkowski, NETE",Jax,W 51-17,0/0,0,0,0,0,0,0,4,101,0,7,0,0,0,10
"Clay Harbor, JaxTE",@NE,L 17-51,0/0,0,0,0,0,0,0,3,43,1,5,0,0,0,10
"Antonio Brown, PitWR",@StL,W 12-6,0/0,0,0,0,0,0,0,11,108,0,13,0,0,0,10
"Chris Hogan, BufWR",@Mia,W 41-14,0/0,0,0,0,0,0,0,3,42,1,4,0,0,0,10
"Lance Dunbar, DalRB",Atl,L 28-39,0/0,0,0,0,1,5,0,10,100,0,10,0,0,0,10
"Travis Kelce, KCTE",@GB,L 28-38,0/0,0,0,0,0,0,0,6,80,0,10,1,0,0,10
"Mike Evans, TBWR",@Hou,L 9-19,0/0,0,0,0,0,0,0,7,101,0,17,0,0,0,10
"Phillip Dorsett, IndWR",@Ten,W 35-33,0/0,0,0,0,0,0,0,2,43,1,3,0,0,0,10
"Thomas Rawls, SeaRB",Chi,W 26-0,0/0,0,0,0,16,104,0,0,0,0,1,0,0,0,10
Steelers D/STD/ST,@StL,W 12-6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Sebastian Janikowski, OakK",@Cle,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Philip Rivers, SDQB",@Min,L 14-31,21/34,246,1,1,0,0,0,0,0,0,0,0,1,0,9
"Ted Ginn Jr., CarWR",NO,W 27-22,0/0,0,0,0,0,0,0,4,93,0,6,0,0,0,9
"Mason Crosby, GBK",KC,W 38-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Darren McFadden, DalRB",Atl,L 28-39,0/0,0,0,0,6,35,1,0,0,0,0,0,0,0,9
"Danny Amendola, NEWR",Jax,W 51-17,0/0,0,0,0,0,0,0,5,39,1,5,0,0,0,9
"Matthew Stafford, DetQB",Den,L 12-24,31/45,282,1,2,1,-1,0,1,-6,0,1,0,1,0,9
"Brian Hartline, CleWR",Oak,L 20-27,0/0,0,0,0,0,0,0,5,96,0,7,0,0,0,9
"Ryan Succop, TenK",Ind,L 33-35,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Jeremy Kerley, NYJWR",Phi,L 17-24,0/0,0,0,0,0,0,0,6,33,1,11,0,0,0,9
"Keshawn Martin, NEWR",Jax,W 51-17,0/0,0,0,0,0,0,0,3,33,1,3,0,0,0,9
"T.Y. Hilton, IndWR",@Ten,W 35-33,0/0,0,0,0,0,0,0,4,94,0,7,0,0,0,9
"Jordan Reed, WshTE",@NYG,L 21-32,0/0,0,0,0,0,0,0,6,96,0,9,0,0,0,9

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Donte Moncrief, IndWR",@Ten,W 35-33,0/0,0,0,0,0,0,0,4,32,1,7,0,0,0,9
"Travis Coons, CleK",Oak,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Chandler Catanzaro, AriK",SF,W 47-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Ameer Abdullah, DetRB",Den,L 12-24,0/0,0,0,0,8,23,0,2,19,1,5,0,0,0,9
Colts D/STD/ST,@Ten,W 35-33,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
"Owen Daniels, DenTE",@Det,W 24-12,0/0,0,0,0,0,0,0,5,28,1,9,0,0,0,8
"LeSean McCoy, BufRBQ",@Mia,W 41-14,0/0,0,0,0,11,16,0,1,10,1,3,0,0,0,8
"Julian Edelman, NEWR",Jax,W 51-17,0/0,0,0,0,0,0,0,8,85,0,11,0,0,0,8
"Sam Bradford, PhiQB",@NYJ,W 24-17,14/28,118,1,0,3,-2,0,0,0,0,0,0,0,0,8
"Emmanuel Sanders, DenWR",@Det,W 24-12,0/0,0,0,0,0,0,0,6,87,0,9,0,0,0,8
"Travis Benjamin, CleWRQ",Oak,L 20-27,0/0,0,0,0,0,0,0,4,45,1,10,0,1,0,8
"Eddie Lacy, GBRBP",KC,W 38-28,0/0,0,0,0,10,46,0,3,41,0,3,0,0,0,8
"Dustin Hopkins, WshK",@NYG,L 21-32,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Jarvis Landry, MiaWR",Buf,L 14-41,0/0,0,0,0,1,-1,0,8,67,0,13,1,0,0,8
"Andre Williams, NYGRB",Wsh,W 32-21,0/0,0,0,0,14,29,1,0,0,0,0,0,0,0,8
"Rashad Ross, WshWR",@NYG,L 21-32,0/0,0,0,0,0,0,0,2,27,0,2,0,0,1,8
"Dorial Green-Beckham, TenWR",Ind,L 33-35,0/0,0,0,0,0,0,0,2,22,1,3,0,0,0,8
Packers D/STD/ST,KC,W 38-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Raiders D/STD/ST,@Cle,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Giants D/STD/ST,Wsh,W 32-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Matt Bryant, AtlK",@Dal,W 39-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Josh Scobee, PitK",@StL,W 12-6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Calvin Johnson, DetWR",Den,L 12-24,0/0,0,0,0,0,0,0,8,77,0,13,0,0,0,7
"Nick Folk, NYJK",Phi,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Matt Forte, ChiRB",@Sea,L 0-26,0/0,0,0,0,20,74,0,0,0,0,3,0,0,0,7
"Percy Harvin, BufWR",@Mia,W 41-14,0/0,0,0,0,2,16,0,7,66,0,8,0,0,0,7
"Bilal Powell, NYJRB",Phi,L 17-24,0/0,0,0,0,10,31,0,7,44,0,8,0,0,0,7
"Brandon Weeden, DalQB",Atl,L 28-39,22/26,232,0,1,0,0,0,0,0,0,0,0,0,0,7
"Ronnie Hillman, DenRB",@Det,W 24-12,0/0,0,0,0,7,13,1,1,3,0,1,0,0,0,7
"Greg Zuerlein, StLK",Pit,L 6-12,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Blair Walsh, MinK",SD,W 31-14,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Jermaine Kearse, SeaWR",Chi,W 26-0,0/0,0,0,0,0,0,0,6,76,0,6,0,0,0,7
"Giovani Bernard, CinRB",@Bal,W 28-24,0/0,0,0,0,13,49,0,3,34,0,4,0,0,0,7
"Khiry Robinson, NORB",@Car,L 22-27,0/0,0,0,0,7,12,1,2,8,0,2,0,0,0,7
"Brandin Cooks, NOWRQ",@Car,L 22-27,0/0,0,0,0,0,0,0,7,79,0,8,0,0,0,7
"Brandon McManus, DenK",@Det,W 24-12,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Ty Montgomery, GBWR",KC,W 38-28,0/0,0,0,0,0,0,0,2,14,1,2,0,0,0,7
Patriots D/STD/ST,Jax,W 51-17,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Jason Witten, DalTEP",Atl,L 28-39,0/0,0,0,0,0,0,0,6,65,0,8,0,0,0,6
"Malcom Floyd, SDWR",@Min,L 14-31,0/0,0,0,0,0,0,0,4,63,0,7,0,0,0,6
"Kellen Clemens, SDQB",@Min,L 14-31,5/6,63,1,0,0,0,0,0,0,0,0,0,0,0,6
"Delanie Walker, TenTE",Ind,L 33-35,0/0,0,0,0,0,0,0,7,68,0,10,0,0,0,6
"Pierre Garcon, WshWR",@NYG,L 21-32,0/0,0,0,0,0,0,0,5,64,0,12,0,0,0,6
"Louis Murphy, TBWR",@Hou,L 9-19,0/0,0,0,0,0,0,0,3,61,0,6,0,0,0,6
"Joique Bell, DetRB",Den,L 12-24,0/0,0,0,0,10,6,1,1,-2,0,1,0,0,0,6
"Andre Holmes, OakWR",@Cle,W 27-20,0/0,0,0,0,0,0,0,1,3,1,1,0,0,0,6
"Nick Foles, StLQB",Pit,L 6-12,19/28,197,0,1,1,10,0,0,0,0,0,0,0,0,6
"Randy Bullock, HouK",TB,W 19-9,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Theo Riddick, DetRB",Den,L 12-24,0/0,0,0,0,0,0,0,8,66,0,10,0,0,0,6
"Zach Line, MinRB",SD,W 31-14,0/0,0,0,0,1,1,1,0,0,0,0,0,0,0,6

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Eric Ebron, DetTE",Den,L 12-24,0/0,0,0,0,0,0,0,4,61,0,5,0,0,0,6
"Carlos Hyde, SFRB",@Ari,L 7-47,0/0,0,0,0,15,51,0,1,10,0,1,0,0,0,6
"Allen Robinson, JaxWR",@NE,L 17-51,0/0,0,0,0,0,0,0,4,68,0,9,0,0,0,6
"John Brown, AriWRQ",SF,W 47-7,0/0,0,0,0,0,0,0,3,62,0,5,0,0,0,6
"Cody Parkey*, PhiKIR",@NYJ,W 24-17,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Jason Myers, JaxK",@NE,L 17-51,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Marcus Murphy, NORB",@Car,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"Jalston Fowler, TenRB",Ind,L 33-35,0/0,0,0,0,4,9,1,0,0,0,0,0,0,0,6
"Jamison Crowder, WshWR",@NYG,L 21-32,0/0,0,0,0,0,0,0,6,45,0,6,1,0,0,6
"Tyler Lockett, SeaWR",Chi,W 26-0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,1,6
Ravens D/STD/ST,Cin,L 24-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"Adam Vinatieri, IndK",@Ten,W 35-33,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Ben Roethlisberger*, PitQBO",@StL,W 12-6,20/24,192,0,1,0,0,0,0,0,0,0,0,0,0,5
"Jonathan Stewart, CarRBQ",NO,W 27-22,0/0,0,0,0,14,52,0,0,0,0,1,0,0,0,5
"Marcel Reece, OakRB",@Cle,W 27-20,0/0,0,0,0,1,1,0,1,55,0,2,0,0,0,5
"Rashad Jennings, NYGRB",Wsh,W 32-21,0/0,0,0,0,11,32,0,3,25,0,3,0,0,0,5
"Golden Tate, DetWR",Den,L 12-24,0/0,0,0,0,0,0,0,5,57,0,7,0,0,0,5
"Cecil Shorts III, HouWR",TB,W 19-9,0/0,0,0,0,0,0,0,6,58,0,9,0,0,0,5
"Lamar Miller, MiaRB",Buf,L 14-41,0/0,0,0,0,7,38,0,3,27,0,3,0,0,0,5
"Coby Fleener, IndTE",@Ten,W 35-33,0/0,0,0,0,0,0,0,4,51,0,6,0,0,0,5
"Justin Tucker, BalK",Cin,L 24-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Melvin Gordon, SDRB",@Min,L 14-31,0/0,0,0,0,14,51,0,0,0,0,1,0,0,0,5
"Bennie Fowler, DenWR",@Det,W 24-12,0/0,0,0,0,0,0,0,4,50,0,4,0,0,0,5
"Quincy Enunwa, NYJWR",Phi,L 17-24,0/0,0,0,0,0,0,0,5,50,0,10,0,0,0,5
Jets D/STD/ST,Phi,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Texans D/STD/ST,TB,W 19-9,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Mike Nugent, CinK",@Bal,W 28-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Vincent Jackson, TBWR",@Hou,L 9-19,0/0,0,0,0,0,0,0,2,40,0,4,0,0,0,4
"Nate Washington, HouWR",TB,W 19-9,0/0,0,0,0,0,0,0,4,42,0,9,0,0,0,4
"Marques Colston, NOWR",@Car,L 22-27,0/0,0,0,0,0,0,0,4,47,0,6,0,0,0,4
"Stevie Johnson, SDWR",@Min,L 14-31,0/0,0,0,0,0,0,0,3,46,0,5,0,0,0,4
"Danny Woodhead, SDRB",@Min,L 14-31,0/0,0,0,0,5,11,0,3,32,0,4,0,0,0,4
"Mike Wallace, MinWR",SD,W 31-14,0/0,0,0,0,0,0,0,3,49,0,4,0,0,0,4
"James Starks, GBRB",KC,W 38-28,0/0,0,0,0,17,32,0,1,19,0,1,0,0,0,4
"Colin Kaepernick, SFQB",@Ari,L 7-47,9/19,67,0,4,7,46,1,0,0,0,0,0,0,0,4
"Leonard Hankerson, AtlWR",@Dal,W 39-28,0/0,0,0,0,0,0,0,3,45,0,6,0,0,0,4
"Dan Bailey, DalK",Atl,L 28-39,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Doug Martin, TBRB",@Hou,L 9-19,0/0,0,0,0,14,46,0,0,0,0,0,0,0,0,4
"Cole Beasley, DalWR",Atl,L 28-39,0/0,0,0,0,0,0,0,4,49,0,4,0,0,0,4
"Jonas Gray, MiaRBQ",Buf,L 14-41,0/0,0,0,0,9,49,0,0,0,0,0,0,0,0,4
"Jordan Matthews, PhiWR",@NYJ,W 24-17,0/0,0,0,0,0,0,0,6,49,0,8,0,0,0,4
"Crockett Gillmore*, BalTEO",Cin,L 24-28,0/0,0,0,0,0,0,0,3,40,0,3,0,0,0,4
"Bishop Sankey, TenRB",Ind,L 33-35,0/0,0,0,0,5,10,0,2,31,0,2,0,0,0,4
"Zach Hocker, NOK",@Car,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Willie Snead, NOWR",@Car,L 22-27,0/0,0,0,0,0,0,0,5,44,0,7,0,0,0,4
"DeVante Parker, MiaWR",Buf,L 14-41,0/0,0,0,0,0,0,0,3,46,0,7,0,0,0,4
"Maxx Williams, BalTE",Cin,L 24-28,0/0,0,0,0,0,0,0,3,44,0,7,0,0,0,4
Lions D/STD/ST,Den,L 12-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Saints D/STD/ST,@Car,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Redskins D/STD/ST,@NYG,L 21-32,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,4

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
Panthers D/STD/ST,NO,W 27-22,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Mike Tolbert, CarRBQ",NO,W 27-22,0/0,0,0,0,5,16,0,3,28,0,3,0,0,0,3
"John Phillips, SDTE",@Min,L 14-31,0/0,0,0,0,0,0,0,4,35,0,4,0,0,0,3
"Michael Crabtree, OakWR",@Cle,W 27-20,0/0,0,0,0,0,0,0,4,36,0,9,0,0,0,3
"Jimmy Clausen, ChiQB",@Sea,L 0-26,9/17,63,0,0,3,13,0,0,0,0,0,0,0,0,3
"Dexter McCluster, TenWR, RB",Ind,L 33-35,0/0,0,0,0,5,7,0,1,35,0,2,0,0,0,3
"Jermaine Gresham, AriTE",SF,W 47-7,0/0,0,0,0,0,0,0,2,34,0,3,0,0,0,3
"Doug Baldwin, SeaWR",Chi,W 26-0,0/0,0,0,0,0,0,0,3,35,0,3,0,0,0,3
"Larry Donnell, NYGTE",Wsh,W 32-21,0/0,0,0,0,0,0,0,3,32,0,6,0,0,0,3
"Tavon Austin, StLWR",Pit,L 6-12,0/0,0,0,0,0,0,0,5,38,0,5,0,0,0,3
"Zach Ertz, PhiTE",@NYJ,W 24-17,0/0,0,0,0,0,0,0,2,30,0,2,0,0,0,3
"Robert Woods, BufWR",@Mia,W 41-14,0/0,0,0,0,0,0,0,4,38,0,5,0,0,0,3
"Jack Doyle, IndTE",@Ten,W 35-33,0/0,0,0,0,0,0,0,3,32,0,3,0,0,0,3
"Sammy Watkins, BufWRQ",@Mia,W 41-14,0/0,0,0,0,0,0,0,1,39,0,2,0,0,0,3
"Isaiah Crowell, CleRB",Oak,L 20-27,0/0,0,0,0,10,36,0,0,0,0,0,0,0,0,3
"David Johnson, AriRB",SF,W 47-7,0/0,0,0,0,7,25,0,3,16,0,3,0,0,0,3
"Devin Smith, NYJWRP",Phi,L 17-24,0/0,0,0,0,0,0,0,3,39,0,9,0,0,0,3
"Duke Johnson Jr., CleRB",Oak,L 20-27,0/0,0,0,0,4,3,0,6,32,0,7,0,0,0,3
"T.J. Yeldon, JaxRB",@NE,L 17-51,0/0,0,0,0,11,33,0,2,9,0,3,0,0,0,3
Falcons D/STD/ST,@Dal,W 39-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bears D/STD/ST,@Sea,L 0-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Titans D/STD/ST,Ind,L 33-35,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Chargers D/STD/ST,@Min,L 14-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Benjamin Watson, NOTE",@Car,L 22-27,0/0,0,0,0,0,0,0,4,42,0,4,0,1,0,2
"Anthony Fasano, TenTE",Ind,L 33-35,0/0,0,0,0,0,0,0,1,26,0,2,0,0,0,2
"Daniel Fells, NYGTEQ",Wsh,W 32-21,0/0,0,0,0,0,0,0,3,27,0,3,0,0,0,2
"Scott Chandler, NETE",Jax,W 51-17,0/0,0,0,0,0,0,0,2,25,0,2,0,0,0,2
"Harry Douglas, TenWR",Ind,L 33-35,0/0,0,0,0,0,0,0,3,20,0,6,0,0,0,2
"Craig Stevens, TenTE",Ind,L 33-35,0/0,0,0,0,0,0,0,2,29,0,2,0,0,0,2
"Justin Forsett, BalRB",Cin,L 24-28,0/0,0,0,0,10,13,0,4,16,0,7,0,0,0,2
"Jordan Norwood, DenWR",@Det,W 24-12,0/0,0,0,0,0,0,0,3,27,0,3,0,0,0,2
"Zach Miller, ChiTE",@Sea,L 0-26,0/0,0,0,0,0,0,0,1,21,0,1,0,0,0,2
"C.J. Spiller, NORB",@Car,L 22-27,0/0,0,0,0,1,4,0,2,22,0,2,0,0,0,2
"Bryan Walters, JaxWR",@NE,L 17-51,0/0,0,0,0,0,0,0,2,28,0,3,0,0,0,2
"Shane Vereen, NYGRB",Wsh,W 32-21,0/0,0,0,0,6,23,0,0,0,0,3,0,0,0,2
"Virgil Green, DenTE",@Det,W 24-12,0/0,0,0,0,0,0,0,1,26,0,1,0,0,0,2
"Jacquizz Rodgers, ChiRB",@Sea,L 0-26,0/0,0,0,0,4,11,0,1,10,0,1,0,0,0,2
"Ricardo Lockette, SeaWR",Chi,W 26-0,0/0,0,0,0,0,0,0,1,23,0,2,0,0,0,2
