,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average
118,Thomas Rawls,RB,4800,Car@Sea 04:05PM ET,9.1,Sea,3.5,4,8.93,3.9,2.9,2.01,8.967,4.886714286
119,T.J. Yeldon,RB,4800,Hou@Jax 01:00PM ET,12.08,Jax,10.5,14.7,11.07,16.2,,12.7,6.318,11.91466667
120,Danny Woodhead,RB,4700,SD@GB 04:25PM ET,15.06,SD,17.5,13.5,10.16,13,12.88,9.63,14.466,13.01942857
121,Antonio Gates,TE,4600,SD@GB 04:25PM ET,30.2,SD,18,11.8,11.94,11.9,12.78,11.79,11.445,12.80785714
122,Chris Johnson,RB,4600,Ari@Pit 01:00PM ET,13.52,Ari,14.5,6.8,13.17,7.5,9.8,12.23,12.986,10.998
123,Ronnie Hillman,RB,4600,Den@Cle 01:00PM ET,8.1,Den,14,16,8.47,15.6,10.92,9.17,9.07,11.89
124,Carlos Hyde,RB,4600,Bal@SF 04:25PM ET,14.46,SF,15,12,13.04,12.3,14.31,14.55,14.58,13.68285714
125,Giovani Bernard,RB,4600,Cin@Buf 01:00PM ET,14.66,Cin,12,16.6,13.99,16.8,14.14,17.7,12.864,14.87057143
126,Melvin Gordon,RB,4600,SD@GB 04:25PM ET,9.32,SD,7,13.3,11.26,12.5,10.88,13.63,12.048,11.51685714
127,Victor Cruz,WR,4500,NYG@Phi 08:30PM ET,0,NYG,,,,,,,,0
128,Mike Wallace,WR,4500,KC@Min 01:00PM ET,12.325,Min,18.5,19.2,12.71,17.7,11.14,11.99,9.637,14.411
129,Knile Davis,RB,4500,KC@Min 01:00PM ET,2.18,KC,5,12.1,7.63,12.8,5.99,5.88,5.677,7.868142857
130,C.J. Anderson,RB,4500,Den@Cle 01:00PM ET,6.08,Den,7,5.1,10.07,5.2,11.34,12.17,9.3774,8.6082
131,Breshad Perriman,WR,4500,Bal@SF 04:25PM ET,0,Bal,,,,,,,,0
132,Duke Johnson Jr.,RB,4500,Den@Cle 01:00PM ET,11.26,Cle,8.5,9,9.53,9,11.62,9.82,9.114,9.512
133,Gary Barnidge,TE,4400,Den@Cle 01:00PM ET,17.08,Cle,10.5,19,10.04,19.5,9.09,9.22,8.937,12.32671429
134,LeGarrette Blount,RB,4400,NE@Ind 08:30PM ET,12,NE,11.5,11.4,12.51,12.2,11.3,11.74,11.893,11.79185714
135,Rueben Randle,WR,4400,NYG@Phi 08:30PM ET,11.14,NYG,9.5,16.2,9.97,15.1,11.57,12.34,4.142,11.26028571
136,Jordan Reed,TE,4400,Was@NYJ 01:00PM ET,14.2,Was,,13.6,,,,,,13.6
137,Andre Johnson,WR,4300,NE@Ind 08:30PM ET,7.56,Ind,4.5,5,11.63,4.5,10.07,10.82,9.017,7.933857143
138,Anquan Boldin,WR,4300,Bal@SF 04:25PM ET,12.22,SF,21,17.6,12.28,16.8,12.91,14.61,11.672,15.26742857
139,Rashad Jennings,RB,4300,NYG@Phi 08:30PM ET,10.44,NYG,7.5,11,10.98,11,9.19,9.67,12.549,10.26985714
140,Kamar Aiken,WR,4300,Bal@SF 04:25PM ET,8.86,Bal,10,0.6,11.12,3.3,13.05,11.78,11.188,8.719714286
141,Charles Clay,TE,4300,Cin@Buf 01:00PM ET,12.64,Buf,16,14,8.42,15,9.63,9.61,9.793,11.779
142,Lamar Miller,RB,4300,Mia@Ten 01:00PM ET,7.95,Mia,7,7.9,10.3,8.8,13.55,16.25,13.13,10.99
143,Javorius Allen,RB,4300,Bal@SF 04:25PM ET,3,Bal,4,4,7.64,5,9.82,5.37,4.859,5.812714286
144,Davante Adams,WR,4300,SD@GB 04:25PM ET,6.067,GB,4,14.6,8.2,14.3,,,5.04,9.228
145,Torrey Smith,WR,4200,Bal@SF 04:25PM ET,8.94,SF,8,6.2,9.22,5.1,8.88,10.26,9.168,8.118285714
146,Shane Vereen,RB,4200,NYG@Phi 08:30PM ET,11.38,NYG,16.5,14,9.94,14.2,9.6,9.05,7.775,11.58071429
147,David Johnson,RB,4200,Ari@Pit 01:00PM ET,13.36,Ari,11.5,7.1,8.22,7.3,5.55,4.94,6.8242,7.347742857
