player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,targets,2-pt,fl,def_td,fan_pts,punt_td,kick_td

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Denard Robinson, JaxRB",Hou,L 20-31,0/0,0,0,0,7,19,0,3,19,0,3,0,0,0,2
"Kyle Juszczyk, BalRB",@SF,L 20-25,0/0,0,0,0,0,0,0,2,22,0,2,0,0,0,2
"Zach Mettenberger, TenQB",Mia,L 10-38,5/8,63,0,0,1,4,0,0,0,0,0,0,0,0,2
"Antonio Andrews, TenRB",Mia,L 10-38,0/0,0,0,0,9,23,0,1,2,0,1,0,0,0,2
"Ryan Grant, WshWR",@NYJ,L 20-34,0/0,0,0,0,0,0,0,2,22,0,4,0,0,0,2
"Justin Perillo, GBTE",SD,W 27-20,0/0,0,0,0,0,0,0,1,21,0,2,0,0,0,2
"Jason Myers, JaxK",Hou,L 20-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"James O'Shaughnessy, KCTE",@Min,L 10-16,0/0,0,0,0,0,0,0,2,23,0,3,0,0,0,2
"Maxx Williams, BalTEQ",@SF,L 20-25,0/0,0,0,0,0,0,0,4,24,0,4,0,0,0,2
"Devin Funchess, CarWR",@Sea,W 27-23,0/0,0,0,0,0,0,0,2,24,0,6,0,0,0,2
"Tevin Coleman, AtlRB",@NO,L 21-31,0/0,0,0,0,4,40,0,0,0,0,0,0,1,0,2
Patriots D/STD/ST,@Ind,W 34-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chargers D/STD/ST,@GB,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ravens D/STD/ST,@SF,L 20-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Josh Brown, NYGK",@Phi,L 7-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Greg Jennings, MiaWR",@Ten,W 38-10,0/0,0,0,0,0,0,0,1,13,0,1,0,0,0,1
"Ted Ginn Jr., CarWR",@Sea,W 27-23,0/0,0,0,0,0,0,0,1,18,0,4,0,0,0,1
"Harry Douglas, TenWRQ",Mia,L 10-38,0/0,0,0,0,0,0,0,1,11,0,4,0,0,0,1
"Andre Caldwell, DenWR",@Cle,W 26-23,0/0,0,0,0,0,0,0,2,18,0,2,0,0,0,1
"Mike Tolbert, CarRB",@Sea,W 27-23,0/0,0,0,0,3,10,0,0,0,0,0,0,0,0,1
"Dwayne Harris, NYGWR",@Phi,L 7-27,0/0,0,0,0,0,0,0,2,18,0,4,0,0,0,1
"Anthony Sherman, KCRB",@Min,L 10-16,0/0,0,0,0,1,0,0,1,13,0,1,0,0,0,1
"Patrick DiMarco, AtlRB",@NO,L 21-31,0/0,0,0,0,0,0,0,2,18,0,3,0,0,0,1
"Rhett Ellison, MinTE",KC,W 16-10,0/0,0,0,0,0,0,0,1,11,0,2,0,0,0,1
"Daniel Herron, BufRB",Cin,L 21-34,0/0,0,0,0,0,0,0,2,17,0,2,0,0,0,1

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Chris Givens, BalWR",@SF,L 20-25,0/0,0,0,0,0,0,0,2,18,0,2,0,0,0,1
"Eddie Lacy, GBRB",SD,W 27-20,0/0,0,0,0,4,3,0,2,17,0,2,0,0,0,1
"Vance McDonald, SFTEP",Bal,W 25-20,0/0,0,0,0,0,0,0,1,10,0,1,0,0,0,1
"Levine Toilolo, AtlTE",@NO,L 21-31,0/0,0,0,0,0,0,0,2,18,0,3,0,0,0,1
"Luke Willson, SeaTE",Car,L 23-27,0/0,0,0,0,0,0,0,1,16,0,1,0,0,0,1
"Nick Williams, AtlWR",@NO,L 21-31,0/0,0,0,0,0,0,0,1,11,0,1,0,0,0,1
"Josh Huff, PhiWRP",NYG,W 27-7,0/0,0,0,0,0,0,0,3,19,0,3,0,0,0,1
"Bishop Sankey, TenRB",Mia,L 10-38,0/0,0,0,0,3,13,0,1,7,0,3,0,0,0,1
"Troy Niklas, AriTE",@Pit,L 13-25,0/0,0,0,0,0,0,0,1,13,0,1,0,0,0,1
"Ryan Hewitt, CinTE",@Buf,W 34-21,0/0,0,0,0,0,0,0,1,16,0,2,0,0,0,1
"Demetrius Harris, KCTE",@Min,L 10-16,0/0,0,0,0,0,0,0,2,15,0,2,0,0,0,1
"Charcandrick West, KCRB",@Min,L 10-16,0/0,0,0,0,9,33,0,1,6,0,2,0,1,0,1
"Ty Montgomery, GBWRQ",SD,W 27-20,0/0,0,0,0,1,4,0,2,11,0,2,0,0,0,1
"Buck Allen, BalRB",@SF,L 20-25,0/0,0,0,0,4,13,0,1,8,0,3,0,0,0,1
"Chris Conley, KCWRP",@Min,L 10-16,0/0,0,0,0,0,0,0,3,16,0,7,0,0,0,1
"Chris Matthews, SeaWR",Car,L 23-27,0/0,0,0,0,0,0,0,1,12,0,1,0,0,0,1
"Zach Zenner*, DetRBIR",Chi,W 37-34,0/0,0,0,0,3,15,0,0,0,0,0,0,0,0,1
"Quincy Enunwa, NYJWRSSPD",Wsh,W 34-20,0/0,0,0,0,0,0,0,2,17,0,3,0,0,0,1
Cardinals D/STD/ST,@Pit,L 13-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49ers D/STD/ST,Bal,W 25-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tony Gonzalez, AtlTE",@NO,L 21-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Hasselbeck, IndQB",NE,L 27-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Stokley, BalWR",@SF,L 20-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plaxico Burress, PitWR",Ari,W 25-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santana Moss, WshWR",@NYJ,L 20-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Billy Cundiff, CleK",Den,L 23-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shaun Hill, MinQB",KC,W 16-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rex Grossman, AtlQB",@NO,L 21-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Willis McGahee, CleRB",Den,L 23-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallas Clark, BalTE",@SF,L 20-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nate Burleson, CleWR",Den,L 23-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Visanthe Shiancoe, TenTE",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seneca Wallace, GBQB",SD,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Lloyd, SFWR",Bal,W 25-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevin Walter, TenWR",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kassim Osgood, SFWR",Bal,W 25-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kellen Winslow, NYJTE",Wsh,W 34-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Roethlisberger, PitQBQ",Ari,W 25-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steven Jackson, AtlRB",@NO,L 21-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greg Jones, NORB",Atl,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Hartsock, CarTE",@Sea,W 27-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Schaub, BalQB",@SF,L 20-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luke McCown, NOQB",Atl,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Josh Scobee, PitK",Ari,W 25-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wes Welker, DenWR",@Cle,W 26-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vonta Leach, BalRB",@SF,L 20-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ronnie Brown, SDRB",@GB,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jason Campbell, CinQB",@Buf,W 34-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath Miller, PitTE",Ari,W 25-13,0/0,0,0,0,0,0,0,1,5,0,1,0,0,0,0
"Courtney Roby, AtlWR",@NO,L 21-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Alex Smith, NOTE",Atl,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kyle Orton, BufQB",Cin,L 21-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Jacobs, NYGRB",@Phi,L 7-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darren Sproles, PhiRB",NYG,W 27-7,0/0,0,0,0,2,4,0,1,3,0,2,0,0,0,0
"Dan Orlovsky, DetQB",Chi,W 37-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joel Dreessen, DenTE",@Cle,W 26-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Derek Anderson, CarQB",@Sea,W 27-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Billy Bajema, BalTE",@SF,L 20-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joshua Cribbs, IndWR",NE,L 27-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nate Washington, HouWRP",@Jax,W 31-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shaun Suisham*, PitKIR",Ari,W 25-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reggie Bush, SFRBP",Bal,W 25-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vince Young, GBQB",SD,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vernon Davis, SFTEP",Bal,W 25-20,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Santonio Holmes, ChiWR",@Det,L 34-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DeAngelo Williams, PitRB",Ari,W 25-13,0/0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
"Marcedes Lewis, JaxTE",Hou,L 20-31,0/0,0,0,0,0,0,0,1,8,0,2,0,0,0,0
"Kellen Clemens, SDQB",@GB,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Fasano, TenTE",Mia,L 10-38,0/0,0,0,0,0,0,0,2,1,0,3,0,0,0,0
"Devin Hester*, AtlWRIR",@NO,L 21-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tony Scheffler, DetTE",Chi,W 37-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tarvaris Jackson, SeaQB",Car,L 23-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charlie Whitehurst, TenQB",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Derek Hagan, TenWR",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Michael Robinson, SeaRB",Car,L 23-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brad Smith, PhiWR",NYG,W 27-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jason Avant, KCWR",@Min,L 10-16,0/0,0,0,0,0,0,0,1,4,0,3,0,0,0,0
"Leon Washington, TenRB",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Domenik Hixon, CarWR",@Sea,W 27-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeff King, AriTE",@Pit,L 13-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bruce Gradkowski*, PitQBIR",Ari,W 25-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Obomanu, NYJWR",Wsh,W 34-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marques Colston, NOWRQ",Atl,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montell Owens, ChiRB",@Det,L 34-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fred Jackson, SeaRB",Car,L 23-27,0/0,0,0,0,0,0,0,2,7,0,2,0,0,0,0
"Daniel Fells*, NYGTEIR",@Phi,L 7-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micheal Spurlock, ChiWR",@Det,L 34-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brady Quinn, MiaQB",@Ten,W 38-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dwayne Bowe, CleWR",Den,L 23-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Robert Meachem, NOWR",Atl,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevin Kolb, BufQB",Cin,L 21-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zach Miller, SeaTE",Car,L 23-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drew Stanton, AriQB",@Pit,L 13-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sidney Rice, SeaWR",Car,L 23-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian Leonard, NORB",Atl,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacoby Jones, SDWR",@GB,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Spaeth, PitTEP",Ari,W 25-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Michael Bush, AriRB",@Pit,L 13-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Le'Ron McClain, SDRB",@GB,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Rosario, ChiTE",@Det,L 34-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Brent Celek, PhiTE",NYG,W 27-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jordan Palmer, TenQB",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Thigpen, CleQB",Den,L 23-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clark Harris, CinTE",@Buf,W 34-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jason Snelling, AtlRB",@NO,L 21-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahmad Bradshaw, IndRB",NE,L 27-34,0/0,0,0,0,4,8,0,1,8,0,1,0,0,0,0
"Pierre Thomas, FARB",** BYE **,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eric Weems, AtlWRQ",@NO,L 21-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Moore, MiaQBP",@Ten,W 38-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jackie Battle, TenRB",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Felix Jones, PitRB",Ari,W 25-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rashard Mendenhall, AriRB",@Pit,L 13-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dustin Keller, MiaTE",@Ten,W 38-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Donnie Avery, KCWR",@Min,L 10-16,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jordy Nelson*, GBWRIR",SD,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John Carlson, AriTE",@Pit,L 13-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jerome Simpson, SFWRSSPD",Bal,W 25-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fred Davis, WshTE",@NYJ,L 20-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DeSean Jackson, WshWRQ",@NYJ,L 20-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chad Henne, JaxQB",Hou,L 20-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Earl Bennett, ChiWR",@Det,L 34-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jamaal Charles*, KCRBIR",@Min,L 10-16,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craig Stevens, TenTE",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jermichael Finley, GBTE",SD,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mario Manningham, NYGWR",@Phi,L 7-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tashard Choice, IndRB",NE,L 27-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jerome Felton, BufRB",Cin,L 21-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tim Hightower, NORB",Atl,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matthew Slater, NEWRQ",@Ind,W 34-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dennis Dixon, AriQB",@Pit,L 13-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kellen Davis, NYJTE",Wsh,W 34-20,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Josh Johnson, BufQB",Cin,L 21-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Josh Morgan, NOWR",Atl,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jalen Parmele, CleRB",Den,L 23-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lex Hilliard, NYJRB",Wsh,W 34-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Flynn, NYJQB",Wsh,W 34-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stevie Johnson, SDWRQ",@GB,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peyton Hillis, NYGRB",@Phi,L 7-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jed Collins, DetRB",Chi,W 37-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garrett Hartley*, PitKO",Ari,W 25-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davone Bess, CleWR",Den,L 23-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matthew Mulligan, BufTE",Cin,L 21-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BenJarvus Green-Ellis, CinRB",@Buf,W 34-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darius Reynaud, ChiRB",@Det,L 34-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Armstrong, CleWR",Den,L 23-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chase Daniel, KCQB",@Min,L 10-16,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Josh Freeman, MiaQB",@Ten,W 38-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Graham Harrell, NYJQB",Wsh,W 34-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curtis Painter, NYGQB",@Phi,L 7-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mark Sanchez, PhiQB",NYG,W 27-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Pat White, WshQB",@NYJ,L 20-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kahlil Bell, GBRB",SD,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Donald Brown, SDRB",@GB,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andre Brown, HouRB",@Jax,W 31-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tony Fiammetta, ChiRB",@Det,L 34-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mike Goodson, NYJRB",Wsh,W 34-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shonn Greene, TenRB",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"David Johnson, SDTE",@GB,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quinn Johnson, TenRB",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Ogbonnaya, NYGRB",@Phi,L 7-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cedric Peerman, CinRB",@Buf,W 34-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marcus Thigpen, IndRB",NE,L 27-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Travis Beckum, NOTE",Atl,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"James Casey, DenTE",@Cle,W 26-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chase Coffman, TenTE",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cameron Morrah, DenTE",@Cle,W 26-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bear Pascoe, ChiTE",@Det,L 34-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Pettigrew, DetTEQ",Chi,W 37-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John Phillips, SDTE",@GB,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Richard Quinn, NOTE",Atl,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kory Sperry, MinTE",KC,W 16-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ramses Barden, JaxWR",Hou,L 20-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austin Collie, NEWR",@Ind,W 34-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Gibson*, NEWRIR",@Ind,W 34-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian Hartline, CleWR",Den,L 23-26,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Percy Harvin*, BufWRO",Cin,L 21-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darrius Heyward-Bey, PitWR",Ari,W 25-13,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Brandon LaFell*, NEWRO",@Ind,W 34-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hakeem Nicks, TenWR",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jordan Norwood, DenWR",@Cle,W 26-23,0/0,0,0,0,0,0,0,1,-1,0,2,0,0,0,0
"Kevin Ogletree, NYGWR",@Phi,L 7-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greg Orton, NEWR",@Ind,W 34-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian Robiskie, TenWR",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Tate, CinWR",@Buf,W 34-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mike Thomas, HouWR",@Jax,W 31-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiquan Underwood, CarWR",@Sea,W 27-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zach Miller, ChiTE",@Det,L 34-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bernard Scott, BalRB",@SF,L 20-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LaRod Stephens-Howling, PitRB",Ari,W 25-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frank Summers, BufRB",Cin,L 21-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Will Ta'ufo'ou, JaxRB",Hou,L 20-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevin Brock*, NOTEIR",Atl,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isaac Redman, PitRB",Ari,W 25-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Pressley, CinRB",@Buf,W 34-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zach Potter, HouTE",@Jax,W 31-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darrel Young, WshRB",@NYJ,L 20-34,0/0,0,0,0,0,0,0,1,8,0,1,0,0,0,0
"Isaiah Williams, TenWR",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antone Smith, ChiRB",@Det,L 34-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chad Hall, JaxWR",Hou,L 20-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jimmy Clausen, ChiQB",@Det,L 34-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Colt McCoy, WshQB",@NYJ,L 20-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jonathan Dwyer, AriRBSSPD",@Pit,L 13-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montario Hardesty, CleRB",Den,L 23-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joe McKnight, KCRB",@Min,L 10-16,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Tate, PitRB",Ari,W 25-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boobie Dixon, BufRB",Cin,L 21-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arrelious Benn*, JaxWRIR",Hou,L 20-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carlton Mitchell, AtlWR",@NO,L 21-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taylor Price, JaxWR",Hou,L 20-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
