player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,targets,2-pt,fl,def_td,fan_pts,punt_td,kick_td

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Jordan Cameron, MiaTE",@Ten,W 38-10,0/0,0,0,0,0,0,0,3,30,1,8,0,0,0,9
"Ladarius Green, SDTE",@GB,L 20-27,0/0,0,0,0,0,0,0,3,35,1,4,0,0,0,9
"Griff Whalen, IndWR",NE,L 27-34,0/0,0,0,0,0,0,0,2,30,1,3,0,0,0,9
"Tyler Eifert, CinTE",@Buf,W 34-21,0/0,0,0,0,0,0,0,4,30,1,4,0,0,0,9
"Caleb Sturgis, PhiK",NYG,W 27-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Dion Sims, MiaTE",@Ten,W 38-10,0/0,0,0,0,0,0,0,4,33,1,4,0,0,0,9
"Quinton Patton, SFWR",Bal,W 25-20,0/0,0,0,0,0,0,0,2,38,1,3,0,0,0,9
"Teddy Bridgewater, MinQB",KC,W 16-10,17/31,249,1,2,3,-5,0,0,0,0,0,0,0,0,9
"Allen Hurns, JaxWRQ",Hou,L 20-31,0/0,0,0,0,0,0,0,2,30,1,7,0,0,0,9
Browns D/STD/ST,Den,L 23-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
"Eli Manning, NYGQB",@Phi,L 7-27,24/38,189,1,2,1,12,0,0,0,0,0,0,0,0,8
"Roddy White, AtlWRQ",@NO,L 21-31,0/0,0,0,0,0,0,0,3,23,1,4,0,0,0,8
"Frank Gore, IndRB",NE,L 27-34,0/0,0,0,0,13,78,0,2,16,0,3,0,0,0,8
"Nick Novak, HouK",@Jax,W 31-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Pierre Garcon, WshWR",@NYJ,L 20-34,0/0,0,0,0,0,0,0,5,28,1,8,0,0,0,8
"Bryan Walters, JaxWR",Hou,L 20-31,0/0,0,0,0,0,0,0,8,87,0,11,0,0,0,8
"Bruce Miller, SFRB",Bal,W 25-20,0/0,0,0,0,0,0,0,3,89,0,3,0,0,0,8
"Kamar Aiken, BalWR",@SF,L 20-25,0/0,0,0,0,0,0,0,3,22,1,7,0,0,0,8
"Rishard Matthews, MiaWR",@Ten,W 38-10,0/0,0,0,0,0,0,0,6,85,0,6,0,0,0,8
"Le'Veon Bell, PitRB",Ari,W 25-13,0/0,0,0,0,24,88,0,0,0,0,0,0,0,0,8
"Travis Kelce, KCTEP",@Min,L 10-16,0/0,0,0,0,0,0,0,5,88,0,7,0,0,0,8
"Jeremy Langford, ChiRB",@Det,L 34-37,0/0,0,0,0,5,10,1,1,17,0,2,0,0,0,8
"Josh Lambo, SDK",@GB,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Andrew Franks, MiaK",@Ten,W 38-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Redskins D/STD/ST,@NYJ,L 20-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
"Kirk Cousins, WshQB",@NYJ,L 20-34,25/43,196,1,2,1,1,0,0,0,0,0,0,0,0,7
"Justin Tucker, BalK",@SF,L 20-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Theo Riddick, DetRBQ",Chi,W 37-34,0/0,0,0,0,7,28,0,3,50,0,6,0,0,0,7
"Timothy Wright, DetTE",Chi,W 37-34,0/0,0,0,0,0,0,0,3,17,1,6,0,0,0,7
"Dontrelle Inman, SDWR",@GB,L 20-27,0/0,0,0,0,0,0,0,3,18,1,7,0,0,0,7
"Jeff Janis, GBWR",SD,W 27-20,0/0,0,0,0,0,0,0,2,79,0,3,0,0,0,7
"Rashad Ross, WshWR",@NYJ,L 20-34,0/0,0,0,0,0,0,0,1,16,0,3,0,0,1,7
Chiefs D/STD/ST,@Min,L 10-16,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Vikings D/STD/ST,KC,W 16-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Jets D/STD/ST,Wsh,W 34-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Miles Austin, PhiWR",NYG,W 27-7,0/0,0,0,0,0,0,0,3,60,0,3,0,0,0,6
"Adrian Peterson, MinRBQ",KC,W 16-10,0/0,0,0,0,26,60,0,1,-3,0,1,0,0,0,6
"Danny Woodhead, SDRB",@GB,L 20-27,0/0,0,0,0,7,8,0,5,63,0,7,0,0,0,6
"Rashad Jennings, NYGRB",@Phi,L 7-27,0/0,0,0,0,13,63,0,3,20,0,3,0,1,0,6
"Kyle Rudolph, MinTE",KC,W 16-10,0/0,0,0,0,0,0,0,2,9,1,5,0,0,0,6
"Charles Clay, BufTE",Cin,L 21-34,0/0,0,0,0,0,0,0,9,62,0,13,0,0,0,6
"Cecil Shorts III*, HouWRO",@Jax,W 31-20,0/0,0,0,0,0,0,0,4,63,0,6,0,0,0,6
"Jarius Wright, MinWRP",KC,W 16-10,0/0,0,0,0,0,0,0,2,69,0,3,0,0,0,6
"C.J. Anderson, DenRB",@Cle,W 26-23,0/0,0,0,0,13,41,0,4,25,0,4,0,0,0,6
"Branden Oliver, SDRB",@GB,L 20-27,0/0,0,0,0,7,23,0,4,40,0,4,0,0,0,6
"Chandler Catanzaro, AriK",@Pit,L 13-25,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Ameer Abdullah, DetRB",Chi,W 37-34,0/0,0,0,0,14,48,0,3,21,0,4,0,0,0,6
Colts D/STD/ST,NE,L 27-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Giants D/STD/ST,@Phi,L 7-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Seahawks D/STD/ST,Car,L 23-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,6

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Martellus Bennett, ChiTE",@Det,L 34-37,0/0,0,0,0,0,0,0,6,59,0,11,0,0,0,5
"Justin Hunter, TenWR",Mia,L 10-38,0/0,0,0,0,0,0,0,3,54,0,4,0,0,0,5
"Chris Gragg, BufTE",Cin,L 21-34,0/0,0,0,0,0,0,0,5,54,0,5,0,0,0,5
"Zac Stacy, NYJRB",Wsh,W 34-20,0/0,0,0,0,13,46,0,2,15,0,2,0,0,0,5
"Marquess Wilson, ChiWR",@Det,L 34-37,0/0,0,0,0,0,0,0,2,54,0,4,0,0,0,5
"Carlos Hyde, SFRBQ",Bal,W 25-20,0/0,0,0,0,21,55,0,2,5,0,2,0,0,0,5
"Zach Hocker, NOK",Atl,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Travis Coons, CleK",Den,L 23-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Cairo Santos, KCKP",@Min,L 10-16,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Willie Snead, NOWR",Atl,W 31-21,0/0,0,0,0,0,0,0,4,55,0,5,0,0,0,5
"Dorial Green-Beckham, TenWR",Mia,L 10-38,0/0,0,0,0,0,0,0,3,57,0,6,0,0,0,5
Steelers D/STD/ST,Ari,W 25-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Mike Vick, PitQBQ",Ari,W 25-13,3/8,6,0,0,5,47,0,0,0,0,0,0,0,0,4
"Chris Johnson, AriRB",@Pit,L 13-25,0/0,0,0,0,14,40,0,1,5,0,1,0,0,0,4
"Eddie Royal, ChiWR",@Det,L 34-37,0/0,0,0,0,0,0,0,5,49,0,7,0,0,0,4
"Jeremy Maclin, KCWRQ",@Min,L 10-16,0/0,0,0,0,0,0,0,3,48,0,4,0,0,0,4
"Ryan Succop, TenK",Mia,L 10-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Ryan Mathews, PhiRB",NYG,W 27-7,0/0,0,0,0,9,40,0,1,6,0,1,0,0,0,4
"Toby Gerhart, JaxRB",Hou,L 20-31,0/0,0,0,0,9,26,0,3,23,0,4,0,0,0,4
"Rueben Randle, NYGWRQ",@Phi,L 7-27,0/0,0,0,0,0,0,0,5,44,0,6,0,0,0,4
"Zach Ertz, PhiTE",NYG,W 27-7,0/0,0,0,0,0,0,0,4,43,0,7,0,0,0,4
"Robert Woods, BufWR",Cin,L 21-34,0/0,0,0,0,0,0,0,4,47,0,6,0,0,0,4
"Andre Ellington, AriRB",@Pit,L 13-25,0/0,0,0,0,1,7,0,2,47,0,2,0,0,0,4
"Kenny Stills, MiaWRQ",@Ten,W 38-10,0/0,0,0,0,0,0,0,2,46,0,2,0,0,0,4
"Khiry Robinson, NORB",Atl,W 31-21,0/0,0,0,0,7,23,0,2,24,0,2,0,0,0,4
"Brandin Cooks, NOWR",Atl,W 31-21,0/0,0,0,0,0,0,0,4,41,0,5,0,0,0,4
"Jamison Crowder, WshWR",@NYJ,L 20-34,0/1,0,0,0,0,0,0,4,40,0,9,0,0,0,4
