,Unnamed: 0,player,cbs,dk_name
175,297,Danny Amendola,10.34,Danny Amendola
176,298,Harry Douglas,5.75,Harry Douglas
177,299,Odell Beckham,15.84,Odell Beckham Jr.
178,300,Eddie Royal,8.33,Eddie Royal
179,301,Antonio Brown,16.05,Antonio Brown
180,302,Martavis Bryant,7.13,Martavis Bryant
181,303,Demaryius Thomas,17.73,Demaryius Thomas
182,304,Dwayne Harris,4.57,Dwayne Harris
183,306,Bennie Fowler,2.89,Bennie Fowler
184,308,Josh Huff,4.48,Josh Huff
185,309,Jaelen Strong,8.87,Jaelen Strong
186,311,T.Y. Hilton,16.3,T.Y. Hilton
187,312,Brandon Marshall,21.46,Brandon Marshall
188,313,Chris Matthews,4.4,Chris Matthews
189,314,Emmanuel Sanders,16.29,Emmanuel Sanders
190,317,Ryan Grant,4.29,Ryan Grant
191,318,Lance Moore,5.02,Lance Moore
192,319,Devin Smith,4.12,Devin Smith
193,320,Andre Caldwell,2.85,Andre Caldwell
194,321,Rishard Matthews,8.37,Rishard Matthews
195,322,Dorial Green-Beckham,7.09,Dorial Green-Beckham
196,323,Corey Fuller,4.99,Corey Fuller
197,324,DeAndre Hopkins,19.18,DeAndre Hopkins
198,326,Torrey Smith,9.22,Torrey Smith
199,327,John Brown,15.16,John Brown
200,328,Marlon Brown,5.91,Marlon Brown
201,330,Jordan Matthews,13.41,Jordan Matthews
202,331,Nelson Agholor,6.26,Nelson Agholor
203,332,A.J. Green,17.73,A.J. Green
204,333,Ted Ginn,10.7,Ted Ginn Jr.
205,334,Darrius Heyward-Bey,5.1,Darrius Heyward-Bey
206,337,Julian Edelman,18.88,Julian Edelman
207,339,Donte Moncrief,9.47,Donte Moncrief
208,340,Brandin Cooks,16.27,NaN
209,341,Devin Funchess,5.7,Devin Funchess
210,342,James Jones,14.79,James Jones
211,343,Travis Benjamin,9.9,Travis Benjamin
212,344,De'Anthony Thomas,4.51,De'Anthony Thomas
213,346,Bruce Ellington,2.94,Bruce Ellington
214,347,Percy Harvin,8.29,Percy Harvin
215,348,Golden Tate,12.95,Golden Tate
216,349,Aaron Dobson,3.81,Aaron Dobson
217,350,Jamison Crowder,7.52,Jamison Crowder
218,353,Quinton Patton,3.46,Quinton Patton
219,354,Brandon Coleman,8.38,NaN
220,355,Willie Snead,13.55,NaN
221,356,Keenan Allen,15.33,Keenan Allen
222,357,Marvin Jones,8.69,Marvin Jones
223,362,Kyle Rudolph,8.57,Kyle Rudolph
224,364,Jacob Tamme,6.25,NaN
225,365,Charles Clay,8.42,Charles Clay
226,366,Martellus Bennett,12.25,Martellus Bennett
227,367,Delanie Walker,7.8,Delanie Walker
228,368,Vance McDonald,2.99,Vance McDonald
229,369,Antonio Gates,11.95,Antonio Gates
230,370,Jake Stoneburner,5.51,Jake Stoneburner
231,372,Garrett Graham,4.74,Garrett Graham
232,373,Heath Miller,5.87,Heath Miller
233,375,Jimmy Graham,11.52,Jimmy Graham
234,377,Rob Gronkowski,17.52,Rob Gronkowski
235,378,Jim Dray,3.97,Jim Dray
236,380,Julius Thomas,12.34,Julius Thomas
237,384,Ladarius Green,6.79,Ladarius Green
238,385,Vernon Davis,7.52,Vernon Davis
239,386,Gary Barnidge,10.04,Gary Barnidge
240,387,Josh Hill,7.74,NaN
241,390,Richard Rodgers,7.75,Richard Rodgers
242,392,Maxx Williams,3.42,Maxx Williams
243,396,Kellen Davis,5.45,Kellen Davis
244,397,Crockett Gillmore,11.54,Crockett Gillmore
245,398,Tyler Eifert,14.45,Tyler Eifert
246,399,Jermaine Gresham,3.97,Jermaine Gresham
247,402,Jordan Cameron,6.43,Jordan Cameron
248,405,Owen Daniels,5.61,Owen Daniels
249,407,Ed Dickson,3.92,Ed Dickson
250,409,Marcedes Lewis,4.24,Marcedes Lewis
251,410,Rhett Ellison,3.49,Rhett Ellison
252,411,Virgil Green,5.43,Virgil Green
253,412,James O'Shaughnessy,4.17,James O'Shaughnessy
254,414,Zach Ertz,6.06,Zach Ertz
255,416,Darren Fells,7.13,Darren Fells
256,418,Brandon Pettigrew,4.0,Brandon Pettigrew
257,420,Luke Willson,4.28,Luke Willson
258,421,Timothy Wright,7.64,NaN
259,422,Anthony Fasano,4.05,Anthony Fasano
260,423,Benjamin Watson,7.04,NaN
261,426,C.J. Fiedorowicz,3.92,C.J. Fiedorowicz
262,427,Derek Carrier,4.06,Derek Carrier
263,430,Rob Housler,3.97,Rob Housler
264,431,Brent Celek,6.01,Brent Celek
265,434,Greg Olsen,11.75,Greg Olsen
266,435,Garrett Celek,5.52,Garrett Celek
267,436,Travis Kelce,12.17,Travis Kelce
268,437,Larry Donnell,7.96,Larry Donnell
269,439,Dion Sims,3.55,Dion Sims
270,441,Scott Chandler,4.45,Scott Chandler
271,444,Ryan Hewitt,2.49,Ryan Hewitt
272,445,Dwayne Allen,7.17,Dwayne Allen
273,446,Coby Fleener,7.54,Coby Fleener
274,447,James Casey,1.37,NaN
275,448,Nick Boyle,7.29,Nick Boyle
