player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,punt_td,kick_td,fl,2-pt

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Brandon McManus, DenK",@Cle,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.5
"James Jones, GBWRP",SD,Sun 4:25,0/0,0,0,0,0,0,0,3.6,54.3,0.6,8.5

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Charcandrick West, KCRB",@Min,Sun 1:00,0/0,0,0,0,10.7,47.4,0.3,2.8,22.6,0.1,8.4
"Phil Dawson, SFK",Bal,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.4
"Zach Hocker, NOK",Atl,W 31-21,0/0,0,0,0,0,0,0,0,0,0,8.3
"Willie Snead, NOWR",Atl,W 31-21,0/0,0,0,0,0,0,0,4.8,69.5,0.4,8.3
Ravens D/STD/ST,@SF,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.3
"Josh Brown, NYGK",@Phi,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,8.2
"Kamar Aiken, BalWR",@SF,Sun 4:25,0/0,0,0,0,0,0,0,4.4,62.5,0.4,8.1
Packers D/STD/ST,SD,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.1
"Caleb Sturgis, PhiK",NYG,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,8.1
"Steven Hauschka, SeaK",Car,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,8
"Danny Woodhead, SDRB",@GB,Sun 4:25,0/0,0,0,0,7.8,34.2,0.1,4,36.6,0.2,8
Patriots D/STD/ST,@Ind,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,8
"Matt Prater, DetK",Chi,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8
"Dan Carpenter, BufK",Cin,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.9
"Chandler Catanzaro, AriK",@Pit,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.9
"Jason Myers, JaxK",Hou,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.9
"Nick Folk, NYJK",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.8
"Antonio Gates, SDTE",@GB,Sun 4:25,0/0,0,0,0,0,0,0,4.4,53.8,0.5,7.8
"Donte Moncrief, IndWR",NE,Sun 8:30,0/0,0,0,0,0.2,1.4,0,4.4,57,0.5,7.7
"Robbie Gould, ChiK",@Det,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.7
"Graham Gano, CarK",@Sea,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,7.7
"Dustin Hopkins, WshK",@NYJ,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.7
"Jarvis Landry, MiaWR",@Ten,Sun 1:00,0/0,0,0,0,1.1,9.2,0,5.8,56,0.4,7.6
"Mason Crosby, GBK",SD,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,7.6
Vikings D/STD/ST,KC,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.6
"Josh Lambo, SDK",@GB,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,7.6
"Chris Johnson, AriRB",@Pit,Sun 1:00,0/0,0,0,0,14.7,57.9,0.4,0.9,7.1,0,7.5
"Cairo Santos, KCK",@Min,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.5
"Melvin Gordon, SDRB",@GB,Sun 4:25,0/0,0,0,0,13.6,56.6,0.2,1.9,15.2,0.1,7.5
"Anquan Boldin, SFWR",Bal,Sun 4:25,0/0,0,0,0,0,0,0,5,61.1,0.3,7.5
"Rueben Randle, NYGWRP",@Phi,Mon 8:30,0/0,0,0,0,0,0,0,4.3,60.7,0.2,7.5
"Mike Nugent, CinK",@Buf,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.4
Bengals D/STD/ST,@Buf,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.4
Redskins D/STD/ST,@NYJ,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.4
Panthers D/STD/ST,@Sea,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,7.3
"Adam Vinatieri, IndK",NE,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,7.3
"Tyler Eifert, CinTE",@Buf,Sun 1:00,0/0,0,0,0,0,0,0,4.8,57.1,0.4,7.3
"Andrew Franks, MiaK",@Ten,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.3
Texans D/STD/ST,@Jax,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.1
"Martellus Bennett, ChiTEQ",@Det,Sun 1:00,0/0,0,0,0,0,0,0,4.9,52.1,0.4,7.1

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"John Brown, AriWRP",@Pit,Sun 1:00,0/0,0,0,0,0.2,1.6,0,3.9,54.3,0.3,7.1
"Allen Hurns, JaxWRP",Hou,Sun 1:00,0/0,0,0,0,0,0,0,4.1,55.6,0.3,7
"Pierre Garcon, WshWRP",@NYJ,Sun 1:00,0/0,0,0,0,0,0,0,4.9,62.3,0.2,7
"Ameer Abdullah, DetRB",Chi,Sun 1:00,0/0,0,0,0,9.6,41.5,0.3,2,16.5,0.1,7
"Jonathan Stewart, CarRB",@Sea,Sun 4:05,0/0,0,0,0,14.9,57.5,0.2,1.5,10.3,0,6.9
"Kendall Wright, TenWR",Mia,Sun 1:00,0/0,0,0,0,0.6,3.9,0,4.6,50.7,0.3,6.8
Lions D/STD/ST,Chi,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.8
"Golden Tate, DetWRP",Chi,Sun 1:00,0/0,0,0,0,0.4,2.9,0,4.8,58.7,0.3,6.8
"Travis Kelce, KCTEP",@Min,Sun 1:00,0/0,0,0,0,0,0,0,5,53.4,0.3,6.8
"Eric Decker, NYJWRP",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,4.2,52.7,0.3,6.7
"Toby Gerhart, JaxRB",Hou,Sun 1:00,0/0,0,0,0,11.4,43.8,0.2,2,16.4,0.1,6.7
"Mike Wallace, MinWRP",KC,Sun 1:00,0/0,0,0,0,0,0,0,3.7,56.4,0.3,6.7
"Travis Coons, CleK",Den,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.7
"Antonio Andrews, TenRB",Mia,Sun 1:00,0/0,0,0,0,10.7,42.2,0.4,0.8,6.4,0,6.7
"Ryan Succop, TenK",Mia,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.6
"Travis Benjamin, CleWR",Den,Sun 1:00,0/0,0,0,0,0,0,0,3.7,56,0.2,6.6
"Alfred Morris, WshRB",@NYJ,Sun 1:00,0/0,0,0,0,14.7,52.4,0.3,0.6,4.5,0,6.6
Chiefs D/STD/ST,@Min,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.6
"Greg Olsen, CarTE",@Sea,Sun 4:05,0/0,0,0,0,0,0,0,4.8,58,0.3,6.5
"Denard Robinson, JaxRBP",Hou,Sun 1:00,0/0,0,0,0,10.3,40.1,0.2,1.8,12.3,0.1,6.5
Bears D/STD/ST,@Det,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.4
"Andre Johnson, IndWR",NE,Sun 8:30,0/0,0,0,0,0,0,0,3.4,42.7,0.4,6.4
Dolphins D/STD/ST,@Ten,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.4
"Javorius Allen, BalRB",@SF,Sun 4:25,0/0,0,0,0,9.5,37.9,0.4,1.7,13.3,0.1,6.4
"Leonard Hankerson, AtlWRP",@NO,L 21-31,0/0,0,0,0,0,0,0,3.9,48.6,0.4,6.4
"Jimmy Graham, SeaTE",Car,Sun 4:05,0/0,0,0,0,0,0,0,3.4,40.9,0.4,6.3
Eagles D/STD/ST,NYG,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,6.3
"Doug Baldwin, SeaWR",Car,Sun 4:05,0/0,0,0,0,0.1,0.9,0,3.8,51,0.2,6.3
Bills D/STD/ST,Cin,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.3
"Duke Johnson Jr., CleRB",Den,Sun 1:00,0/0,0,0,0,7.9,29.4,0.1,4.2,32.8,0.1,6.2
"Jeremy Hill, CinRB",@Buf,Sun 1:00,0/0,0,0,0,10.5,43.1,0.4,1,7.3,0,6.2
"Richard Rodgers, GBTE",SD,Sun 4:25,0/0,0,0,0,0,0,0,3.3,36.3,0.5,6.1
"Julius Thomas, JaxTEP",Hou,Sun 1:00,0/0,0,0,0,0,0,0,3.7,42.2,0.4,6.1
"Ty Montgomery, GBWR",SD,Sun 4:25,0/0,0,0,0,0.3,1.7,0,3.3,42.5,0.3,6
"Michael Floyd, AriWR",@Pit,Sun 1:00,0/0,0,0,0,0,0,0,3,44.1,0.3,5.9
"Zach Ertz, PhiTE",NYG,Mon 8:30,0/0,0,0,0,0,0,0,3.4,42.7,0.3,5.9
