,QB,RB1,RB2,Total_Salary,Total_Projection
383,Andy Dalton,Danny Woodhead,Carlos Hyde,15200,38.1
385,Andy Dalton,Joseph Randle,Devonta Freeman,18000,56.6
386,Andy Dalton,Joseph Randle,Jamaal Charles,19500,60.6
387,Andy Dalton,Joseph Randle,Dion Lewis,16500,53.1
388,Andy Dalton,Joseph Randle,Mark Ingram,17800,52.1
389,Andy Dalton,Joseph Randle,Matt Forte,18700,54.6
390,Andy Dalton,Joseph Randle,Latavius Murray,18000,52.6
391,Andy Dalton,Joseph Randle,Danny Woodhead,16300,46.1
392,Andy Dalton,Joseph Randle,Joseph Randle,17700,50.6
393,Andy Dalton,Joseph Randle,Giovani Bernard,16500,43.1
394,Andy Dalton,Joseph Randle,LeGarrette Blount,16200,47.1
395,Andy Dalton,Joseph Randle,Carlos Hyde,16600,42.6
396,Andy Dalton,Giovani Bernard,Le'Veon Bell,19000,54.1
397,Andy Dalton,Giovani Bernard,Devonta Freeman,16800,49.1
398,Andy Dalton,Giovani Bernard,Jamaal Charles,18300,53.1
399,Andy Dalton,Giovani Bernard,Dion Lewis,15300,45.6
400,Andy Dalton,Giovani Bernard,Mark Ingram,16600,44.6
401,Andy Dalton,Giovani Bernard,Matt Forte,17500,47.1
402,Andy Dalton,Giovani Bernard,Latavius Murray,16800,45.1
403,Andy Dalton,Giovani Bernard,Danny Woodhead,15100,38.6
404,Andy Dalton,Giovani Bernard,Joseph Randle,16500,43.1
405,Andy Dalton,Giovani Bernard,Giovani Bernard,15300,35.6
406,Andy Dalton,Giovani Bernard,LeGarrette Blount,15000,39.6
407,Andy Dalton,Giovani Bernard,Carlos Hyde,15400,35.1
408,Andy Dalton,LeGarrette Blount,Le'Veon Bell,18700,58.1
409,Andy Dalton,LeGarrette Blount,Devonta Freeman,16500,53.1
410,Andy Dalton,LeGarrette Blount,Jamaal Charles,18000,57.1
411,Andy Dalton,LeGarrette Blount,Dion Lewis,15000,49.6
412,Andy Dalton,LeGarrette Blount,Mark Ingram,16300,48.6
413,Andy Dalton,LeGarrette Blount,Matt Forte,17200,51.1
414,Andy Dalton,LeGarrette Blount,Latavius Murray,16500,49.1
415,Andy Dalton,LeGarrette Blount,Danny Woodhead,14800,42.6
416,Andy Dalton,LeGarrette Blount,Joseph Randle,16200,47.1
417,Andy Dalton,LeGarrette Blount,Giovani Bernard,15000,39.6
418,Andy Dalton,LeGarrette Blount,LeGarrette Blount,14700,43.6
419,Andy Dalton,LeGarrette Blount,Carlos Hyde,15100,39.1
420,Andy Dalton,Carlos Hyde,Le'Veon Bell,19100,53.6
421,Andy Dalton,Carlos Hyde,Devonta Freeman,16900,48.6
422,Andy Dalton,Carlos Hyde,Jamaal Charles,18400,52.6
423,Andy Dalton,Carlos Hyde,Dion Lewis,15400,45.1
424,Andy Dalton,Carlos Hyde,Mark Ingram,16700,44.1
425,Andy Dalton,Carlos Hyde,Matt Forte,17600,46.6
426,Andy Dalton,Carlos Hyde,Latavius Murray,16900,44.6
427,Andy Dalton,Carlos Hyde,Danny Woodhead,15200,38.1
428,Andy Dalton,Carlos Hyde,Joseph Randle,16600,42.6
429,Andy Dalton,Carlos Hyde,Giovani Bernard,15400,35.1
430,Andy Dalton,Carlos Hyde,LeGarrette Blount,15100,39.1
431,Andy Dalton,Carlos Hyde,Carlos Hyde,15500,34.6
435,Carson Palmer,Le'Veon Bell,Dion Lewis,19900,63.7
439,Carson Palmer,Le'Veon Bell,Danny Woodhead,19700,56.7
441,Carson Palmer,Le'Veon Bell,Giovani Bernard,19900,53.7
442,Carson Palmer,Le'Veon Bell,LeGarrette Blount,19600,57.7
443,Carson Palmer,Le'Veon Bell,Carlos Hyde,20000,53.2
445,Carson Palmer,Devonta Freeman,Devonta Freeman,19200,62.2
447,Carson Palmer,Devonta Freeman,Dion Lewis,17700,58.7
448,Carson Palmer,Devonta Freeman,Mark Ingram,19000,57.7
449,Carson Palmer,Devonta Freeman,Matt Forte,19900,60.2
450,Carson Palmer,Devonta Freeman,Latavius Murray,19200,58.2
451,Carson Palmer,Devonta Freeman,Danny Woodhead,17500,51.7
452,Carson Palmer,Devonta Freeman,Joseph Randle,18900,56.2
453,Carson Palmer,Devonta Freeman,Giovani Bernard,17700,48.7
454,Carson Palmer,Devonta Freeman,LeGarrette Blount,17400,52.7
455,Carson Palmer,Devonta Freeman,Carlos Hyde,17800,48.2
459,Carson Palmer,Jamaal Charles,Dion Lewis,19200,62.7
463,Carson Palmer,Jamaal Charles,Danny Woodhead,19000,55.7
465,Carson Palmer,Jamaal Charles,Giovani Bernard,19200,52.7
466,Carson Palmer,Jamaal Charles,LeGarrette Blount,18900,56.7
467,Carson Palmer,Jamaal Charles,Carlos Hyde,19300,52.2
468,Carson Palmer,Dion Lewis,Le'Veon Bell,19900,63.7
469,Carson Palmer,Dion Lewis,Devonta Freeman,17700,58.7
470,Carson Palmer,Dion Lewis,Jamaal Charles,19200,62.7
471,Carson Palmer,Dion Lewis,Dion Lewis,16200,55.2
472,Carson Palmer,Dion Lewis,Mark Ingram,17500,54.2
473,Carson Palmer,Dion Lewis,Matt Forte,18400,56.7
474,Carson Palmer,Dion Lewis,Latavius Murray,17700,54.7
475,Carson Palmer,Dion Lewis,Danny Woodhead,16000,48.2
476,Carson Palmer,Dion Lewis,Joseph Randle,17400,52.7
477,Carson Palmer,Dion Lewis,Giovani Bernard,16200,45.2
478,Carson Palmer,Dion Lewis,LeGarrette Blount,15900,49.2
479,Carson Palmer,Dion Lewis,Carlos Hyde,16300,44.7
481,Carson Palmer,Mark Ingram,Devonta Freeman,19000,57.7
483,Carson Palmer,Mark Ingram,Dion Lewis,17500,54.2
484,Carson Palmer,Mark Ingram,Mark Ingram,18800,53.2
485,Carson Palmer,Mark Ingram,Matt Forte,19700,55.7
486,Carson Palmer,Mark Ingram,Latavius Murray,19000,53.7
487,Carson Palmer,Mark Ingram,Danny Woodhead,17300,47.2
488,Carson Palmer,Mark Ingram,Joseph Randle,18700,51.7
489,Carson Palmer,Mark Ingram,Giovani Bernard,17500,44.2
490,Carson Palmer,Mark Ingram,LeGarrette Blount,17200,48.2
491,Carson Palmer,Mark Ingram,Carlos Hyde,17600,43.7
493,Carson Palmer,Matt Forte,Devonta Freeman,19900,60.2
495,Carson Palmer,Matt Forte,Dion Lewis,18400,56.7
496,Carson Palmer,Matt Forte,Mark Ingram,19700,55.7
498,Carson Palmer,Matt Forte,Latavius Murray,19900,56.2
499,Carson Palmer,Matt Forte,Danny Woodhead,18200,49.7
500,Carson Palmer,Matt Forte,Joseph Randle,19600,54.2
501,Carson Palmer,Matt Forte,Giovani Bernard,18400,46.7
502,Carson Palmer,Matt Forte,LeGarrette Blount,18100,50.7
503,Carson Palmer,Matt Forte,Carlos Hyde,18500,46.2
505,Carson Palmer,Latavius Murray,Devonta Freeman,19200,58.2
507,Carson Palmer,Latavius Murray,Dion Lewis,17700,54.7
508,Carson Palmer,Latavius Murray,Mark Ingram,19000,53.7
509,Carson Palmer,Latavius Murray,Matt Forte,19900,56.2
510,Carson Palmer,Latavius Murray,Latavius Murray,19200,54.2
511,Carson Palmer,Latavius Murray,Danny Woodhead,17500,47.7
512,Carson Palmer,Latavius Murray,Joseph Randle,18900,52.2
513,Carson Palmer,Latavius Murray,Giovani Bernard,17700,44.7
514,Carson Palmer,Latavius Murray,LeGarrette Blount,17400,48.7
515,Carson Palmer,Latavius Murray,Carlos Hyde,17800,44.2
516,Carson Palmer,Danny Woodhead,Le'Veon Bell,19700,56.7
517,Carson Palmer,Danny Woodhead,Devonta Freeman,17500,51.7
518,Carson Palmer,Danny Woodhead,Jamaal Charles,19000,55.7
519,Carson Palmer,Danny Woodhead,Dion Lewis,16000,48.2
520,Carson Palmer,Danny Woodhead,Mark Ingram,17300,47.2
521,Carson Palmer,Danny Woodhead,Matt Forte,18200,49.7
522,Carson Palmer,Danny Woodhead,Latavius Murray,17500,47.7
523,Carson Palmer,Danny Woodhead,Danny Woodhead,15800,41.2
524,Carson Palmer,Danny Woodhead,Joseph Randle,17200,45.7
525,Carson Palmer,Danny Woodhead,Giovani Bernard,16000,38.2
526,Carson Palmer,Danny Woodhead,LeGarrette Blount,15700,42.2
527,Carson Palmer,Danny Woodhead,Carlos Hyde,16100,37.7
529,Carson Palmer,Joseph Randle,Devonta Freeman,18900,56.2
531,Carson Palmer,Joseph Randle,Dion Lewis,17400,52.7
532,Carson Palmer,Joseph Randle,Mark Ingram,18700,51.7
533,Carson Palmer,Joseph Randle,Matt Forte,19600,54.2
534,Carson Palmer,Joseph Randle,Latavius Murray,18900,52.2
535,Carson Palmer,Joseph Randle,Danny Woodhead,17200,45.7
536,Carson Palmer,Joseph Randle,Joseph Randle,18600,50.2
537,Carson Palmer,Joseph Randle,Giovani Bernard,17400,42.7
538,Carson Palmer,Joseph Randle,LeGarrette Blount,17100,46.7
539,Carson Palmer,Joseph Randle,Carlos Hyde,17500,42.2
540,Carson Palmer,Giovani Bernard,Le'Veon Bell,19900,53.7
541,Carson Palmer,Giovani Bernard,Devonta Freeman,17700,48.7
542,Carson Palmer,Giovani Bernard,Jamaal Charles,19200,52.7
543,Carson Palmer,Giovani Bernard,Dion Lewis,16200,45.2
544,Carson Palmer,Giovani Bernard,Mark Ingram,17500,44.2
545,Carson Palmer,Giovani Bernard,Matt Forte,18400,46.7
546,Carson Palmer,Giovani Bernard,Latavius Murray,17700,44.7
547,Carson Palmer,Giovani Bernard,Danny Woodhead,16000,38.2
548,Carson Palmer,Giovani Bernard,Joseph Randle,17400,42.7
549,Carson Palmer,Giovani Bernard,Giovani Bernard,16200,35.2
550,Carson Palmer,Giovani Bernard,LeGarrette Blount,15900,39.2
551,Carson Palmer,Giovani Bernard,Carlos Hyde,16300,34.7
552,Carson Palmer,LeGarrette Blount,Le'Veon Bell,19600,57.7
553,Carson Palmer,LeGarrette Blount,Devonta Freeman,17400,52.7
554,Carson Palmer,LeGarrette Blount,Jamaal Charles,18900,56.7
555,Carson Palmer,LeGarrette Blount,Dion Lewis,15900,49.2
556,Carson Palmer,LeGarrette Blount,Mark Ingram,17200,48.2
557,Carson Palmer,LeGarrette Blount,Matt Forte,18100,50.7
558,Carson Palmer,LeGarrette Blount,Latavius Murray,17400,48.7
559,Carson Palmer,LeGarrette Blount,Danny Woodhead,15700,42.2
560,Carson Palmer,LeGarrette Blount,Joseph Randle,17100,46.7
561,Carson Palmer,LeGarrette Blount,Giovani Bernard,15900,39.2
562,Carson Palmer,LeGarrette Blount,LeGarrette Blount,15600,43.2
563,Carson Palmer,LeGarrette Blount,Carlos Hyde,16000,38.7
564,Carson Palmer,Carlos Hyde,Le'Veon Bell,20000,53.2
565,Carson Palmer,Carlos Hyde,Devonta Freeman,17800,48.2
566,Carson Palmer,Carlos Hyde,Jamaal Charles,19300,52.2
567,Carson Palmer,Carlos Hyde,Dion Lewis,16300,44.7
568,Carson Palmer,Carlos Hyde,Mark Ingram,17600,43.7
569,Carson Palmer,Carlos Hyde,Matt Forte,18500,46.2
570,Carson Palmer,Carlos Hyde,Latavius Murray,17800,44.2
571,Carson Palmer,Carlos Hyde,Danny Woodhead,16100,37.7
572,Carson Palmer,Carlos Hyde,Joseph Randle,17500,42.2
573,Carson Palmer,Carlos Hyde,Giovani Bernard,16300,34.7
574,Carson Palmer,Carlos Hyde,LeGarrette Blount,16000,38.7
575,Carson Palmer,Carlos Hyde,Carlos Hyde,16400,34.2
579,Tyrod Taylor,Le'Veon Bell,Dion Lewis,19100,64.8
583,Tyrod Taylor,Le'Veon Bell,Danny Woodhead,18900,57.8
