,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,final
37,DeMarco Murray,RB,6000,NYG@Phi 08:30PM ET,15.075,Phi,18.0,15.3,15.79,15.9,16.4,10.69,15.799,24.6
38,Sam Bradford,QB,6000,NYG@Phi 08:30PM ET,16.928,Phi,18.2,17.34,18.08,18.34,17.21,18.156,19.821,12.4
39,Joe Flacco,QB,5900,Bal@SF 04:25PM ET,17.376,Bal,13.3,18.06,16.22,19.06,17.364,17.166,17.2078,22.72
40,Allen Robinson,WR,5900,Hou@Jax 01:00PM ET,17.84,Jax,20.0,18.0,13.32,17.0,16.48,12.46,12.19,20.6
41,James Jones,WR,5800,SD@GB 04:25PM ET,18.28,GB,18.0,18.6,14.79,17.3,12.63,13.85,14.554,11.0
42,Dion Lewis,RB,5800,NE@Ind 08:30PM ET,20.45,NE,21.5,19.7,16.36,22.2,15.05,12.87,14.707,6.9
43,Marcus Mariota,QB,5800,Mia@Ten 01:00PM ET,19.5,Ten,19.3,18.72,16.54,19.72,16.254,17.644,15.2924,8.76
44,DeSean Jackson,WR,5700,Was@NYJ 01:00PM ET,0.0,Was,5.0,14.7,5.36,13.4,,,13.088,
45,Andy Dalton,QB,5700,Cin@Buf 01:00PM ET,25.644,Cin,18.8,17.2,16.74,18.2,17.27,14.5,19.1834,21.52
46,Ryan Tannehill,QB,5700,Mia@Ten 01:00PM ET,18.225,Mia,18.2,18.62,17.12,19.62,17.712,18.504,16.0096,
47,Jeremy Hill,RB,5700,Cin@Buf 01:00PM ET,10.2,Cin,11.5,11.7,10.23,11.1,8.44,6.52,12.4456,13.9
48,Tyrod Taylor,QB,5600,Cin@Buf 01:00PM ET,21.596,Buf,,12.24,,13.24,,,,
49,Greg Olsen,TE,5500,Car@Sea 04:05PM ET,14.075,Car,18.5,15.0,11.75,14.5,12.4,9.69,10.479,
50,Josh McCown,QB,5400,Den@Cle 01:00PM ET,22.905,Cle,14.0,17.52,14.76,18.52,14.27,14.292,14.3968,14.72
51,Jimmy Graham,TE,5400,Car@Sea 04:05PM ET,10.68,Sea,14.5,19.0,11.52,18.5,9.89,8.53,9.872,25.0
52,LeSean McCoy,RB,5400,Cin@Buf 01:00PM ET,11.967,Buf,6.5,16.1,11.36,15.7,13.78,,13.9834,17.4
53,Sammy Watkins,WR,5400,Cin@Buf 01:00PM ET,7.633,Buf,10.0,10.0,7.95,9.1,10.06,11.29,12.037,14.8
54,Alex Smith,QB,5300,KC@Min 01:00PM ET,16.908,KC,18.6,17.04,15.06,18.04,16.012,16.878,15.6258,16.28
55,Matthew Stafford,QB,5300,Chi@Det 01:00PM ET,13.12,Det,17.7,14.78,23.91,15.78,18.924,17.43,17.155,37.9
56,Teddy Bridgewater,QB,5300,KC@Min 01:00PM ET,11.965,Min,18.1,18.38,16.05,19.38,16.65,14.832,16.8952,
57,Karlos Williams,RB,5300,Cin@Buf 01:00PM ET,14.8,Buf,,,,,,,,
58,Jay Cutler,QB,5200,Chi@Det 01:00PM ET,15.53,Chi,14.0,17.0,14.53,18.0,16.802,24.368,16.197,23.32
59,Golden Tate,WR,5200,Chi@Det 01:00PM ET,10.56,Det,10.0,12.4,12.95,11.3,12.76,15.32,12.95,16.0
60,Kendall Wright,WR,5200,Mia@Ten 01:00PM ET,14.15,Ten,17.0,9.5,11.19,8.9,11.86,12.6,11.9778,7.4
61,John Brown,WR,5200,Ari@Pit 01:00PM ET,13.28,Ari,17.5,14.8,15.16,13.4,11.29,13.02,11.8632,31.6
62,Blake Bortles,QB,5200,Hou@Jax 01:00PM ET,20.432,Jax,18.9,16.98,14.0,17.98,18.816,16.69,14.481,28.94
63,Matt Hasselbeck,QB,5100,NE@Ind 08:30PM ET,15.8,Ind,,,,,,,,
64,Brian Hoyer,QB,5100,Hou@Jax 01:00PM ET,17.533,Hou,19.0,,15.37,,14.768,,15.9944,
65,Chris Ivory,RB,5100,Was@NYJ 01:00PM ET,18.867,NYJ,9.0,14.0,13.27,14.0,12.01,16.73,12.89,
66,Pierre Garcon,WR,5100,Was@NYJ 01:00PM ET,13.14,Was,11.0,17.4,11.72,16.7,12.33,12.48,10.421,13.8
67,Kirk Cousins,QB,5100,Was@NYJ 01:00PM ET,14.812,Was,13.2,14.2,11.41,15.2,12.794,13.202,15.6514,9.94
68,Mike Vick,QB,5000,Ari@Pit 01:00PM ET,6.7,Pit,,13.88,13.53,,15.338,17.796,,4.94
69,Charlie Whitehurst,QB,5000,Mia@Ten 01:00PM ET,0.0,Ten,,,,,,,,
70,Tarvaris Jackson,QB,5000,Car@Sea 04:05PM ET,0.0,Sea,,,,,,,,
71,Derek Anderson,QB,5000,Car@Sea 04:05PM ET,0.0,Car,,,,,,,,
72,Ryan Fitzpatrick,QB,5000,Was@NYJ 01:00PM ET,16.04,NYJ,19.4,16.52,20.73,17.52,15.788,14.464,15.5268,
73,Dan Orlovsky,QB,5000,Chi@Det 01:00PM ET,5.32,Det,,,,,,,,
74,Kellen Clemens,QB,5000,SD@GB 04:25PM ET,6.52,SD,,,,,,,,
75,Shaun Hill,QB,5000,KC@Min 01:00PM ET,0.0,Min,,,,,,,,
76,Matt Moore,QB,5000,Mia@Ten 01:00PM ET,0.0,Mia,,,,,,,,
77,Drew Stanton,QB,5000,Ari@Pit 01:00PM ET,-0.1,Ari,,,,,,,,
78,Matt Schaub,QB,5000,Bal@SF 04:25PM ET,0.0,Bal,,,,,,,,
79,Chad Henne,QB,5000,Hou@Jax 01:00PM ET,0.0,Jax,,,2.058,,,,1.0714,
80,Josh Johnson,QB,5000,NE@Ind 08:30PM ET,0.0,Ind,,,,,,,1.026,
81,Joe Webb,QB,5000,Car@Sea 04:05PM ET,0.0,Car,,,,,,,,
82,Mark Sanchez,QB,5000,NYG@Phi 08:30PM ET,0.0,Phi,,,,,,,,
83,Chase Daniel,QB,5000,KC@Min 01:00PM ET,0.0,KC,,,,,,,,
84,Colt McCoy,QB,5000,Was@NYJ 01:00PM ET,0.0,Was,,,,,,,,
85,Colin Kaepernick,QB,5000,Bal@SF 04:25PM ET,16.472,SF,15.5,12.54,17.65,14.54,18.078,18.894,16.7836,25.6
86,Scott Tolzien,QB,5000,SD@GB 04:25PM ET,0.0,GB,,,,,,,1.0002,
87,Thaddeus Lewis,QB,5000,NYG@Phi 08:30PM ET,0.0,Phi,,,,,,,,
88,Jimmy Clausen,QB,5000,Chi@Det 01:00PM ET,3.58,Chi,,,,,,,,
89,Ryan Mallett,QB,5000,Hou@Jax 01:00PM ET,9.58,Hou,,11.26,,12.26,,14.894,,
90,Austin Davis,QB,5000,Den@Cle 01:00PM ET,0.0,Cle,,,,,,,,
91,Landry Jones,QB,5000,Ari@Pit 01:00PM ET,0.0,Pit,,,,,,,,14.62
92,Travis Kelce,TE,5000,KC@Min 01:00PM ET,14.56,KC,18.0,16.4,12.17,15.2,12.14,12.06,12.72,13.8
93,Robert Griffin III,QB,5000,Was@NYJ 01:00PM ET,0.0,Was,,,,,,,,
94,EJ Manuel,QB,5000,Cin@Buf 01:00PM ET,-0.1,Buf,13.8,,12.58,,13.836,12.914,15.872,21.72
95,Blaine Gabbert,QB,5000,Bal@SF 04:25PM ET,0.0,SF,,,,,,,,
96,Andre Ellington,RB,5000,Ari@Pit 01:00PM ET,12.95,Ari,4.5,15.9,11.0,16.6,8.49,7.8,8.2168,7.4
