,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,final
215,Zac Stacy,RB,3100,Was@NYJ 01:00PM ET,4.2,NYJ,,0.9,3.84,0.7,2.75,0.56,4.457,
216,Josh Huff,WR,3100,NYG@Phi 08:30PM ET,6.425,Phi,8.5,6.6,4.48,6.3,4.05,3.17,4.4524,4.9
217,Richard Rodgers,TE,3100,SD@GB 04:25PM ET,9.92,GB,8.0,15.8,7.75,14.9,9.93,8.44,7.348,5.4
218,Dorial Green-Beckham,WR,3100,Mia@Ten 01:00PM ET,4.625,Ten,4.5,5.6,7.09,4.8,3.0,3.2,3.874,8.7
219,Taylor Gabriel,WR,3100,Den@Cle 01:00PM ET,6.04,Cle,4.0,3.6,5.45,3.8,4.79,7.09,4.673,1.5
220,Texans ,DST,3000,Hou@Jax 01:00PM ET,2.4,Hou,,,,,,,,
221,Bengals ,DST,3000,Cin@Buf 01:00PM ET,7.6,Cin,,,,,,,,
222,Panthers ,DST,3000,Car@Sea 04:05PM ET,12.0,Car,,,,,,,,
223,Greg Jennings,WR,3000,Mia@Ten 01:00PM ET,3.1,Mia,2.5,6.8,3.55,7.4,4.11,8.58,5.179,
224,Lance Moore,WR,3000,Chi@Det 01:00PM ET,6.24,Det,5.0,1.6,5.02,1.8,7.05,8.81,5.601,24.6
225,Jason Avant,WR,3000,KC@Min 01:00PM ET,2.22,KC,2.0,5.0,4.88,5.5,1.17,0.62,3.522,1.4
226,Vernon Davis,TE,3000,Bal@SF 04:25PM ET,6.3,SF,4.0,6.8,7.52,6.4,8.28,5.12,5.514,
227,Andre Caldwell,WR,3000,Den@Cle 01:00PM ET,0.78,Den,2.5,5.6,2.85,5.8,,0.11,2.205,3.8
228,Dwayne Bowe,WR,3000,Den@Cle 01:00PM ET,0.0,Cle,,1.4,,1.7,,0.86,3.048,
229,Harry Douglas,WR,3000,Mia@Ten 01:00PM ET,5.1,Ten,6.0,9.4,5.75,8.7,5.82,10.22,5.39,2.1
230,Matthew Slater,WR,3000,NE@Ind 08:30PM ET,0.0,NE,,,,,,0.3,,
231,Jerricho Cotchery,WR,3000,Car@Sea 04:05PM ET,8.3,Car,4.0,4.2,7.66,4.1,6.87,8.62,4.7142,
232,Jerome Felton,RB,3000,Cin@Buf 01:00PM ET,0.04,Buf,,,1.02,,,,3.0924,
233,Cedric Peerman,RB,3000,Cin@Buf 01:00PM ET,0.0,Cin,,,,,,0.36,1.606,
234,Mike Tolbert,RB,3000,Car@Sea 04:05PM ET,4.1,Car,4.5,4.0,4.69,4.6,5.46,2.9,1.877,
235,Andrew Hawkins,WR,3000,Den@Cle 01:00PM ET,7.02,Cle,8.0,7.9,6.31,7.0,7.09,11.06,5.149,3.5
236,John Kuhn,RB,3000,SD@GB 04:25PM ET,1.64,GB,,0.5,3.3,0.4,1.74,1.25,1.723,4.0
237,Seyi Ajirotutu,WR,3000,NYG@Phi 08:30PM ET,0.0,Phi,,,,,,,,
238,Marlon Moore,WR,3000,Den@Cle 01:00PM ET,0.5,Cle,,,,,,,1.171,
239,Brandon Tate,WR,3000,Cin@Buf 01:00PM ET,2.5,Cin,,,,,,0.71,4.38,
240,Darrel Young,RB,3000,Was@NYJ 01:00PM ET,0.24,Was,,,2.16,,,,1.9546,1.8
241,Brian Hartline,WR,3000,Den@Cle 01:00PM ET,4.36,Cle,6.0,5.4,7.01,5.7,5.1,6.12,6.384,
242,Donald Brown,RB,3000,SD@GB 04:25PM ET,0.0,SD,,,,,,,,
243,Jordan Norwood,WR,3000,Den@Cle 01:00PM ET,3.62,Den,,3.8,3.93,3.9,5.63,8.25,4.254,0.9
244,Shaun Draughn,RB,3000,Den@Cle 01:00PM ET,0.775,Cle,,,2.35,,,0.44,,
245,Bruce Miller,RB,3000,Bal@SF 04:25PM ET,1.2,SF,,,3.27,,,0.34,,11.9
246,Marc Mariani,WR,3000,Chi@Det 01:00PM ET,0.0,Chi,,,,,,0.01,,
247,Bryan Walters,WR,3000,Hou@Jax 01:00PM ET,5.9,Jax,2.5,,,,6.5,8.11,1.123,16.7
248,Andre Roberts,WR,3000,Was@NYJ 01:00PM ET,2.6,Was,,5.7,,4.9,,4.84,,1.6
249,Jacoby Jones,WR,3000,SD@GB 04:25PM ET,0.0,SD,,6.6,,6.4,,3.3,,
250,Fred Jackson,RB,3000,Car@Sea 04:05PM ET,6.1,Sea,,2.6,,2.7,4.11,,7.524,2.7
251,Jeremy Ross,WR,3000,Bal@SF 04:25PM ET,4.4,Bal,,,,,,,1.103,
252,Toby Gerhart,RB,3000,Hou@Jax 01:00PM ET,0.333,Jax,4.0,3.5,6.85,3.7,9.82,3.15,7.992,7.9
253,Dexter McCluster,RB,3000,Mia@Ten 01:00PM ET,6.3,Ten,3.5,8.6,6.6,10.0,6.64,12.25,6.352,13.2
254,Fozzy Whittaker,RB,3000,Car@Sea 04:05PM ET,1.8,Car,,5.5,,6.2,1.9,0.07,1.739,
255,Marcus Easley,WR,3000,Cin@Buf 01:00PM ET,0.0,Buf,,,,,,,,
256,Matt Asiata,RB,3000,KC@Min 01:00PM ET,2.45,Min,,3.3,,3.6,2.28,1.53,2.643,
257,Denarius Moore,WR,3000,Cin@Buf 01:00PM ET,-1.0,Buf,,,,,,,,
258,Jordan Cameron,TE,3000,Mia@Ten 01:00PM ET,7.25,Mia,15.5,12.2,6.43,11.1,9.06,10.8,8.767,
259,Coby Fleener,TE,3000,NE@Ind 08:30PM ET,7.76,Ind,4.5,5.8,7.54,5.9,7.34,8.73,7.682,
260,Greg Little,WR,3000,Cin@Buf 01:00PM ET,0.0,Cin,,,,,,0.01,,
261,Jeremy Kerley,WR,3000,Was@NYJ 01:00PM ET,3.825,NYJ,,8.8,6.98,8.5,,0.43,2.913,
262,Anthony Sherman,RB,3000,KC@Min 01:00PM ET,0.2,KC,,,1.99,,,1.48,1.398,2.3
263,Will Tukuafu,RB,3000,Car@Sea 04:05PM ET,0.0,Sea,,,,,,,,
264,Robert Turbin,RB,3000,Den@Cle 01:00PM ET,0.0,Cle,,1.0,,0.7,2.42,,1.073,2.7
265,Will Johnson,RB,3000,Ari@Pit 01:00PM ET,1.34,Pit,,,2.61,,,,1.497,
266,Michael Floyd,WR,3000,Ari@Pit 01:00PM ET,3.68,Ari,6.5,8.0,9.19,8.0,9.21,8.43,4.556,16.0
267,Chris Polk,RB,3000,Hou@Jax 01:00PM ET,5.9,Hou,4.0,4.8,,5.7,3.49,4.23,4.154,
268,Jacquizz Rodgers,RB,3000,Chi@Det 01:00PM ET,1.22,Chi,,,,,,,,
269,Jarryd Hayne,RB,3000,Bal@SF 04:25PM ET,0.64,SF,2.5,0.5,3.96,0.5,,1.83,1.353,
270,Kenjon Barner,RB,3000,NYG@Phi 08:30PM ET,0.0,Phi,,,,,,0.03,,
271,Zach Line,RB,3000,KC@Min 01:00PM ET,3.05,Min,,,2.42,,,0.04,,
272,Chris Owusu,WR,3000,Was@NYJ 01:00PM ET,4.75,NYJ,,,,,,6.94,3.808,
273,Griff Whalen,WR,3000,NE@Ind 08:30PM ET,0.52,Ind,,,,,,0.37,1.122,
274,Derrick Coleman,RB,3000,Car@Sea 04:05PM ET,0.24,Sea,,,1.27,,,,,
275,Jonathan Grimes,RB,3000,Hou@Jax 01:00PM ET,7.5,Hou,,0.8,,0.6,3.03,2.37,2.7782,
276,Frankie Hammond Jr.,WR,3000,KC@Min 01:00PM ET,0.0,KC,,,,,,,,
277,Jaron Brown,WR,3000,Ari@Pit 01:00PM ET,2.96,Ari,,,5.07,,,4.16,1.16,
278,Chris Givens,WR,3000,Bal@SF 04:25PM ET,1.025,Bal,,7.4,4.38,6.7,6.69,0.57,,3.8
279,Keshawn Martin,WR,3000,NE@Ind 08:30PM ET,8.3,NE,,,,,6.94,8.61,,4.9
280,Myles White,WR,3000,NYG@Phi 08:30PM ET,0.0,NYG,,,,,,,,
281,B.J. Daniels,WR,3000,Car@Sea 04:05PM ET,1.1,Sea,,,,,,,,
282,Jordan Todman,RB,3000,Ari@Pit 01:00PM ET,0.22,Pit,,,,,,,,
283,Jarius Wright,WR,3000,KC@Min 01:00PM ET,3.775,Min,,7.4,6.03,7.0,6.12,4.13,3.521,
284,Brandon Bolden,RB,3000,NE@Ind 08:30PM ET,0.9,NE,,2.7,,3.2,,,1.563,
285,Jonas Gray,RB,3000,Mia@Ten 01:00PM ET,2.45,Mia,,3.0,5.66,2.8,1.76,,,
286,Kyle Rudolph,TE,3000,KC@Min 01:00PM ET,7.6,Min,8.0,11.6,8.57,11.8,9.76,9.22,8.332,
287,Zurlon Tipton,RB,3000,NE@Ind 08:30PM ET,0.45,Ind,,,,,,,,
288,Tommy Bohanon,RB,3000,Was@NYJ 01:00PM ET,0.05,NYJ,,,1.68,,,0.21,,
289,Ryan Grant,WR,3000,Was@NYJ 01:00PM ET,4.76,Was,4.0,,4.29,1.7,7.89,7.64,3.302,4.2
290,Rex Burkhead,RB,3000,Cin@Buf 01:00PM ET,1.54,Cin,,,,,1.09,1.0,,
291,Nikita Whitlock,RB,3000,NYG@Phi 08:30PM ET,0.0,NYG,,,,,,,,
292,Stepfan Taylor,RB,3000,Ari@Pit 01:00PM ET,0.5,Ari,,2.1,,2.5,,0.04,2.347,
293,Tony Washington,WR,3000,Hou@Jax 01:00PM ET,0.267,Jax,,,,,,,,
294,Branden Oliver,RB,3000,SD@GB 04:25PM ET,1.18,SD,,3.0,2.04,3.1,,0.38,2.14,10.3
295,Dri Archer,WR,3000,Ari@Pit 01:00PM ET,0.0,Pit,,4.3,,5.0,,0.01,1.583,
296,Marquise Goodwin,WR,3000,Cin@Buf 01:00PM ET,4.4,Buf,,,,,,0.25,1.094,
297,Brandon Wegher,RB,3000,Car@Sea 04:05PM ET,0.0,Car,,,,,,,,
298,Kevin Norwood,WR,3000,Car@Sea 04:05PM ET,0.0,Car,,,,,,0.48,,
299,Cierre Wood,RB,3000,Cin@Buf 01:00PM ET,0.35,Buf,,,,,,,,
300,Ricardo Lockette,WR,3000,Car@Sea 04:05PM ET,0.66,Sea,,3.3,,2.7,,0.32,3.847,12.3
301,Denard Robinson,RB,3000,Hou@Jax 01:00PM ET,3.7,Jax,3.5,5.4,9.88,5.5,8.84,,5.761,6.8
302,Bennie Fowler,WR,3000,Den@Cle 01:00PM ET,3.54,Den,,,2.89,,3.28,1.66,4.327,
303,Jared Abbrederis,WR,3000,SD@GB 04:25PM ET,0.0,GB,,,,,,,,
304,Marlon Brown,WR,3000,Bal@SF 04:25PM ET,3.3,Bal,7.0,7.0,5.91,6.5,8.56,8.19,5.748,1.9
305,Chris Matthews,WR,3000,Car@Sea 04:05PM ET,1.44,Sea,,2.6,4.4,3.3,1.37,2.53,2.838,2.2
306,Aaron Dobson,WR,3000,NE@Ind 08:30PM ET,6.367,NE,2.0,5.0,3.81,4.5,1.21,2.31,1.772,
307,Bernard Pierce,RB,3000,Hou@Jax 01:00PM ET,0.96,Jax,,,,,,,,
308,Quincy Enunwa,WR,3000,Was@NYJ 01:00PM ET,3.425,NYJ,,,,,3.05,0.02,,
309,Justin Hunter,WR,3000,Mia@Ten 01:00PM ET,4.8,Ten,4.5,5.4,4.55,4.7,7.76,6.98,7.42,8.4
310,Kenny Stills,WR,3000,Mia@Ten 01:00PM ET,6.025,Mia,4.5,7.6,5.38,6.8,6.41,3.75,6.191,
311,Jay Prosch,RB,3000,Hou@Jax 01:00PM ET,0.56,Hou,,,1.08,,,0.04,2.447,
312,Jalston Fowler,RB,3000,Mia@Ten 01:00PM ET,2.525,Ten,,,1.91,,,0.03,,
313,TJ Jones,WR,3000,Chi@Det 01:00PM ET,0.7,Det,,,,,,0.47,,
314,Orleans Darkwa,RB,3000,NYG@Phi 08:30PM ET,0.0,NYG,,,,,,0.08,,
315,Roosevelt Nix,RB,3000,Ari@Pit 01:00PM ET,0.0,Pit,,,,,,,,
316,Andre Williams,RB,3000,NYG@Phi 08:30PM ET,4.02,NYG,2.5,3.3,5.24,3.9,4.22,6.49,5.28,0.6
317,Rod Smith,RB,3000,Car@Sea 04:05PM ET,0.5,Sea,,,,,,,,
318,Malcolm Johnson,RB,3000,Den@Cle 01:00PM ET,0.68,Cle,,,,,,,1.376,1.0
319,Robert Woods,WR,3000,Cin@Buf 01:00PM ET,6.88,Buf,5.0,7.4,6.63,7.7,5.21,8.46,5.453,8.7
320,Juwan Thompson,RB,3000,Den@Cle 01:00PM ET,0.74,Den,,0.7,3.79,0.6,,0.22,2.154,
321,James White,RB,3000,NE@Ind 08:30PM ET,2.467,NE,,3.1,,3.0,,1.05,2.009,
322,Michael Burton,RB,3000,Chi@Det 01:00PM ET,0.62,Det,,,,,,,1.873,
323,Albert Wilson,WR,3000,KC@Min 01:00PM ET,1.833,KC,2.0,1.8,5.05,1.9,4.15,3.57,5.806,14.7
324,Corey Grant,RB,3000,Hou@Jax 01:00PM ET,0.48,Jax,,,,,2.06,,,
325,DeAndrew White,WR,3000,Bal@SF 04:25PM ET,1.9,SF,,,,,,,,
326,Matt Hazel,WR,3000,Mia@Ten 01:00PM ET,0.0,Mia,,,,,,,,
327,Jeremy Langford,RB,3000,Chi@Det 01:00PM ET,2.16,Chi,2.5,5.1,4.53,5.7,3.07,3.53,4.94,9.7
328,J.J. Nelson,WR,3000,Ari@Pit 01:00PM ET,-0.5,Ari,,1.8,,1.9,,0.25,,
329,Corey Fuller,WR,3000,Chi@Det 01:00PM ET,1.9,Det,,,4.99,,,2.41,,
330,Geremy Davis,WR,3000,NYG@Phi 08:30PM ET,0.82,NYG,,,,,1.17,2.54,,
331,Cameron Meredith,WR,3000,Chi@Det 01:00PM ET,3.95,Chi,,,7.47,,,0.44,1.055,
332,Jerick McKinnon,RB,3000,KC@Min 01:00PM ET,1.95,Min,2.5,3.1,2.75,3.3,2.85,4.12,4.2562,
333,Corey Brown,WR,3000,Car@Sea 04:05PM ET,5.125,Car,,6.0,4.04,5.2,4.11,2.73,,
334,Zach Zenner,RB,3000,Chi@Det 01:00PM ET,1.52,Det,2.5,,6.17,3.7,1.35,0.08,4.609,1.5
335,Chris Conley,WR,3000,KC@Min 01:00PM ET,2.3,KC,2.0,1.4,,1.7,3.37,3.36,2.36,4.6
336,Quinton Patton,WR,3000,Bal@SF 04:25PM ET,3.62,SF,4.0,,3.46,,3.91,4.09,,11.8
337,Sammie Coates,WR,3000,Ari@Pit 01:00PM ET,0.7,Pit,,1.6,,1.8,,,3.1276,
338,Ka'Deem Carey,RB,3000,Chi@Det 01:00PM ET,0.0,Chi,,3.0,,3.3,,0.29,2.315,
339,Phillip Dorsett,WR,3000,NE@Ind 08:30PM ET,5.26,Ind,4.5,3.4,6.01,2.7,5.5,3.14,3.533,
340,Rashad Ross,WR,3000,Was@NYJ 01:00PM ET,4.0,Was,,,,,3.07,2.12,1.177,2.6
341,Marqise Lee,WR,3000,Hou@Jax 01:00PM ET,4.1,Jax,2.0,,,,,,,
342,Darren Waller,WR,3000,Bal@SF 04:25PM ET,0.76,Bal,,,,,5.03,,,
343,DeVante Parker,WR,3000,Mia@Ten 01:00PM ET,2.225,Mia,2.0,3.0,4.38,2.5,3.34,0.62,3.468,
344,Alonzo Harris,RB,3000,SD@GB 04:25PM ET,0.567,GB,,,,,,0.03,,
345,Bruce Ellington,WR,3000,Bal@SF 04:25PM ET,2.8,SF,,2.7,2.94,2.4,2.1,2.17,,
346,Aaron Ripkowski,RB,3000,SD@GB 04:25PM ET,0.0,GB,,,,,,,,
347,Devin Smith,WR,3000,Was@NYJ 01:00PM ET,5.15,NYJ,4.0,3.4,4.12,2.7,7.57,2.66,4.063,
348,Raheem Mostert,RB,3000,Mia@Ten 01:00PM ET,0.0,Mia,,,,,,,,
349,Josh Robinson,RB,3000,NE@Ind 08:30PM ET,2.44,Ind,2.5,2.2,3.5,2.9,2.78,1.82,4.874,
350,De'Anthony Thomas,WR,3000,KC@Min 01:00PM ET,4.04,KC,4.0,7.7,4.51,9.1,5.99,7.28,6.102,0.1
351,Cody Latimer,WR,3000,Den@Cle 01:00PM ET,0.0,Den,,1.6,,1.8,,,,
352,Chandler Worthy,WR,3000,Hou@Jax 01:00PM ET,1.467,Hou,,,,,,,,
353,Brittan Golden,WR,3000,Ari@Pit 01:00PM ET,0.0,Ari,,,,,,,,
354,Wes Saxton,TE,3000,Was@NYJ 01:00PM ET,0.0,NYJ,,,,,,,,
355,Tyler Varga,RB,3000,NE@Ind 08:30PM ET,1.0,Ind,,,,,,,,
356,Cordarrelle Patterson,WR,3000,KC@Min 01:00PM ET,0.975,Min,2.5,5.9,2.97,5.5,1.22,0.05,,
357,Damien Williams,RB,3000,Mia@Ten 01:00PM ET,4.15,Mia,,2.0,4.83,2.5,4.04,5.32,3.148,
358,Mike Davis,RB,3000,Bal@SF 04:25PM ET,2.95,SF,,,4.96,,6.28,0.01,1.848,
359,Devin Funchess,WR,3000,Car@Sea 04:05PM ET,1.7,Car,4.0,5.0,5.7,4.5,3.81,6.73,3.079,
360,Cameron Artis-Payne,RB,3000,Car@Sea 04:05PM ET,1.033,Car,,1.9,,2.5,,2.34,3.7794,
361,Jaelen Strong,WR,3000,Hou@Jax 01:00PM ET,19.3,Hou,5.0,7.8,8.87,6.9,3.52,0.26,4.364,
362,Adam Thielen,WR,3000,KC@Min 01:00PM ET,4.15,Min,,,,,1.21,6.31,,
363,Mario Alford,WR,3000,Cin@Buf 01:00PM ET,0.0,Cin,,,,,,,,
364,Jeff Janis,WR,3000,SD@GB 04:25PM ET,0.0,GB,,5.4,,4.7,,2.47,,9.9
365,Titans ,DST,2900,Mia@Ten 01:00PM ET,7.25,Ten,,,,,,,,
366,Vikings ,DST,2900,KC@Min 01:00PM ET,8.75,Min,,,,,,,,
367,Giants ,DST,2900,NYG@Phi 08:30PM ET,7.4,NYG,,,,,,,,
368,Eagles ,DST,2900,NYG@Phi 08:30PM ET,9.2,Phi,,,,,,,,
369,Dwayne Allen,TE,2900,NE@Ind 08:30PM ET,4.6,Ind,14.0,5.2,7.17,4.6,6.81,6.48,5.894,
370,Zach Ertz,TE,2900,NYG@Phi 08:30PM ET,6.28,Phi,7.0,10.8,6.06,10.4,9.47,10.42,8.431,8.3
371,Chiefs ,DST,2800,KC@Min 01:00PM ET,5.0,KC,,,,,,,,
372,Dolphins ,DST,2800,Mia@Ten 01:00PM ET,3.25,Mia,,,,,,,,
373,Larry Donnell,TE,2800,NYG@Phi 08:30PM ET,9.68,NYG,14.0,17.6,7.96,16.8,10.19,8.75,9.225,5.9
374,Maxx Williams,TE,2800,Bal@SF 04:25PM ET,3.28,Bal,2.0,6.4,3.42,6.2,3.18,2.49,3.3,6.4
375,Steelers ,DST,2700,Ari@Pit 01:00PM ET,8.4,Pit,,,,,,,,
376,Jaguars ,DST,2700,Hou@Jax 01:00PM ET,3.4,Jax,,,,,,,,
377,Owen Daniels,TE,2700,Den@Cle 01:00PM ET,6.02,Den,4.5,12.0,5.61,12.0,7.72,9.49,8.082,4.4
378,Marcedes Lewis,TE,2700,Hou@Jax 01:00PM ET,1.8,Jax,2.0,6.4,4.24,6.2,3.18,4.46,3.322,1.8
379,Crockett Gillmore,TE,2700,Bal@SF 04:25PM ET,12.367,Bal,5.0,2.8,11.54,2.4,8.64,7.12,6.739,6.0
380,Chargers ,DST,2600,SD@GB 04:25PM ET,4.6,SD,,,,,,,,
381,Lions ,DST,2500,Chi@Det 01:00PM ET,8.2,Det,,,,,,,,
382,Colts ,DST,2500,NE@Ind 08:30PM ET,5.4,Ind,,,,,,,,
383,Redskins ,DST,2500,Was@NYJ 01:00PM ET,7.2,Was,,,,,,,,
384,Mike Leach,TE,2500,Ari@Pit 01:00PM ET,0.0,Ari,,,,,,,,
385,Craig Stevens,TE,2500,Mia@Ten 01:00PM ET,2.075,Ten,,,,,1.66,0.14,2.551,
386,Scott Chandler,TE,2500,NE@Ind 08:30PM ET,4.225,NE,2.0,7.2,4.45,6.6,5.29,3.8,4.109,5.9
387,Matt Spaeth,TE,2500,Ari@Pit 01:00PM ET,0.0,Pit,,,,,,,1.764,
388,Clark Harris,TE,2500,Cin@Buf 01:00PM ET,0.0,Cin,,,,,,,,
389,Anthony Fasano,TE,2500,Mia@Ten 01:00PM ET,6.45,Ten,,4.4,4.05,4.2,2.59,2.96,4.226,2.1
390,Brent Celek,TE,2500,NYG@Phi 08:30PM ET,4.6,Phi,4.0,5.2,6.01,5.6,2.7,5.58,3.836,
391,Zach Miller,TE,2500,Chi@Det 01:00PM ET,1.3,Chi,,,,1.8,1.94,0.03,,
392,Brandon Pettigrew,TE,2500,Chi@Det 01:00PM ET,2.95,Det,4.0,,4.0,,3.59,0.88,4.978,
393,Kellen Davis,TE,2500,Was@NYJ 01:00PM ET,0.0,NYJ,,,5.45,,,0.01,,
394,Darren Fells,TE,2500,Ari@Pit 01:00PM ET,6.74,Ari,5.5,2.0,7.13,2.0,4.78,7.73,5.146,1.9
395,David Johnson,TE,2500,SD@GB 04:25PM ET,0.04,SD,11.5,7.1,8.21,7.3,5.55,4.94,6.8242,2.7
396,Clay Harbor,TE,2500,Hou@Jax 01:00PM ET,4.08,Jax,,4.0,,4.0,,0.58,,
397,Ed Dickson,TE,2500,Car@Sea 04:05PM ET,3.475,Car,4.0,3.6,3.92,3.8,3.04,3.59,2.888,
398,Chase Coffman,TE,2500,Mia@Ten 01:00PM ET,8.2,Ten,,,,,,,,
399,Garrett Graham,TE,2500,Hou@Jax 01:00PM ET,2.6,Hou,4.0,5.6,4.74,5.8,3.92,3.99,5.842,
400,Richie Brockel,TE,2500,Car@Sea 04:05PM ET,0.0,Car,,,,,,,,
401,Anthony McCoy,TE,2500,Was@NYJ 01:00PM ET,0.0,Was,,,,,1.93,0.18,,
402,Jim Dray,TE,2500,Den@Cle 01:00PM ET,0.8,Cle,,,3.97,,,0.65,,
403,Virgil Green,TE,2500,Den@Cle 01:00PM ET,2.56,Den,2.0,4.2,5.43,4.1,1.63,2.48,3.133,
404,John Phillips,TE,2500,SD@GB 04:25PM ET,2.92,SD,,,,,,0.01,,
405,Rob Housler,TE,2500,Den@Cle 01:00PM ET,0.32,Cle,,1.4,3.97,1.7,,0.18,1.746,
406,Kyle Nelson,TE,2500,Bal@SF 04:25PM ET,0.0,SF,,,,,,,,
407,Matthew Mulligan,TE,2500,Cin@Buf 01:00PM ET,0.24,Buf,,,,,,,,
408,Jermaine Gresham,TE,2500,Ari@Pit 01:00PM ET,2.02,Ari,,4.0,3.97,4.0,4.05,3.48,2.954,
409,Jeff Cumberland,TE,2500,Was@NYJ 01:00PM ET,1.0,NYJ,1.5,5.6,,5.8,3.88,5.4,3.403,
410,Rhett Ellison,TE,2500,KC@Min 01:00PM ET,0.325,Min,,,3.49,,,2.12,2.473,
411,Garrett Celek,TE,2500,Bal@SF 04:25PM ET,6.62,SF,4.0,2.6,5.52,3.3,2.93,3.43,,
412,Jake Stoneburner,TE,2500,Mia@Ten 01:00PM ET,7.233,Mia,,1.2,5.51,1.6,,,,
413,Beau Brinkley,TE,2500,Mia@Ten 01:00PM ET,0.0,Ten,,,,,,,,
414,Kevin McDermott,TE,2500,KC@Min 01:00PM ET,0.0,Min,,,,,,,,
415,Tim Wright,TE,2500,Chi@Det 01:00PM ET,1.95,Det,2.0,,,,,1.68,,
416,Michael Williams,TE,2500,NE@Ind 08:30PM ET,0.625,NE,,,,,,0.01,,
417,Chris Gragg,TE,2500,Cin@Buf 01:00PM ET,1.25,Buf,,,,,,0.03,2.609,10.4
418,Luke Willson,TE,2500,Car@Sea 04:05PM ET,3.2,Sea,4.0,3.0,4.28,3.5,3.36,3.14,3.186,2.6
419,James Winchester,TE,2500,KC@Min 01:00PM ET,0.0,KC,,,,,,,,
420,Jack Doyle,TE,2500,NE@Ind 08:30PM ET,1.44,Ind,,,,,,0.16,,
421,Vance McDonald,TE,2500,Bal@SF 04:25PM ET,1.525,SF,,,2.99,,1.23,,1.728,2.0
422,Ryan Hewitt,TE,2500,Cin@Buf 01:00PM ET,0.0,Cin,,,2.49,,,,1.076,2.6
423,Dion Sims,TE,2500,Mia@Ten 01:00PM ET,0.0,Mia,,1.6,3.55,1.8,3.38,0.61,3.8,
424,Jerome Cunningham,TE,2500,NYG@Phi 08:30PM ET,1.3,NYG,,,,,4.01,0.04,,
425,Nic Jacobs,TE,2500,Hou@Jax 01:00PM ET,0.0,Jax,,,,,,,,
426,Cooper Helfet,TE,2500,Car@Sea 04:05PM ET,0.0,Sea,,,,,,,,
427,Trey Burton,TE,2500,NYG@Phi 08:30PM ET,0.0,Phi,,,,,,,,
428,Blake Bell,TE,2500,Bal@SF 04:25PM ET,0.94,SF,,,,,,,,
429,James O'Shaughnessy,TE,2500,KC@Min 01:00PM ET,1.84,KC,2.0,,4.17,,1.03,1.13,3.642,4.3
430,MyCole Pruitt,TE,2500,KC@Min 01:00PM ET,0.0,Min,,1.2,,1.6,1.27,,,
431,Will Tye,TE,2500,NYG@Phi 08:30PM ET,4.4,NYG,,,,,,,1.056,
432,Chase Ford,TE,2500,KC@Min 01:00PM ET,0.0,Min,,1.6,,1.8,,0.01,,
433,C.J. Fiedorowicz,TE,2500,Hou@Jax 01:00PM ET,3.52,Hou,2.0,2.6,3.92,2.3,2.52,2.04,2.681,
434,Brian Parker,TE,2500,KC@Min 01:00PM ET,0.0,KC,,,,,,,,
435,Tyler Kroft,TE,2500,Cin@Buf 01:00PM ET,0.0,Cin,,1.2,,1.6,,,,
436,C.J. Uzomah,TE,2500,Cin@Buf 01:00PM ET,0.0,Cin,,,,,,,,
437,Demetrius Harris,TE,2500,KC@Min 01:00PM ET,0.0,KC,,,,,,,,3.5
438,Mitchell Henry,TE,2500,Den@Cle 01:00PM ET,0.0,Den,,,,,,,,
439,Nick Boyle,TE,2500,Bal@SF 04:25PM ET,2.76,Bal,,2.6,7.29,2.3,,0.01,,
440,Kennard Backman,TE,2500,SD@GB 04:25PM ET,0.0,GB,,1.2,,1.6,,0.02,,
441,Troy Niklas,TE,2500,Ari@Pit 01:00PM ET,0.0,Ari,,,,,,,2.316,2.3
442,Phillip Supernaw,TE,2500,Mia@Ten 01:00PM ET,0.0,Ten,,,,,,,,
443,Jesse James,TE,2500,Ari@Pit 01:00PM ET,0.0,Pit,,,,,,0.39,,
444,Derek Carrier,TE,2500,Was@NYJ 01:00PM ET,3.46,Was,6.0,2.6,4.06,3.3,8.43,5.47,4.442,7.9
445,E.J. Bibbs,TE,2500,Den@Cle 01:00PM ET,0.0,Cle,,,,,,,,
446,Khari Lee,TE,2500,Chi@Det 01:00PM ET,0.0,Chi,,,,,,,,
447,Bears ,DST,2400,Chi@Det 01:00PM ET,3.8,Chi,,,,,,,,
448,Browns ,DST,2200,Den@Cle 01:00PM ET,4.8,Cle,,,,,,,,
449,49ers ,DST,2100,Bal@SF 04:25PM ET,3.4,SF,,,,,,,,
