Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Mohamed Sanu,WR,3200,Cle@Cin 08:25PM ET,6.629,Cin,6.0,9.1,6.56,8.7,7.46,6.05,7.189,7.29414285714,9.1,6.0,3.1,0.424998531111
Zach Ertz,TE,3200,Phi@Dal 08:30PM ET,7.286,Phi,13.5,10.6,6.89,10.3,10.72,10.13,9.126,10.1808571429,13.5,6.89,6.61,0.649257710549
Josh Huff,WR,3200,Phi@Dal 08:30PM ET,5.517,Phi,2.0,6.6,4.19,6.3,1.74,2.67,4.648,4.02114285714,6.6,1.74,4.86,1.20861162427
Bishop Sankey,RB,3200,Ten@NO 01:00PM ET,6.029,Ten,,1.8,5.67,2.5,1.96,0.93,2.4,2.54333333333,5.67,0.93,4.74,1.86369593709
Matt Jones,RB,3200,Was@NE 01:00PM ET,9.517,Was,6.0,11.1,6.89,13.2,7.27,5.73,7.1914,8.19734285714,13.2,5.73,7.47,0.911270899629
Vikings ,DST,3100,StL@Min 01:00PM ET,8.429,Min,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,0.0,0.0
Jets ,DST,3100,Jax@NYJ 01:00PM ET,7.0,NYJ,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,0.0,0.0
C.J. Spiller,RB,3100,Ten@NO 01:00PM ET,8.914,NO,7.5,15.5,12.63,15.1,11.53,5.48,5.2714,10.4302,15.5,5.2714,10.2286,0.980671511572
Dorial Green-Beckham,WR,3100,Ten@NO 01:00PM ET,4.2,Ten,4.5,5.8,7.58,4.9,7.79,7.44,6.558,6.36685714286,7.79,4.5,3.29,0.516738467062
Broncos ,DST,3000,Den@Ind 04:25PM ET,16.0,Den,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,0.0,0.0
Greg Jennings,WR,3000,Mia@Buf 01:00PM ET,2.914,Mia,2.5,6.6,2.48,7.3,2.77,3.48,2.571,3.95728571429,7.3,2.48,4.82,1.21800657016
Reggie Bush,RB,3000,Atl@SF 04:05PM ET,1.74,SF,,,,,,,,,,,,
Miles Austin,WR,3000,Phi@Dal 08:30PM ET,5.071,Phi,2.5,3.0,5.09,2.5,1.45,0.37,2.785,2.52785714286,5.09,0.37,4.72,1.86719412263
Andre Caldwell,WR,3000,Den@Ind 04:25PM ET,1.586,Den,4.5,5.8,3.13,4.9,2.29,0.31,3.392,3.47457142857,5.8,0.31,5.49,1.58005098265
Jacob Tamme,TE,3000,Atl@SF 04:05PM ET,11.129,Atl,8.0,15.4,7.29,14.7,10.05,12.27,9.132,10.9774285714,15.4,7.29,8.11,0.738788683272
Dwayne Bowe,WR,3000,Cle@Cin 08:25PM ET,0.0,Cle,,1.4,,1.7,5.47,0.02,1.939,2.1058,5.47,0.02,5.45,2.58809003704
Tyler Clutts,RB,3000,Phi@Dal 08:30PM ET,0.2,Dal,,,1.62,,,0.03,,0.825,1.62,0.03,1.59,1.92727272727
Harry Douglas,WR,3000,Ten@NO 01:00PM ET,4.5,Ten,8.0,10.0,6.19,9.0,9.57,12.3,2.6,8.23714285714,12.3,2.6,9.7,1.17759278529
Eric Weems,WR,3000,Atl@SF 04:05PM ET,0.263,Atl,,,,,1.59,0.28,,0.935,1.59,0.28,1.31,1.40106951872
Matthew Slater,WR,3000,Was@NE 01:00PM ET,0.0,NE,,,,,,,,,,,,
Jerricho Cotchery,WR,3000,GB@Car 01:00PM ET,5.36,Car,4.0,4.4,6.32,4.2,4.6,8.39,4.452,5.19457142857,8.39,4.0,4.39,0.845113030086
Jerome Felton,RB,3000,Mia@Buf 01:00PM ET,0.029,Buf,,,1.12,,,0.02,,0.57,1.12,0.02,1.1,1.9298245614
Ahmad Bradshaw,RB,3000,Den@Ind 04:25PM ET,2.667,Ind,,,5.16,,5.73,3.2,4.284,4.5935,5.73,3.2,2.53,0.550778273648
Cedric Peerman,RB,3000,Cle@Cin 08:25PM ET,0.0,Cin,,,,,,0.12,1.519,0.8195,1.519,0.12,1.399,1.70713849908
Jerome Simpson,WR,3000,Atl@SF 04:05PM ET,6.4,SF,,,4.46,,4.87,3.44,,4.25666666667,4.87,3.44,1.43,0.335943617854
Mike Tolbert,RB,3000,GB@Car 01:00PM ET,5.314,Car,3.0,4.1,5.18,4.7,3.6,3.13,4.946,4.09371428571,5.18,3.0,2.18,0.53252372976
Andrew Hawkins,WR,3000,Cle@Cin 08:25PM ET,6.1,Cle,,,5.97,,,,4.845,5.4075,5.97,4.845,1.125,0.208044382802
