player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,targets,2-pt,fl,def_td,fan_pts,punt_td,kick_td

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Josh Lambo, SDK",Oak,L 29-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Vikings D/STD/ST,@Det,W 28-19,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
Saints D/STD/ST,@Ind,W 27-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Cardinals D/STD/ST,Bal,W 26-18,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Josh McCown, CleQBQ",@StL,L 6-24,26/32,270,0,0,4,21,0,0,0,0,0,0,2,0,8
"Jeremy Kerley, NYJWR",@NE,L 23-30,0/0,0,0,0,0,0,0,3,27,1,4,0,0,0,8
"Keenan Allen, SDWR",Oak,L 29-37,0/0,0,0,0,0,0,0,9,89,0,13,0,0,0,8
"Brandin Cooks, NOWR",@Ind,W 27-21,0/0,0,0,0,0,0,0,6,81,0,13,0,0,0,8
"Devin Street, DalWR",@NYG,L 20-27,0/0,0,0,0,0,0,0,1,25,1,1,0,0,0,8
"Duke Johnson Jr., CleRB",@StL,L 6-24,0/0,0,0,0,6,17,0,7,73,0,7,0,0,0,8
49ers D/STD/ST,Sea,L 3-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Panthers D/STD/ST,Phi,W 27-16,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Steve Smith Sr., BalWR",@Ari,L 18-26,0/0,0,0,0,0,0,0,5,78,0,9,0,0,0,7
"Jason Witten, DalTE",@NYG,L 20-27,0/0,0,0,0,0,0,0,6,73,0,8,0,0,0,7
"Frank Gore, IndRB",NO,L 21-27,0/0,0,0,0,9,43,0,5,32,0,8,0,0,0,7
"Matt Cassel, DalQB",@NYG,L 20-27,17/27,227,1,3,1,4,0,0,0,0,0,0,0,0,7
"Matt Prater, DetK",Min,L 19-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Kyle Rudolph, MinTE",@Det,W 28-19,0/0,0,0,0,0,0,0,2,10,1,2,0,0,0,7
"Travis Kelce, KCTE",Pit,W 23-13,0/0,0,0,0,0,0,0,5,73,0,6,0,0,0,7
"Terrance Williams, DalWR",@NYG,L 20-27,0/0,0,0,0,0,0,0,4,70,0,7,0,0,0,7
"Dustin Hopkins, WshK",TB,W 31-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Kyle Juszczyk, BalRB",@Ari,L 18-26,0/0,0,0,0,0,0,0,4,15,1,5,0,0,0,7
"Zach Mettenberger, TenQB",Atl,L 7-10,22/35,187,1,2,1,0,0,0,0,0,0,0,0,0,7
"Travis Coons, CleK",@StL,L 6-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Chandler Catanzaro, AriK",Bal,W 26-18,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Chris Boswell, PitK",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Albert Wilson, KCWR",Pit,W 23-13,0/0,0,0,0,0,0,0,3,71,0,6,0,0,0,7
Buccaneers D/STD/ST,@Wsh,L 30-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
"Eli Manning, NYGQB",Dal,W 27-20,13/24,170,0,0,4,-4,0,0,0,0,0,0,0,0,6
"Vernon Davis, SFTE",Sea,L 3-20,0/0,0,0,0,0,0,0,4,61,0,5,0,0,0,6
"Brandon Marshall, NYJWR",@NE,L 23-30,0/0,0,0,0,0,0,0,4,67,0,7,0,0,0,6
"Greg Olsen, CarTE",Phi,W 27-16,0/0,0,0,0,0,0,0,3,65,0,5,0,0,0,6
"Sam Bradford, PhiQB",@Car,L 16-27,26/46,205,0,1,3,6,0,0,0,0,0,0,0,0,6
