player,pos,team,bye,opp,rush_att,rush_yards,rush_tds,rec,tar,rec_yards,rec_tds,fl,misc_yard,misc_td,punt_td,kick_td,fan_pts,own,2-pt,pass_yards,pass_tds,int


DeAngelo Williams,RB,PIT,11,CLESun 1:00,27,85,0,2,2,8,0,0,93,0,0,0,9.3,90%
Brian Quick,WR,STL,6,CHISun 1:00,0,0,0,3,3,33,1,0,33,1,0,0,9.3,8%
Karlos Williams,RB,BUF,8,@NYJ,8,29,1,1,1,2,0,0,31,1,0,0,9.1,66%
Jeremy Hill,RB,CIN,7,HOUMon 8:30,19,91,0,2,2,17,0,1-1,108,0,0,0,8.8,91%
James White,RB,NE,4,@NYGSun 4:25,8,36,0,5,5,42,0,0,78,0,0,0,7.8,38%
 Previous1234567Next 


Darren Sproles,RB,PHI,8,MIASun 1:00,6,32,0,5,5,39,0,0,71,0,0,0,7.1,60%
James Starks,RB,GB,7,DETSun 1:00,12,50,0,3,3,21,0,0,71,0,0,0,7.1,66%
Calvin Johnson,WR,DET,9,@GBSun 1:00,0,0,0,5,5,71,0,0,71,0,0,0,7.1,98%
Ryan Mathews,RB,PHI,8,MIASun 1:00,14,60,0,2,2,15,0,1,75,0,0,0,6.5,84%
Duke Johnson,RB,CLE,11,@PITSun 1:00,9,32,0,3,3,31,0,0,63,0,0,0,6.3,65%
Willie Snead,WR,NO,11,@WASSun 1:00,0,0,0,4,4,63,0,0,63,0,0,0,6.3,55%
Dexter McCluster,RB,TEN,4,CARSun 1:00,8,35,0,4,4,26,0,0,61,0,0,0,6.1,16%
Jordan Matthews,WR,PHI,8,MIASun 1:00,0,0,0,5,5,60,0,0,60,0,0,0,6,84%
Kyle Rudolph,TE,MIN,5,@OAKSun 4:05,0,0,0,6,6,59,0,0,59,0,0,0,5.9,42%
Golden Tate,WR,DET,9,@GBSun 1:00,0,2,0,5,5,57,0,0,59,0,0,0,5.9,67%
Emmanuel Sanders,WR,DEN,7,KCSun 4:25,0,2,0,4,4,56,0,0,58,0,0,0,5.8,96%
Charcandrick West,RB,KC,9,@DENSun 4:25,15,53,0,2,2,14,0,1,67,0,0,0,5.7,66%
Jamison Crowder,WR,WAS,8,NOSun 1:00,0,4,0,5,5,52,0,0,56,0,0,0,5.6,11%
Andre Ellington,RB,ARI,9,@SEASun 8:30,9,38,0,2,2,16,0,0,54,0,0,0,5.4,71%
Charles Sims,RB,TB,6,DALSun 1:00,8,37,0,2,2,17,0,0,54,0,0,0,5.4,58%
Jordan Cameron,TE,MIA,5,@PHISun 1:00,0,0,0,5,5,54,0,0,54,0,0,0,5.4,58%
Tavon Austin,WR,STL,6,CHISun 1:00,3,24,0,3,3,29,0,0,53,0,0,0,5.3,71%
Benjamin Watson,TE,NO,11,@WASSun 1:00,0,0,0,7,7,53,0,0,53,0,0,0,5.3,63%
Heath Miller,TE,PIT,11,CLESun 1:00,0,0,0,6,6,53,0,0,53,0,0,0,5.3,43%
Chris Johnson,RB,ARI,9,@SEASun 8:30,10,40,0,2,2,12,0,0,52,0,0,0,5.2,88%
 Previous2345678Next 


Zach Ertz,TE,PHI,8,MIASun 1:00,0,0,0,5,5,52,0,0,52,0,0,0,5.2,38%
David Johnson,RB,ARI,9,@SEASun 8:30,7,34,0,2,2,17,0,0,51,0,0,0,5.1,60%
Shane Vereen,RB,NYG,11,NESun 4:25,6,23,0,3,3,28,0,0,51,0,0,0,5.1,74%
Alfred Blue,RB,HOU,9,@CINMon 8:30,10,42,0,1,1,8,0,0,50,0,0,0,5,63%
Rueben Randle,WR,NYG,11,NESun 4:25,0,0,0,4,4,50,0,0,50,0,0,0,5,54%
Marqise Lee,WR,JAC,8,@BALSun 1:00,0,1,0,4,4,48,0,0,49,0,0,0,4.9,6%
De'Anthony Thomas,WR,KC,9,@DENSun 4:25,5,23,0,4,4,26,0,0,49,0,0,0,4.9,4%
Harry Douglas,WR,TEN,4,CARSun 1:00,0,0,0,4,4,48,0,0,48,0,0,0,4.8,5%
Mohamed Sanu,WR,CIN,7,HOUMon 8:30,1,3,0,4,4,45,0,0,48,0,0,0,4.8,15%
Isaiah Crowell,RB,CLE,11,@PITSun 1:00,13,49,0,2,2,8,0,1,57,0,0,0,4.7,71%
Ka'Deem Carey,RB,CHI,7,@STLSun 1:00,8,34,0,2,2,13,0,0,47,0,0,0,4.7,4%
Ted Ginn,WR,CAR,5,@TENSun 1:00,0,0,0,3,3,47,0,0,47,0,0,0,4.7,32%
LeSean McCoy,RB,BUF,8,@NYJ,10,38,0,1,1,8,0,0,46,0,0,0,4.6,97%
Fozzy Whittaker,RB,CAR,5,@TENSun 1:00,8,32,0,2,2,14,0,0,46,0,0,0,4.6,2%
Darrius Heyward-Bey,WR,PIT,11,CLESun 1:00,0,0,0,3,3,46,0,0,46,0,0,0,4.6,8%
Cecil Shorts,WR,HOU,9,@CINMon 8:30,0,0,0,4,4,46,0,0,46,0,0,0,4.6,14%
Denard Robinson,RB,JAC,8,@BALSun 1:00,8,35,0,1,1,9,0,0,44,0,0,0,4.4,26%
Jeremy Kerley,WR,NYJ,5,BUF,0,2,0,4,4,41,0,0,43,0,0,0,4.3,3%
Joique Bell,RB,DET,9,@GBSun 1:00,9,33,0,2,2,9,0,0,42,0,0,0,4.2,52%
Eric Decker,WR,NYJ,5,BUF,0,0,0,3,3,42,0,0,42,0,0,0,4.2,87%
 Previous3456789Next 


Jarius Wright,WR,MIN,5,@OAKSun 4:05,1,7,0,3,3,35,0,0,42,0,0,0,4.2,2%
C.J. Anderson,RB,DEN,7,KCSun 4:25,7,32,0,1,1,9,0,0,41,0,0,0,4.1,81%
Andrew Hawkins,WR,CLE,11,@PITSun 1:00,0,1,0,3,3,40,0,0,41,0,0,0,4.1,6%
Ameer Abdullah,RB,DET,9,@GBSun 1:00,7,29,0,1,1,11,0,0,40,0,0,0,4,56%
Kenny Stills,WR,MIA,5,@PHISun 1:00,0,0,0,3,3,39,0,0,39,0,0,0,3.9,35%
Kenny Britt,WR,STL,6,CHISun 1:00,0,1,0,2,2,38,0,0,39,0,0,0,3.9,11%
