,QB,QB_sal,QB_score,RB1,RB2,RB_sal,RB_score,WR1,WR2,WR3,WR_sal,WR_score,TE,TE_sal,TE_score,DST,DST_sal,DST_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
48,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Bears ,2400,6.2,C.J. Spiller,3000,8.859285714,50000,152.678028574,1
49,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Bears ,2400,6.2,Ladarius Green,3000,12.57071429,50000,156.38945715,1
50,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Bears ,2400,6.2,Richard Rodgers,3000,9.817,50000,153.63574286,1
52,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Bears ,2400,6.2,Heath Miller,2700,9.344428571,49700,153.163171431,1
53,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Colts ,2100,5.8,Jordan Cameron,3300,9.494714286,50000,152.913457146,1
54,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Colts ,2100,5.8,Larry Donnell,3300,10.82331429,50000,154.24205715,1
55,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Colts ,2100,5.8,Marques Colston,3200,10.624,49900,154.04274286,1
56,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Colts ,2100,5.8,Eric Ebron,3100,12.08342857,49800,155.50217143,1
57,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Colts ,2100,5.8,Ladarius Green,3000,12.57071429,49700,155.98945715,1
58,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Colts ,2100,5.8,Richard Rodgers,3000,9.817,49700,153.23574286,1
60,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Colts ,2100,5.8,Heath Miller,2700,9.344428571,49400,152.763171431,1
61,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,Larry Donnell,3300,10.82331429,49900,153.34205715,1
62,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,Marques Colston,3200,10.624,49800,153.14274286,1
63,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,Eric Ebron,3100,12.08342857,49700,154.60217143,1
