,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range,final
463,Demetrius Harris,TE,2500,Det@KC 09:30AM ET,0.5,KC,,,,,,,,,,,,,
464,Nick Boyle,TE,2500,SD@Bal 01:00PM ET,2.829,Bal,,2.6,5.98,2.3,,,,3.626666667,,,,,2.5
465,Kennard Backman,TE,2500,GB@Den 08:30PM ET,0.0,GB,,1.2,,1.6,,0.03,,0.943333333,,,,,
466,Troy Niklas,TE,2500,Ari@Cle 01:00PM ET,0.329,Ari,,,,,1.71,0.19,1.97,1.29,,,,,15.2
467,Phillip Supernaw,TE,2500,Ten@Hou 01:00PM ET,0.0,Ten,,,,,,,,,,,,,
468,Maxx Williams,TE,2500,SD@Bal 01:00PM ET,3.8,Bal,,6.2,5.66,6.1,3.99,1.99,3.513,4.5755,,,,,
469,Jesse James,TE,2500,Cin@Pit 01:00PM ET,0.0,Pit,,,,,,0.38,,0.38,,,,,
470,Geoff Swaim,TE,2500,Sea@Dal 04:25PM ET,0.5,Dal,,,,,,,,,,,,,
471,E.J. Bibbs,TE,2500,Ari@Cle 01:00PM ET,0.0,Cle,,,,,,,,,,,,,
472,Khari Lee,TE,2500,Min@Chi 01:00PM ET,0.0,Chi,,,,,,0.01,,0.01,,,,,
473,Bears ,DST,2400,Min@Chi 01:00PM ET,3.833,Chi,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,,,,,
474,Buccaneers ,DST,2300,TB@Atl 01:00PM ET,7.167,TB,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,,,,,
475,Raiders ,DST,2200,NYJ@Oak 04:05PM ET,6.5,Oak,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,,,,,
476,Chargers ,DST,2200,SD@Bal 01:00PM ET,3.286,SD,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,,
477,Colts ,DST,2100,Ind@Car 08:30PM ET,5.714,Ind,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,,,,,
478,49ers ,DST,2100,SF@StL 01:00PM ET,4.571,SF,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,,,,,
479,Browns ,DST,2000,Ari@Cle 01:00PM ET,6.0,Cle,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,,
480,Saints ,DST,2000,NYG@NO 01:00PM ET,6.857,NO,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,,,,,
