,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range,final
295,Stepfan Taylor,RB,3000,Ari@Cle 01:00PM ET,0.357,Ari,,2.2,,2.6,,0.03,1.868,1.6745,,,,,
296,Zac Stacy,RB,3000,NYJ@Oak 04:05PM ET,4.94,NYJ,5.5,5.5,7.39,6.2,7.57,4.26,4.0746,5.784942857,,,,,2.8
297,Branden Oliver,RB,3000,SD@Bal 01:00PM ET,4.229,SD,2.0,6.1,7.41,7.2,5.96,7.48,3.612,5.680285714,,,,,5.4
298,Dri Archer,WR,3000,Cin@Pit 01:00PM ET,0.0,Pit,,4.4,,5.1,,0.07,1.792,2.8405,,,,,
299,Rico Richardson,WR,3000,Ten@Hou 01:00PM ET,0.0,Ten,,,,,,,,,,,,,
300,Brandon Wegher,RB,3000,Ind@Car 08:30PM ET,0.0,Car,,,,,,,,,,,,,
301,Kevin Norwood,WR,3000,Ind@Car 08:30PM ET,0.0,Car,,,,,,0.48,,0.48,,,,,
302,Trey Watts,RB,3000,SF@StL 01:00PM ET,0.0,StL,,,,,,0.01,,0.01,,,,,
303,Ricardo Lockette,WR,3000,Sea@Dal 04:25PM ET,2.229,Sea,,3.3,,2.7,,0.38,3.391,2.44275,,,,,1.3
304,Christine Michael,RB,3000,Sea@Dal 04:25PM ET,1.167,Dal,2.5,3.9,5.28,4.6,6.17,3.88,5.805,4.590714286,,,,,2.0
305,Bennie Fowler,WR,3000,GB@Den 08:30PM ET,2.95,Den,,,2.85,,2.21,0.94,5.185,2.79625,,,,,4.1
306,Jared Abbrederis,WR,3000,GB@Den 08:30PM ET,0.0,GB,,,,,,,1.079,1.079,,,,,
307,Nick Williams,WR,3000,TB@Atl 01:00PM ET,2.686,Atl,,,,,5.11,11.18,4.184,6.824666667,,,,,
308,Devin Street,WR,3000,Sea@Dal 04:25PM ET,2.433,Dal,4.0,,,,,1.08,2.274,2.451333333,,,,,
309,Marlon Brown,WR,3000,SD@Bal 01:00PM ET,3.371,Bal,4.0,7.0,4.02,6.5,6.03,8.62,3.645,5.687857143,,,,,
310,Chris Matthews,WR,3000,Sea@Dal 04:25PM ET,1.343,Sea,,2.6,4.39,3.3,,3.03,4.1272,3.48944,,,,,
311,Aaron Dobson,WR,3000,Mia@NE 08:25PM ET,5.725,NE,,4.8,,4.4,,2.09,2.662,3.488,,,,,
312,Stedman Bailey,WR,3000,SF@StL 01:00PM ET,5.483,StL,4.0,5.2,5.75,4.7,4.8,10.3,3.737,5.498142857,,,,,
313,Spencer Ware,RB,3000,Det@KC 09:30AM ET,0.4,KC,,,,,1.24,,1.384,1.312,,,,,
314,Justin Hunter,WR,3000,Ten@Hou 01:00PM ET,5.217,Ten,7.0,5.6,4.71,4.8,9.34,10.83,6.797,7.011,,,,,3.7
315,Kenny Stills,WR,3000,Mia@NE 08:25PM ET,5.117,Mia,4.5,7.6,5.56,6.8,7.12,2.77,3.992,5.477428571,,,,,8.8
316,Jay Prosch,RB,3000,Ten@Hou 01:00PM ET,0.4,Hou,,,,,,0.02,1.099,0.5595,,,,,
317,Jalston Fowler,RB,3000,Ten@Hou 01:00PM ET,1.683,Ten,,,1.94,,,0.03,,0.985,,,,,
318,TJ Jones,WR,3000,Det@KC 09:30AM ET,0.16,Det,,,,,,0.2,,0.2,,,,,
319,Kenbrell Thompkins,WR,3000,NYJ@Oak 04:05PM ET,0.0,NYJ,,,,,2.36,,1.064,1.712,,,,,10.1
320,Roosevelt Nix,RB,3000,Cin@Pit 01:00PM ET,0.0,Pit,,,,,,,,,,,,,
321,Rod Streater,WR,3000,NYJ@Oak 04:05PM ET,1.8,Oak,,3.6,4.69,2.8,,0.67,,2.94,,,,,
322,Marcus Murphy,RB,3000,NYG@NO 01:00PM ET,0.857,NO,,,,,,0.02,,0.02,,,,,
323,Andre Williams,RB,3000,NYG@NO 01:00PM ET,3.143,NYG,,3.4,5.57,4.0,2.72,6.13,5.161,4.496833333,,,,,0.7
324,Rod Smith,RB,3000,Sea@Dal 04:25PM ET,0.5,Dal,,,,,,,,,,,,,
325,Joshua Bellamy,WR,3000,Min@Chi 01:00PM ET,3.483,Chi,,,,,,0.02,3.569,1.7945,,,,,
326,Walt Powell,WR,3000,NYJ@Oak 04:05PM ET,0.0,Oak,,,,,,,,,,,,,
327,Malcolm Johnson,RB,3000,Ari@Cle 01:00PM ET,0.629,Cle,,,,,,0.04,1.544,0.792,,,,,
328,Juwan Thompson,RB,3000,GB@Den 08:30PM ET,0.74,Den,,0.7,3.89,0.6,,0.18,1.842,1.4424,,,,,
329,James White,RB,3000,Mia@NE 08:25PM ET,2.68,NE,,5.8,,6.8,,0.27,2.021,3.72275,,,,,0.3
330,Brandon Coleman,WR,3000,NYG@NO 01:00PM ET,4.243,NO,4.0,6.8,6.24,6.4,3.09,2.84,3.796,4.738,,,,,2.4
331,Michael Burton,RB,3000,Det@KC 09:30AM ET,0.443,Det,,,,,,,1.453,1.453,,,,,
332,Albert Wilson,WR,3000,Det@KC 09:30AM ET,6.06,KC,6.5,1.8,6.76,1.9,5.68,6.53,6.252,5.060285714,,,,,4.2
333,DeAndrew White,WR,3000,SF@StL 01:00PM ET,1.267,SF,,,,,,,,,,,,,
334,Matt Hazel,WR,3000,Mia@NE 08:25PM ET,0.0,Mia,,,,,,,,,,,,,
335,Keith Mumphery,WR,3000,Ten@Hou 01:00PM ET,3.657,Hou,2.5,3.2,,3.6,7.21,5.63,4.583,4.453833333,,,,,1.3
336,Jeremy Langford,RB,3000,Min@Chi 01:00PM ET,3.417,Chi,2.5,5.3,5.12,5.9,3.63,3.36,5.093,4.414714286,,,,,4.6
337,Justin Hardy,WR,3000,TB@Atl 01:00PM ET,0.0,Atl,4.5,1.6,3.68,1.8,5.1,3.1,1.227,3.001,,,,,4.1
338,J.J. Nelson,WR,3000,Ari@Cle 01:00PM ET,-0.333,Ari,,1.6,,1.8,,3.09,,2.163333333,,,,,10.0
339,Cecil Shorts III,WR,3000,Ten@Hou 01:00PM ET,12.18,Hou,,,,,,,,,,,,,
340,Andre Holmes,WR,3000,NYJ@Oak 04:05PM ET,2.55,Oak,,3.2,3.34,2.6,1.61,3.85,3.035,2.939166667,,,,,19.4
341,Corey Fuller,WR,3000,Det@KC 09:30AM ET,1.35,Det,,,4.03,,,0.97,1.117,2.039,,,,,
342,Geremy Davis,WR,3000,NYG@NO 01:00PM ET,0.586,NYG,,,,,,0.18,,0.18,,,,,
343,Jamize Olawale,RB,3000,NYJ@Oak 04:05PM ET,1.775,Oak,,,,,,,,,,,,,
344,Cameron Meredith,WR,3000,Min@Chi 01:00PM ET,3.5,Chi,,,6.83,,,0.06,1.103,2.664333333,,,,,
345,Jerick McKinnon,RB,3000,Min@Chi 01:00PM ET,2.117,Min,2.5,3.2,2.22,3.3,3.18,2.46,4.945,3.115,,,,,1.8
346,Corey Brown,WR,3000,Ind@Car 08:30PM ET,5.5,Car,,6.4,4.68,5.4,6.43,3.5,,5.282,,,,,14.6
347,Terrence Magee,RB,3000,SD@Bal 01:00PM ET,0.0,Bal,,,,,,,,,,,,,
348,Terron Ward,RB,3000,TB@Atl 01:00PM ET,3.043,Atl,,2.6,,2.9,1.35,,2.659,2.37725,,,,,
349,Chris Conley,WR,3000,Det@KC 09:30AM ET,4.914,KC,4.5,1.4,3.57,1.7,7.1,3.99,4.184,3.777714286,,,,,1.6
350,Quinton Patton,WR,3000,SF@StL 01:00PM ET,4.443,SF,4.0,,3.36,,2.04,4.11,2.813,3.2646,,,,,5.3
351,Sammie Coates,WR,3000,Cin@Pit 01:00PM ET,0.42,Pit,,1.6,,1.8,,0.01,2.177,1.39675,,,,,
352,Ka'Deem Carey,RB,3000,Min@Chi 01:00PM ET,0.0,Chi,,3.1,,3.4,,0.22,2.371,2.27275,,,,,
353,Terrance West,RB,3000,Ten@Hou 01:00PM ET,1.55,Ten,,1.2,,1.0,,0.19,1.154,0.886,,,,,
354,Phillip Dorsett,WR,3000,Ind@Car 08:30PM ET,4.729,Ind,,,,,,,,,,,,,
355,Darren Waller,WR,3000,SD@Bal 01:00PM ET,0.633,Bal,,,,,,,,,,,,,
356,DeVante Parker,WR,3000,Mia@NE 08:25PM ET,1.483,Mia,2.0,3.0,3.06,2.5,2.29,0.39,3.339,2.368428571,,,,,
357,Alonzo Harris,RB,3000,GB@Den 08:30PM ET,0.567,GB,,,,,,,,,,,,,
358,Bruce Ellington,WR,3000,SF@StL 01:00PM ET,2.1,SF,,2.7,2.93,2.4,,2.27,,2.575,,,,,2.8
359,Tyler Lockett,WR,3000,Sea@Dal 04:25PM ET,7.971,Sea,8.5,3.5,7.9,3.8,7.85,6.87,4.496,6.130857143,,,,,6.6
360,Aaron Ripkowski,RB,3000,GB@Den 08:30PM ET,0.0,GB,,,,,,,,,,,,,
361,Bradley Marquez,WR,3000,SF@StL 01:00PM ET,0.0,StL,,,,,,,,,,,,,
362,Devin Smith,WR,3000,NYJ@Oak 04:05PM ET,3.0,NYJ,,,3.43,,,,,3.43,,,,,
363,Raheem Mostert,RB,3000,SD@Bal 01:00PM ET,0.0,Bal,,,,,,,1.056,1.056,,,,,
364,Josh Robinson,RB,3000,Ind@Car 08:30PM ET,2.44,Ind,,2.1,3.32,2.9,,0.06,1.139,1.9038,,,,,
365,Richard Rodgers,TE,3000,GB@Den 08:30PM ET,9.167,GB,8.0,16.0,5.96,16.0,7.99,7.67,7.099,9.817,,,,,3.6
366,De'Anthony Thomas,WR,3000,Det@KC 09:30AM ET,3.543,KC,4.0,7.5,4.3,8.9,3.19,8.0,3.8608,5.678685714,,,,,12.2
367,Cody Latimer,WR,3000,GB@Den 08:30PM ET,0.0,Den,,1.6,,1.8,,,,1.7,,,,,
368,Brittan Golden,WR,3000,Ari@Cle 01:00PM ET,0.0,Ari,,,,,,,,,,,,,
369,Cordarrelle Patterson,WR,3000,Min@Chi 01:00PM ET,0.65,Min,,6.1,,5.6,,0.03,,3.91,,,,,
370,Damien Williams,RB,3000,Mia@NE 08:25PM ET,3.5,Mia,,1.9,4.78,2.4,3.0,0.47,2.444,2.499,,,,,
371,Mike Davis,RB,3000,SF@StL 01:00PM ET,1.475,SF,,,8.75,,4.96,,5.844,6.518,,,,,3.8
372,Devin Funchess,WR,3000,Ind@Car 08:30PM ET,2.367,Car,4.0,5.4,5.86,4.7,5.45,6.79,2.96,5.022857143,,,,,1.8
373,Seth Roberts,WR,3000,NYJ@Oak 04:05PM ET,4.767,Oak,,,4.3,,3.48,8.54,,5.44,,,,,3.1
374,Cameron Artis-Payne,RB,3000,Ind@Car 08:30PM ET,0.775,Car,,2.0,,2.6,,2.06,,2.22,,,,,
375,Lucky Whitehead,WR,3000,Sea@Dal 04:25PM ET,0.84,Dal,,,,,,,,,,,,,
376,Jaelen Strong,WR,3000,Ten@Hou 01:00PM ET,6.933,Hou,,7.8,9.19,6.9,2.88,3.55,4.641,5.826833333,,,,,
377,Adam Thielen,WR,3000,Min@Chi 01:00PM ET,3.433,Min,,,,,,2.68,,2.68,,,,,
378,Khiry Robinson,RB,3000,NYG@NO 01:00PM ET,9.543,NO,1.5,11.3,7.68,11.5,8.62,5.15,7.632,7.626,,,,,3.7
379,Mario Alford,WR,3000,Cin@Pit 01:00PM ET,0.0,Cin,,,,,,,,,,,,,
380,Taylor Gabriel,WR,3000,Ari@Cle 01:00PM ET,5.171,Cle,4.0,3.6,5.09,3.8,8.53,10.19,4.392,5.657428571,,,,,7.2
381,Donteea Dye,WR,3000,TB@Atl 01:00PM ET,3.85,TB,5.0,,7.2,,7.35,4.95,6.68,6.236,,,,,
382,Broncos ,DST,2900,GB@Den 08:30PM ET,17.167,Den,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,,,,,
383,Jets ,DST,2900,NYJ@Oak 04:05PM ET,8.333,NYJ,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,,,,,
384,Vernon Davis,TE,2900,SF@StL 01:00PM ET,5.8,SF,6.0,6.6,8.98,6.3,7.85,5.71,7.154,6.942,,,,,8.4
385,Chiefs ,DST,2800,Det@KC 09:30AM ET,6.286,KC,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,
386,Coby Fleener,TE,2800,Ind@Car 08:30PM ET,7.357,Ind,4.5,5.6,7.83,5.8,7.35,8.49,9.071,6.948714286,,,,,17.3
387,Austin Seferian-Jenkins,TE,2800,TB@Atl 01:00PM ET,17.95,TB,,17.4,10.62,16.7,,8.78,,13.375,,,,,
388,Cowboys ,DST,2700,Sea@Dal 04:25PM ET,4.5,Dal,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,,,,,
389,Dolphins ,DST,2700,Mia@NE 08:25PM ET,8.167,Mia,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,,,,,
390,Giants ,DST,2700,NYG@NO 01:00PM ET,9.714,NYG,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,,,,,
391,Heath Miller,TE,2700,Cin@Pit 01:00PM ET,5.971,Pit,8.0,10.6,6.52,11.3,9.94,11.35,7.701,9.344428571,,,,,23.5
