,,,,,comp,att,,pass yards,pass td,int,rating,rush,ru yards,ru TDS,REC,rec yards,REC tds, FL ,total yards,total tds,Punt TDS,returning TDs,FPTS,,FleaFlicker
Doug Martin,RB,TB,6,CARSun 1:00,,,,,,,,10,42,1,1,6,0,0,48,1,0,0,10.8,85%,
Cole Beasley,WR,DAL,6,@NOSun 8:30,,,,,,,,0,0,0,4,47,1,0,47,1,0,0,10.7,12%,
Michael Floyd,WR,ARI,9,STLSun 4:25,,,,,,,,0,0,0,4,46,1,0,46,1,0,0,10.6,65%,
Todd Gurley,RB,STL,6,@ARISun 4:25,,,,,,,,12,45,1,1,10,0,1,55,1,0,0,10.5,81%,
 Previous1234567Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Malcom Floyd,WR,SD,10,CLESun 4:05,,,,,,,,0,0,0,3,44,1,0,44,1,0,0,10.4,20%,
Davante Adams,WR,GB,7,@SFSun 4:25,,,,,,,,0,0,0,4,44,1,0,44,1,0,0,10.4,72%,
Steve Smith,WR,BAL,9,@PIT,,,,,,,,0,0,0,4,43,1,0,43,1,0,0,10.3,91%,
John Brown,WR,ARI,9,STLSun 4:25,,,,,,,,0,0,0,3,43,1,0,43,1,0,0,10.3,74%,
De'Anthony Thomas,WR,KC,9,@CINSun 1:00,,,,,,,,4,20,0,3,21,1,0,41,1,0,0,10.1,4%,
Ladarius Green,TE,SD,10,CLESun 4:05,,,,,,,,0,0,0,3,41,1,0,41,1,0,0,10.1,29%,
Percy Harvin,WR,BUF,8,NYGSun 1:00,,,,,,,,1,6,0,3,34,1,0,40,1,0,0,10,60%,
Eddie Royal,WR,CHI,7,OAKSun 1:00,,,,,,,,0,0,0,3,38,1,0,38,1,0,0,9.8,37%,
Charles Clay,TE,BUF,8,NYGSun 1:00,,,,,,,,0,0,0,4,36,1,0,36,1,0,0,9.6,57%,
Matt Jones,RB,WAS,8,PHISun 1:00,,,,,,,,10,45,1,2,9,0,1-Jan,54,1,0,0,9.4,69%,
