Brent Celek TE - PHI,@WAS,-,-,-,-,-,20,-,-,-,-,2.00
Jeff Cumberland TE - NYJ DNP View News,@MIA,-,-,-,-,-,20,-,-,-,-,2.00
Ed Dickson TE - CAR,@TB,-,-,-,-,-,20,-,-,-,-,2.00
Jermaine Gresham TE - ARI,STL,-,-,-,-,-,20,-,-,-,-,2.00
Rob Housler TE - CLE,@SD,-,-,-,-,-,20,-,-,-,-,2.00
Duke Johnson RB - CLE,@SD,-,-,-,14,-,6,-,-,-,-,2.00
Dwayne Allen TE - IND LP View News View Videos,JAC,-,-,-,-,-,19,-,-,-,-,1.90
Reggie Bush RB - SF FP View News,GB,-,-,-,26,-,13,-,-,-,1,1.90
Jordan Norwood WR - DEN,MIN,-,-,-,-,-,19,-,-,-,-,1.90
Josh Robinson RB - IND FP View News,JAC,-,-,-,17,-,2,-,-,-,-,1.90
James Starks RB - GB View Videos,@SF,-,-,-,14,-,5,-,-,-,-,1.90
Rod Streater WR - OAK,@CHI,-,-,-,-,-,19,-,-,-,-,1.90
Tyler Lockett WR - SEA View Videos,DET,-,-,-,1,-,17,-,-,-,-,1.80
Andre Holmes WR - OAK,@CHI,-,-,-,-,-,17,-,-,-,-,1.70
Ricardo Lockette WR - SEA,DET,-,-,-,1,-,16,-,-,-,-,1.70
Cameron Artis-Payne RB - CAR,@TB,-,-,-,12,-,4,-,-,-,-,1.60
Ted Ginn WR - CAR,@TB,-,-,-,-,-,16,-,-,-,-,1.60
Leonard Hankerson WR - ATL,HOU,-,-,-,-,-,16,-,-,-,-,1.60
Fred Jackson RB - SEA View Videos,DET,-,-,-,7,-,9,-,-,-,-,1.60
Devin Smith WR - NYJ FP,@MIA,-,-,-,-,-,16,-,-,-,-,1.60
Chris Hogan WR - BUF View Videos,NYG,-,-,-,-,-,15,-,-,-,-,1.50
DeVante Parker WR - MIA,NYJ,-,-,-,-,-,15,-,-,-,-,1.50
Stepfan Taylor RB - ARI,STL,-,-,-,9,-,6,-,-,-,-,1.50
Benjamin Watson TE - NO View Videos,DAL,-,-,-,-,-,15,-,-,-,-,1.50
Luke Willson TE - SEA,DET,-,-,-,-,-,15,-,-,-,-,1.50
Timothy Wright TE - DET,@SEA,-,-,-,-,-,15,-,-,-,-,1.50
Jamison Crowder WR - WAS,PHI,-,-,-,1,-,13,-,-,-,-,1.40
Bruce Ellington WR - SF FP,GB,-,-,-,1,-,13,-,-,-,-,1.40
Lance Moore WR - DET,@SEA,-,-,-,-,-,14,-,-,-,-,1.40
Bilal Powell RB - NYJ,@MIA,-,-,-,9,-,5,-,-,-,-,1.40
Damien Williams RB - MIA,NYJ,-,-,-,9,-,5,-,-,-,-,1.40
Karlos Williams RB - BUF View News View Video,NYG,-,-,-,12,-,2,-,-,-,-,1.40
C.J. Fiedorowicz TE - HOU,@ATL,-,-,-,-,-,13,-,-,-,-,1.30
Clay Harbor TE - JAC View Videos,@IND,-,-,-,-,-,13,-,-,-,-,1.30
Dwayne Harris WR - NYG,@BUF,-,-,-,-,-,13,-,-,-,-,1.30
Chris Matthews WR - SEA,DET,-,-,-,-,-,13,-,-,-,-,1.30
Brandon Myers TE - TB View Videos,CAR,-,-,-,-,-,12,-,-,-,-,1.20
Levine Toilolo TE - ATL,HOU,-,-,-,-,-,12,-,-,-,-,1.20
Marcel Reece RB - OAK View Videos,@CHI,-,-,-,4,-,7,-,-,-,-,1.10
Khiry Robinson RB - NO,DAL,-,-,-,9,-,2,-,-,-,-,1.10
Darren Fells TE - ARI,STL,-,-,-,-,-,10,-,-,-,-,1.00
Willie Snead WR - NO View Videos,DAL,-,-,-,-,-,10,-,-,-,-,1.00
Riley Cooper WR - PHI FP,@WAS,-,-,-,-,-,9,-,-,-,-,0.90
Taylor Gabriel WR - CLE,@SD,-,-,-,-,-,9,-,-,-,-,0.90
Jeff Janis WR - GB,@SF,-,-,-,-,-,9,-,-,-,-,0.90
Christine Michael RB - DAL,@NO,-,-,-,8,-,1,-,-,-,-,0.90
Albert Wilson WR - KC LP View Videos,@CIN,-,-,-,-,-,9,-,-,-,-,0.90
Miles Austin WR - PHI,@WAS,-,-,-,-,-,8,-,-,-,-,0.80
Travis Benjamin WR - CLE FP View News View Videos,@SD,-,-,-,-,-,8,-,-,-,-,0.80
Donald Brown RB - SD,CLE,-,-,-,5,-,3,-,-,-,-,0.80
Sammie Coates WR - PIT,BAL,-,-,-,-,-,8,-,-,-,-,0.80
Chase Ford TE - MIN,@DEN,-,-,-,-,-,8,-,-,-,-,0.80
Justin Hardy WR - ATL,HOU,-,-,-,-,-,8,-,-,-,-,0.80
Cody Latimer WR - DEN,MIN,-,-,-,-,-,8,-,-,-,-,0.80
J.J. Nelson WR - ARI DNP,STL,-,-,-,-,-,8,-,-,-,-,0.80
Richard Rodgers TE - GB,@SF,-,-,-,-,-,8,-,-,-,-,0.80
