Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,,,,,FL,FPTS,CBS,Player,,Player_ID,
Passing,Rushing,Misc,,,,,,,,,,,,,,,,,,,,
Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,,,,,FL,FPTS,,,,,
"Jacob Tamme,ATL",,,,,,,,,,,,2.2,22.1,10.2,0.1,0.1,0,,,,,
"Charles Clay,BUF",,,,,,,,,,,,3.3,41.1,12.6,0.4,0,0,,,,,
"Martellus Bennett,CHI",,,,,,,,,,,,4.8,47.4,9.9,0.3,0,0,,,,,
"Gabe Holmes,OAK",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Vance McDonald,SF",,,,,,,,,,,,1.1,12.4,10.9,0.1,0.1,0,,,,,
"Brandon Myers,TB",,,,,,,,,,,,1.9,14.6,7.6,0.1,0,0,,,,,
"Jake Stoneburner,MIA",,,,,,,,,,,,0,0.4,9.3,0,0,0,,,,,
"Jared Cook,STL",,,,,,,,,,,,3.3,41.1,12.3,0.2,0,0,,,,,
"Joseph Fauria,ARI",,,,,,,,,,,,0.1,0.8,11.7,0,0,0,,,,,
"Garrett Graham,HOU",,,,,,,,,,,,1.7,19.9,11.8,0.4,0.1,0,,,,,
"Heath Miller,PIT",,,,,,,,,,,,3.2,35.2,11,0.2,0.1,0,,,,,
"Michael Hoomanawanui,NO",,,,,,,,,,,,0.1,1.1,11.5,0,0,0,,,,,
"Jimmy Graham,SEA",,,,,,,,,,,,2.8,51.3,18.4,0.7,0.1,0,,,,,
"MyCole Pruitt,MIN",,,,,,,,,,,,0,0.4,8,0,0,0,,,,,
"Jim Dray,CLE",,,,,,,,,,,,1.7,21.1,12.4,0.1,0,0,,,,,
"Jack Doyle,IND",,,,,,,,,,,,0.1,0.6,6.8,0,0,0,,,,,
"Cory Harkey,STL",,,,,,,,,,,,0,0.4,7.8,0,0,0,,,,,
"Chase Ford,MIN",,,,,,,,,,,,0.1,1,9.8,0,0,0,,,,,
"David Johnson,SD",,,,,,,,,,,,0,0.4,11.3,0,0,0,,,,,
"Jeff Cumberland,NYJ",,,,,,,,,,,,0.1,1,12.9,0,0,0,,,,,
"Gavin Escobar,DAL",,,,,,,,,,,,1.8,19.2,10.9,0.3,0.2,0,,,,,
"Ladarius Green,SD",,,,,,,,,,,,3.7,51.1,13.7,0.3,0,0,,,,,
"Vernon Davis,SF",,,,,,,,,,,,1.9,25.1,13.4,0.3,0,0,,,,,
"Gary Barnidge,CLE",,,,,,,,,,,,2,30.1,14.8,0.1,0,0,,,,,
"Josh Hill,NO",,,,,,,,,,,,2.8,28.4,10,0.2,0,0,,,,,
"Trey Burton,PHI",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Chris Gragg,BUF",,,,,,,,,,,,0.1,0.5,9.4,0,0,0,,,,,
"Richard Rodgers,GB",,,,,,,,,,,,2,19.3,9.7,0.2,0,0,,,,,
"Kyle Miller,SD",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Maxx Williams,BAL",,,,,,,,,,,,3.5,37.4,10.7,0.3,0,0,,,,,
"C.J. Uzomah,CIN",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Levine Toilolo,ATL",,,,,,,,,,,,0.1,0.5,6.9,0,0,0,,,,,
"Anthony McCoy,WAS",,,,,,,,,,,,0,0.5,10.5,0,0,0,,,,,
"Lance Kendricks,STL",,,,,,,,,,,,1.7,18.5,10.6,0.3,0,0,,,,,
"Kellen Davis,NYJ",,,,,,,,,,,,2,20.9,10.5,0.2,0,0,,,,,
"Lee Smith,OAK",,,,,,,,,,,,2.1,18.1,8.7,0.1,0,0,,,,,
"Tyler Eifert,CIN",,,,,,,,,,,,4.1,52.3,12.7,0.8,0,0,,,,,
"Jermaine Gresham,ARI",,,,,,,,,,,,2.4,21.9,9,0.1,0.1,0,,,,,
"E.J. Bibbs,CLE",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Tyler Kroft,CIN",,,,,,,,,,,,0,0.4,10.8,0,0,0,,,,,
"Jordan Cameron,MIA",,,,,,,,,,,,2.8,35.6,12.7,0.2,0,0,,,,,
"Matthew Mulligan,BUF",,,,,,,,,,,,0,0.3,6.8,0,0,0,,,,,
"Jesse James,PIT",,,,,,,,,,,,0,0.4,10.8,0,0,0,,,,,
"Owen Daniels,DEN",,,,,,,,,,,,2.2,21.1,9.5,0.2,0,0,,,,,
"Zach Miller,CHI",,,,,,,,,,,,0.1,0.6,11.1,0,0,0,,,,,
"Ed Dickson,CAR",,,,,,,,,,,,2,20.7,10.5,0.1,0,0,,,,,
