player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,punt_td,kick_td,fl,2-pt

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Rob Gronkowski, NETE",NYJ,Sun 1:00,0/0,0,0,0,0,0,0,5.2,65.3,0.7,10
"Julian Edelman, NEWR",NYJ,Sun 1:00,0/0,0,0,0,0.7,5.4,0,7,74.5,0.5,10
"Matt Jones, WshRBP",TB,Sun 1:00,0/0,0,0,0,13.9,59.1,0.6,2.4,18.9,0.1,10
"Antonio Brown, PitWR",@KC,Sun 1:00,0/0,0,0,0,0.1,0.9,0,6,76.1,0.4,9.8
"Carlos Hyde, SFRBP",Sea,L 3-20,0/0,0,0,0,16.6,63.5,0.4,1.6,12.2,0,9.6
"Jordan Matthews, PhiWR",@Car,Sun 8:30,0/0,0,0,0,0,0,0,5.9,74.8,0.4,9.5
Bills D/STD/ST,@Jax,Sun 9:30 AM,0/0,0,0,0,0,0,0,0,0,0,9.4
"T.Y. Hilton, IndWR",NO,Sun 1:00,0/0,0,0,0,0.1,0.8,0,5,69,0.6,9.3
"Chris Johnson, AriRB",Bal,Mon 8:30,0/0,0,0,0,16.9,65.5,0.5,0.8,6.1,0,9.3
"Rashad Jennings, NYGRB",Dal,Sun 4:25,0/0,0,0,0,12.5,50.1,0.3,2.6,20.8,0.1,9.3
"Greg Olsen, CarTE",Phi,Sun 8:30,0/0,0,0,0,0,0,0,5.8,71.7,0.4,9.2
"Dion Lewis, NERBQ",NYJ,Sun 1:00,0/0,0,0,0,8.1,32.5,0.2,4.8,42.1,0.2,9.1
"Kai Forbath, NOK",@Ind,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,9.1
Rams D/STD/ST,Cle,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,9.1
"Jeremy Maclin, KCWRQ",Pit,Sun 1:00,0/0,0,0,0,0.2,1.3,0,6,77.7,0.3,9
"Alfred Morris, WshRB",TB,Sun 1:00,0/0,0,0,0,15.5,64.3,0.5,1.1,8.8,0,8.9
"John Brown, AriWRQ",Bal,Mon 8:30,0/0,0,0,0,0.3,1.7,0,4.7,69.4,0.5,8.9
"Josh Brown, NYGK",Dal,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.9
"Steve Smith Sr., BalWR",@Ari,Mon 8:30,0/0,0,0,0,0,0,0,5,70.7,0.3,8.7
"Jarvis Landry, MiaWR",Hou,Sun 1:00,0/0,0,0,0,1.5,12.1,0,5.8,58.9,0.4,8.7
Cardinals D/STD/ST,Bal,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,8.7
Panthers D/STD/ST,Phi,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,8.6
"Jonathan Stewart, CarRB",Phi,Sun 8:30,0/0,0,0,0,17.6,71.2,0.3,1,7.1,0,8.6
"Stephen Gostkowski, NEK",NYJ,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.5
"Graham Gano, CarK",Phi,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,8.5
"Andrew Franks, MiaK",Hou,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.4
"Jason Myers, JaxK",Buf,Sun 9:30 AM,0/0,0,0,0,0,0,0,0,0,0,8.4
"Phil Dawson, SFK",Sea,L 3-20,0/0,0,0,0,0,0,0,0,0,0,8.4

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Steven Hauschka, SeaK",@SF,W 20-3,0/0,0,0,0,0,0,0,0,0,0,8.4
"Nick Novak, HouK",@Mia,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.3
"Donte Moncrief, IndWR",NO,Sun 1:00,0/0,0,0,0,0.1,0.8,0,4.4,57.3,0.5,8.3
"Eric Decker, NYJWRP",@NE,Sun 1:00,0/0,0,0,0,0,0,0,4.9,60.2,0.4,8.3
"Blair Walsh, MinK",@Det,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.3
"Danny Woodhead, SDRB",Oak,Sun 4:05,0/0,0,0,0,7.8,30.8,0.2,3.5,32.7,0.2,8.2
"Travis Benjamin, CleWR",@StL,Sun 1:00,0/0,0,0,0,0,0,0,4.5,67.3,0.3,8.1
"Chandler Catanzaro, AriK",Bal,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,8.1
"Matt Prater, DetK",Min,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.1
Eagles D/STD/ST,@Car,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,8.1
"Justin Tucker, BalK",@Ari,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,8
"Matt Bryant, AtlK",@Ten,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.9
"Greg Zuerlein, StLK",Cle,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.9
Patriots D/STD/ST,NYJ,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.8
"Mike Evans, TBWR",@Wsh,Sun 1:00,0/0,0,0,0,0,0,0,4.6,69,0.3,7.8
"Dustin Hopkins, WshK",TB,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.8
"Dan Carpenter, BufK",@Jax,Sun 9:30 AM,0/0,0,0,0,0,0,0,0,0,0,7.8
"Michael Crabtree, OakWR",@SD,Sun 4:05,0/0,0,0,0,0,0,0,4.8,57.2,0.5,7.8
"Cairo Santos, KCKP",Pit,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.8
"Golden Tate, DetWRP",Min,Sun 1:00,0/0,0,0,0,0.4,2.8,0,5,61.2,0.3,7.7
"Chris Boswell, PitK",@KC,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.7
"Adam Vinatieri, IndK",NO,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.7
"Melvin Gordon, SDRBQ",Oak,Sun 4:05,0/0,0,0,0,15,55.6,0.3,1.3,10.5,0.1,7.7
Texans D/STD/ST,@Mia,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.7
"Jimmy Graham, SeaTE",@SF,W 20-3,0/0,0,0,0,0,0,0,4.3,51.8,0.5,7.7
"Allen Hurns, JaxWRP",Buf,Sun 9:30 AM,0/0,0,0,0,0,0,0,4.6,62.4,0.3,7.7
"Amari Cooper, OakWR",@SD,Sun 4:05,0/0,0,0,0,0,0,0,4.9,53.5,0.4,7.6
"Brandin Cooks, NOWR",@Ind,Sun 1:00,0/0,0,0,0,0.5,3.1,0,4.8,63.7,0.3,7.6
"T.J. Yeldon, JaxRBQ",Buf,Sun 9:30 AM,0/0,0,0,0,13.3,49.8,0.2,2.7,22.1,0.1,7.5
"Vincent Jackson, TBWR",@Wsh,Sun 1:00,0/0,0,0,0,0,0,0,3.9,60.4,0.3,7.5
"Michael Floyd, AriWR",Bal,Mon 8:30,0/0,0,0,0,0,0,0,3.3,50.8,0.4,7.5
"Ryan Succop, TenK",Atl,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.4
"Josh Lambo, SDK",Oak,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,7.3
"Connor Barth, TBK",@Wsh,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.2
"Dan Bailey, DalK",@NYG,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,7.2
"Caleb Sturgis, PhiK",@Car,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,7.1
"Nick Folk, NYJK",@NE,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.1
"Pierre Garcon, WshWR",TB,Sun 1:00,0/0,0,0,0,0,0,0,4.2,52.6,0.3,7.1
"Travis Coons, CleK",@StL,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.1
Vikings D/STD/ST,@Det,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Redskins D/STD/ST,TB,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7
"Rishard Matthews, MiaWR",Hou,Sun 1:00,0/0,0,0,0,0,0,0,4.2,51.6,0.3,7
"Sebastian Janikowski, OakK",@SD,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,7
Jaguars D/STD/ST,Buf,Sun 9:30 AM,0/0,0,0,0,0,0,0,0,0,0,6.9
"LeGarrette Blount, NERB",NYJ,Sun 1:00,0/0,0,0,0,12.1,48.8,0.5,0.6,4.7,0,6.9
"Delanie Walker, TenTE",Atl,Sun 1:00,0/0,0,0,0,0,0,0,4.9,56.3,0.3,6.9
"Julius Thomas, JaxTEP",Buf,Sun 9:30 AM,0/0,0,0,0,0,0,0,4.8,54.4,0.3,6.9
"Joseph Randle, DalRB",@NYG,Sun 4:25,0/0,0,0,0,10.7,42.2,0.3,1.7,13.9,0,6.9
Steelers D/STD/ST,@KC,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.8
"Antonio Gates, SDTEQ",Oak,Sun 4:05,0/0,0,0,0,0,0,0,3.9,47.8,0.5,6.8
"Ameer Abdullah, DetRB",Min,Sun 1:00,0/0,0,0,0,9.9,44.9,0.3,2,16.6,0.1,6.7
"Kendall Wright, TenWR",Atl,Sun 1:00,0/0,0,0,0,0.5,3.4,0,4.6,51.7,0.3,6.7
"Jason Witten, DalTE",@NYG,Sun 4:25,0/0,0,0,0,0,0,0,4.4,50.7,0.3,6.7
"Travis Kelce, KCTEP",Pit,Sun 1:00,0/0,0,0,0,0,0,0,5.2,55.8,0.3,6.7
"Mike Wallace, MinWR",@Det,Sun 1:00,0/0,0,0,0,0,0,0,3.9,58.5,0.3,6.6
"Rueben Randle, NYGWRP",Dal,Sun 4:25,0/0,0,0,0,0,0,0,3.7,52.1,0.3,6.6
"Kamar Aiken, BalWR",@Ari,Mon 8:30,0/0,0,0,0,0,0,0,3.7,52.1,0.3,6.6
Buccaneers D/STD/ST,@Wsh,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.6
"Shane Vereen, NYGRB",Dal,Sun 4:25,0/0,0,0,0,5,20.6,0.1,3.3,33,0.1,6.6
"Antonio Andrews, TenRB",Atl,Sun 1:00,0/0,0,0,0,10.7,35.7,0.4,1.6,12.6,0,6.6
"Ted Ginn Jr., CarWR",Phi,Sun 8:30,0/0,0,0,0,0,0,0,3.6,50.8,0.2,6.5
"Martavis Bryant, PitWR",@KC,Sun 1:00,0/0,0,0,0,0.3,1.8,0,3.2,46.8,0.4,6.4
"Anquan Boldin, SFWRP",Sea,L 3-20,0/0,0,0,0,0,0,0,4.9,59.1,0.2,6.4
"Jordan Cameron, MiaTE",Hou,Sun 1:00,0/0,0,0,0,0,0,0,3.9,47.8,0.4,6.4
Lions D/STD/ST,Min,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.4
"Doug Baldwin, SeaWR",@SF,W 20-3,0/0,0,0,0,0,0,0,3.8,50.6,0.2,6.4
"Willie Snead, NOWR",@Ind,Sun 1:00,0/0,0,0,0,0,0,0,4.3,59.8,0.2,6.3
"Tavon Austin, StLWRQ",Cle,Sun 1:00,0/0,0,0,0,2.4,18.5,0.1,3.4,37.4,0.3,6.2
"Dorial Green-Beckham, TenWR",Atl,Sun 1:00,0/0,0,0,0,0,0,0,2.8,40.9,0.4,6.2
"Jordan Reed, WshTEQ",TB,Sun 1:00,0/0,0,0,0,0,0,0,4.2,43.9,0.4,6.2
"Nate Washington, HouWRP",@Mia,Sun 1:00,0/0,0,0,0,0,0,0,3.7,55.9,0.2,6.2
"Malcom Floyd, SDWR",Oak,Sun 4:05,0/0,0,0,0,0,0,0,2.5,45,0.4,6.1
"Duke Johnson Jr., CleRB",@StL,Sun 1:00,0/0,0,0,0,7.2,28.4,0.1,4.1,30.7,0.1,6.1
"Leonard Hankerson, AtlWRP",@Ten,Sun 1:00,0/0,0,0,0,0,0,0,3.3,40.1,0.4,6.1
Chiefs D/STD/ST,Pit,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.1
Cowboys D/STD/ST,@NYG,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,6
"Charcandrick West, KCRB",Pit,Sun 1:00,0/0,0,0,0,10.3,39.3,0.3,2,15.8,0.1,6
"Stevie Johnson, SDWRQ",Oak,Sun 4:05,0/0,0,0,0,0,0,0,3.5,47.1,0.3,5.9
Falcons D/STD/ST,@Ten,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.9
"Jamison Crowder, WshWR",TB,Sun 1:00,0/0,0,0,0,0.3,2.1,0,4,45.5,0.3,5.9

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Terrance Williams, DalWR",@NYG,Sun 4:25,0/0,0,0,0,0,0,0,3.3,46.4,0.3,5.8
"Danny Amendola, NEWR",NYJ,Sun 1:00,0/0,0,0,0,0.2,1.6,0,4.4,46.3,0.3,5.8
Titans D/STD/ST,Atl,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.8
Colts D/STD/ST,NO,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.8
"Gary Barnidge, CleTEP",@StL,Sun 1:00,0/0,0,0,0,0,0,0,3.5,45.3,0.3,5.7
"Charles Clay, BufTE",@Jax,Sun 9:30 AM,0/0,0,0,0,0,0,0,4.2,46.1,0.3,5.6
"Justin Hunter, TenWR",Atl,Sun 1:00,0/0,0,0,0,0,0,0,2.7,41.7,0.3,5.6
"Eric Ebron, DetTEP",Min,Sun 1:00,0/0,0,0,0,0,0,0,4,45,0.3,5.6
"Benjamin Watson, NOTE",@Ind,Sun 1:00,0/0,0,0,0,0,0,0,3.6,41.2,0.3,5.5
"Riley Cooper, PhiWRQ",@Car,Sun 8:30,0/0,0,0,0,0,0,0,3.1,45.4,0.3,5.5
"Jermaine Kearse, SeaWR",@SF,W 20-3,0/0,0,0,0,0,0,0,2.8,41.7,0.3,5.5
"Dexter McCluster, TenWR, RBP",Atl,Sun 1:00,0/0,0,0,0,6.9,26.3,0.1,2.2,20.2,0.1,5.4
"Lance Moore, DetWR",Min,Sun 1:00,0/0,0,0,0,0,0,0,3.3,43,0.2,5.4
Browns D/STD/ST,@StL,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.4
"Bryan Walters, JaxWR",Buf,Sun 9:30 AM,0/0,0,0,0,0,0,0,3.6,49,0.2,5.4
"Robert Woods, BufWR",@Jax,Sun 9:30 AM,0/0,0,0,0,0,0,0,3,41,0.2,5.4
"Coby Fleener, IndTE",NO,Sun 1:00,0/0,0,0,0,0,0,0,2.8,34.5,0.4,5.3
Chargers D/STD/ST,Oak,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,5.3
49ers D/STD/ST,Sea,L 3-20,0/0,0,0,0,0,0,0,0,0,0,5.2
Dolphins D/STD/ST,Hou,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.2
"Marques Colston, NOWRP",@Ind,Sun 1:00,0/0,0,0,0,0,0,0,3.4,47.7,0.2,5.2
"Andre Johnson, IndWRP",NO,Sun 1:00,0/0,0,0,0,0,0,0,2.7,33.8,0.4,5.2
"Stefon Diggs, MinWR",@Det,Sun 1:00,0/0,0,0,0,0,0,0,3.6,48.9,0.2,5
"C.J. Spiller, NORB",@Ind,Sun 1:00,0/0,0,0,0,2.6,11.6,0.1,4,36.5,0.1,5
"Larry Donnell, NYGTE",Dal,Sun 4:25,0/0,0,0,0,0,0,0,3.4,40,0.3,5
"Joique Bell, DetRBP",Min,Sun 1:00,0/0,0,0,0,7.5,30.8,0.3,1.1,8.6,0,5
"Jared Cook, StLTE",Cle,Sun 1:00,0/0,0,0,0,0,0,0,2.9,34,0.3,4.9
"Torrey Smith, SFWR",Sea,L 3-20,0/0,0,0,0,0,0,0,2.4,40.4,0.2,4.9
Saints D/STD/ST,@Ind,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.9
"Charles Sims, TBRB",@Wsh,Sun 1:00,0/0,0,0,0,7.1,27.1,0.1,2.7,22.7,0.1,4.9
"Tevin Coleman, AtlRB",@Ten,Sun 1:00,0/0,0,0,0,7.4,32.1,0.3,0.4,3.4,0,4.9
"Zach Ertz, PhiTE",@Car,Sun 8:30,0/0,0,0,0,0,0,0,3.2,39.7,0.3,4.8
"Ahmad Bradshaw, IndRB",NO,Sun 1:00,0/0,0,0,0,5.1,25.6,0.2,2.2,16,0.1,4.7
"Crockett Gillmore, BalTE",@Ari,Mon 8:30,0/0,0,0,0,0,0,0,3.5,37.1,0.3,4.7
"Kenny Britt, StLWR",Cle,Sun 1:00,0/0,0,0,0,0,0,0,2.6,38.6,0.3,4.7
Giants D/STD/ST,Dal,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,4.6
"Kyle Rudolph, MinTE",@Det,Sun 1:00,0/0,0,0,0,0,0,0,3.6,38.6,0.3,4.5
Jets D/STD/ST,@NE,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.5
"Roddy White, AtlWRP",@Ten,Sun 1:00,0/0,0,0,0,0,0,0,2.6,31.3,0.3,4.5
"Darren McFadden, DalRB",@NYG,Sun 4:25,0/0,0,0,0,5.2,18.5,0.1,3.2,27.3,0.1,4.5

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Buck Allen, BalRB",@Ari,Mon 8:30,0/0,0,0,0,6.1,24.2,0.2,1.3,10.2,0,4.4
"Zac Stacy, NYJRB",@NE,Sun 1:00,0/0,0,0,0,6.1,24.8,0.2,2.1,16.8,0.1,4.4
"Chris Hogan, BufWR",@Jax,Sun 9:30 AM,0/0,0,0,0,0,0,0,3,34.6,0.2,4.4
"Benjamin Cunningham, StLRB",Cle,Sun 1:00,0/0,0,0,0,4.4,22.3,0.1,2.2,18.1,0.1,4.4
"Khiry Robinson, NORB",@Ind,Sun 1:00,0/0,0,0,0,5.4,22.6,0.2,1.6,11.7,0,4.4
"Theo Riddick, DetRBP",Min,Sun 1:00,0/0,0,0,0,2.2,8.2,0.1,4.1,35.3,0.2,4.4
"Christine Michael, DalRB",@NYG,Sun 4:25,0/0,0,0,0,8,32.2,0.2,1,7.9,0,4.4
"David Johnson, AriRB",Bal,Mon 8:30,0/0,0,0,0,4.4,17.8,0.2,1.7,18.2,0.1,4.3
"Dwayne Harris, NYGWR",Dal,Sun 4:25,0/0,0,0,0,0.1,0.8,0,2.7,32.3,0.2,4.3
"Keshawn Martin, NEWRQ",NYJ,Sun 1:00,0/0,0,0,0,0,0,0,2.5,33,0.2,4.2
"Kenny Stills, MiaWRP",Hou,Sun 1:00,0/0,0,0,0,0,0,0,2.6,37,0.2,4.2
"Bishop Sankey, TenRB",Atl,Sun 1:00,0/0,0,0,0,5.6,22,0.1,1.9,14.2,0,4.1
"Darren Sproles, PhiRB",@Car,Sun 8:30,0/0,0,0,0,3.5,14.9,0.1,2.9,23.5,0.1,4.1
"Tyler Lockett, SeaWRP",@SF,W 20-3,0/0,0,0,0,0.3,1.8,0,2.1,31.1,0.1,4.1
"Charles Johnson, MinWRP",@Det,Sun 1:00,0/0,0,0,0,0,0,0,2.3,32.8,0.2,4
"Vernon Davis, SFTEP",Sea,L 3-20,0/0,0,0,0,0,0,0,2.8,36.4,0.2,4
"Keith Mumphery, HouWR",@Mia,Sun 1:00,0/0,0,0,0,0,0,0,2.7,35.7,0.1,3.9
"Chris Conley, KCWR",Pit,Sun 1:00,0/0,0,0,0,0,0,0,2.6,32.3,0.2,3.9
"Isaiah Crowell, CleRB",@StL,Sun 1:00,0/0,0,0,0,9.3,38.9,0.1,1.1,9.1,0,3.8
"Jerricho Cotchery, CarWR",Phi,Sun 8:30,0/0,0,0,0,0,0,0,2.6,33.2,0.1,3.8
"Andrew Hawkins, CleWR",@StL,Sun 1:00,0/0,0,0,0,0,0,0,3.1,32.8,0.1,3.8
Ravens D/STD/ST,@Ari,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,3.6
"Knile Davis, KCRB",Pit,Sun 1:00,0/0,0,0,0,6.3,23.3,0.2,1,7.2,0,3.4
"Ladarius Green, SDTE",Oak,Sun 4:05,0/0,0,0,0,0,0,0,2.3,28,0.2,3.4
"Scott Chandler, NETE",NYJ,Sun 1:00,0/0,0,0,0,0,0,0,2,23.3,0.2,3.4
