,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire
297,Ryan Grant,WR,3000,TB@Was 01:00PM ET,4.667,Was,4.0,,5.16,1.7,3.64,7.81,4.0844
298,Markus Wheaton,WR,3000,Pit@KC 01:00PM ET,6.933,Pit,3.0,3.7,5.56,2.9,5.23,12.1,4.376
299,Nikita Whitlock,RB,3000,Dal@NYG 04:25PM ET,0.0,NYG,,,,,,,
300,Kyle Juszczyk,RB,3000,Bal@Ari 08:30PM ET,4.75,Bal,,,3.37,,5.16,3.24,1.019
301,Stepfan Taylor,RB,3000,Bal@Ari 08:30PM ET,0.417,Ari,,1.1,,1.8,,0.05,1.688
302,Zac Stacy,RB,3000,NYJ@NE 01:00PM ET,5.175,NYJ,5.5,5.4,4.77,6.1,8.06,2.37,4.415
303,Tony Washington,WR,3000,Buf@Jax 09:30AM ET,0.2,Jax,,,,,,,
304,Branden Oliver,RB,3000,Oak@SD 04:05PM ET,2.7,SD,2.0,6.3,6.89,6.4,2.28,5.01,2.439
305,Dri Archer,WR,3000,Pit@KC 01:00PM ET,0.0,Pit,,4.4,,5.1,,0.05,1.575
306,Marquise Goodwin,WR,3000,Buf@Jax 09:30AM ET,2.2,Buf,,,,,,,
307,Brandon Wegher,RB,3000,Phi@Car 08:30PM ET,0.0,Car,,,,,,,
308,Kevin Norwood,WR,3000,Phi@Car 08:30PM ET,0.0,Car,,,,,,0.42,
309,Ricardo Lockette,WR,3000,Sea@SF 08:25PM ET,2.6,Sea,,3.3,,2.7,,0.06,3.525
310,Christine Michael,RB,3000,Dal@NYG 04:25PM ET,0.25,Dal,6.0,4.2,5.23,4.9,6.21,6.25,7.7816
311,Denard Robinson,RB,3000,Buf@Jax 09:30AM ET,4.733,Jax,,5.4,4.97,5.5,3.26,1.6,4.9
312,Nick Williams,WR,3000,Atl@Ten 01:00PM ET,1.917,Atl,,,,,2.4,5.26,4.0476
313,Devin Street,WR,3000,Dal@NYG 04:25PM ET,1.02,Dal,4.0,,5.46,,2.62,4.25,2.229
314,Marlon Brown,WR,3000,Bal@Ari 08:30PM ET,3.067,Bal,4.0,7.2,4.31,6.6,5.46,6.78,3.3616
315,Chris Matthews,WR,3000,Sea@SF 08:25PM ET,1.567,Sea,,2.6,4.38,3.3,2.1,4.48,4.433
316,Aaron Dobson,WR,3000,NYJ@NE 01:00PM ET,6.367,NE,,5.0,,4.5,,2.13,1.692
317,Bernard Pierce,RB,3000,Buf@Jax 09:30AM ET,0.96,Jax,,0.6,,0.5,,,
318,Stedman Bailey,WR,3000,Cle@StL 01:00PM ET,6.22,StL,4.0,5.2,6.82,4.7,6.21,8.41,3.984
319,Spencer Ware,RB,3000,Pit@KC 01:00PM ET,0.0,KC,,,,,,,1.806
320,Quincy Enunwa,WR,3000,NYJ@NE 01:00PM ET,3.48,NYJ,,,,,,,
321,Justin Hunter,WR,3000,Atl@Ten 01:00PM ET,5.52,Ten,7.0,5.8,5.88,4.9,8.67,9.2,8.348
