Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Rishard Matthews,WR,4400,Mia@NYJ 01:00PM ET,13.96,Mia,10.5,15.4,9.03,14.7,10.1,10.28,10.676,11.5265714286,15.4,9.03,6.37,0.552636145056
Donte Moncrief,WR,4400,TB@Ind 01:00PM ET,12.4,Ind,11.0,15.7,11.47,15.0,11.64,11.49,13.129,12.7755714286,15.7,11.0,4.7,0.367889610753
Brandon LaFell,WR,4300,NE@Den 08:30PM ET,10.12,NE,11.5,16.8,10.19,16.5,13.38,14.24,14.248,13.8368571429,16.8,10.19,6.61,0.477709636788
Tavon Austin,WR,4300,StL@Cin 01:00PM ET,12.61,StL,18.0,7.9,6.35,8.2,10.6,6.58,10.685,9.75928571429,18.0,6.35,11.65,1.19373490449
Tevin Coleman,RB,4300,Min@Atl 01:00PM ET,3.638,Atl,16.5,2.2,12.4,3.0,15.26,2.86,17.477,9.95671428571,17.477,2.2,15.277,1.53434150681
Terrance Williams,WR,4200,Car@Dal 04:30PM ET,9.22,Dal,18.0,7.4,9.91,6.7,10.44,8.88,7.316,9.80657142857,18.0,6.7,11.3,1.15228855287
Pierre Garcon,WR,4200,NYG@Was 01:00PM ET,11.13,Was,8.5,17.4,11.96,16.7,9.93,11.55,9.286,12.1894285714,17.4,8.5,8.9,0.730140871481
Shane Vereen,RB,4200,NYG@Was 01:00PM ET,10.49,NYG,7.5,7.9,11.17,8.1,9.68,7.82,6.663,8.40471428571,11.17,6.663,4.507,0.536246664287
Marvin Jones,WR,4200,StL@Cin 01:00PM ET,10.88,Cin,14.0,18.0,10.17,17.0,11.34,10.72,7.171,12.6287142857,18.0,7.171,10.829,0.857490299883
Martellus Bennett,TE,4000,Chi@GB 08:30PM ET,11.05,Chi,,,,,,,,,,,,
Anquan Boldin,WR,4000,Ari@SF 04:05PM ET,12.563,SF,17.0,17.6,11.59,16.8,12.31,13.74,9.278,14.0454285714,17.6,9.278,8.322,0.59250595008
Benjamin Watson,TE,4000,NO@Hou 01:00PM ET,12.41,NO,,10.4,8.33,12.2,10.64,10.32,12.68,10.7616666667,12.68,8.33,4.35,0.404212482577
Ronnie Hillman,RB,4000,NE@Den 08:30PM ET,10.41,Den,16.5,15.6,11.41,15.2,10.02,11.27,11.277,13.0395714286,16.5,10.02,6.48,0.496948848012
Marquess Wilson,WR,3900,Chi@GB 08:30PM ET,7.5,Chi,7.0,4.0,5.57,4.0,7.67,7.11,8.368,6.24542857143,8.368,4.0,4.368,0.699391554966
Devin Funchess,WR,3900,Car@Dal 04:30PM ET,5.46,Car,17.0,5.4,7.02,4.7,10.12,6.96,6.708,8.27257142857,17.0,4.7,12.3,1.48684119638
Cardinals ,DST,3900,Ari@SF 04:05PM ET,9.2,Ari,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,0.0,0.0
Malcom Floyd,WR,3900,SD@Jax 01:00PM ET,8.878,SD,8.0,,6.76,,9.51,,9.83,8.525,9.83,6.76,3.07,0.360117302053
Karlos Williams,RB,3900,Buf@KC 01:00PM ET,14.043,Buf,4.5,1.4,8.83,1.3,4.68,5.01,8.332,4.86457142857,8.83,1.3,7.53,1.54792670034
Duke Johnson Jr.,RB,3900,Bal@Cle 08:30PM ET,10.86,Cle,9.5,9.3,12.06,9.2,12.27,13.37,7.732,10.4902857143,13.37,7.732,5.638,0.537449613248
Matt Jones,RB,3900,NYG@Was 01:00PM ET,10.6,Was,9.5,11.4,9.6,13.5,9.54,8.32,5.465,9.61785714286,13.5,5.465,8.035,0.835425176383
Seahawks ,DST,3800,Pit@Sea 04:25PM ET,10.6,Sea,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,0.0,0.0
Nate Washington,WR,3800,NO@Hou 01:00PM ET,12.45,Hou,17.5,5.0,11.45,4.5,10.72,12.28,9.456,10.1294285714,17.5,4.5,13.0,1.28338927594
Shaun Draughn,RB,3800,Ari@SF 04:05PM ET,4.629,SF,11.0,,10.74,,13.15,16.43,11.692,12.6024,16.43,10.74,5.69,0.451501301339
Dwayne Harris,WR,3800,NYG@Was 01:00PM ET,8.65,NYG,7.0,2.8,7.06,2.4,8.47,10.84,5.57,6.30571428571,10.84,2.4,8.44,1.33846850929
Alfred Morris,RB,3800,NYG@Was 01:00PM ET,5.67,Was,3.5,11.5,7.62,12.0,6.83,6.47,5.034,7.56485714286,12.0,3.5,8.5,1.12361672395
Doug Baldwin,WR,3800,Pit@Sea 04:25PM ET,11.89,Sea,15.5,19.9,11.47,19.0,11.08,12.4,11.53,14.4114285714,19.9,11.08,8.82,0.612014274385
Michael Floyd,WR,3800,Ari@SF 04:05PM ET,11.8,Ari,9.0,7.8,10.38,7.9,12.08,10.66,9.2382,9.57974285714,12.08,7.8,4.28,0.446776084058
Rueben Randle,WR,3800,NYG@Was 01:00PM ET,10.75,NYG,9.0,17.8,11.28,15.9,9.68,12.34,10.315,12.3307142857,17.8,9.0,8.8,0.71366506401
Spencer Ware,RB,3800,Buf@KC 01:00PM ET,6.3,KC,16.0,,12.97,,13.89,14.55,9.465,13.375,16.0,9.465,6.535,0.488598130841
Carlos Hyde,RB,3800,Ari@SF 04:05PM ET,12.043,SF,,,,,,,,,,,,
Melvin Gordon,RB,3800,SD@Jax 01:00PM ET,7.7,SD,6.0,4.2,9.53,4.7,9.64,12.57,10.517,8.16528571429,12.57,4.2,8.37,1.02507129485
Ted Ginn Jr.,WR,3700,Car@Dal 04:30PM ET,10.4,Car,9.0,9.2,8.45,8.6,11.25,8.21,8.818,9.07542857143,11.25,8.21,3.04,0.33497040675
Rashad Jennings,RB,3700,NYG@Was 01:00PM ET,8.77,NYG,7.5,3.6,10.47,3.9,9.37,10.39,7.966,7.59942857143,10.47,3.6,6.87,0.904015339499
Leonard Hankerson,WR,3700,Min@Atl 01:00PM ET,9.963,Atl,,,,,,,,,,,,
Knile Davis,RB,3700,Buf@KC 01:00PM ET,1.938,KC,3.0,3.6,,3.8,8.94,5.11,,4.89,8.94,3.0,5.94,1.21472392638
Crockett Gillmore,TE,3700,Bal@Cle 08:30PM ET,11.813,Bal,14.5,2.8,9.9,2.4,7.62,7.95,8.608,7.68257142857,14.5,2.4,12.1,1.57499349176
Antonio Andrews,RB,3700,Oak@Ten 01:00PM ET,9.025,Ten,7.5,12.6,10.09,13.2,11.99,9.35,12.548,11.0397142857,13.2,7.5,5.7,0.516317710086
Terrance West,RB,3700,Bal@Cle 08:30PM ET,1.55,Bal,3.0,,3.82,,4.97,1.01,,3.2,4.97,1.01,3.96,1.2375
Panthers ,DST,3600,Car@Dal 04:30PM ET,10.3,Car,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,0.0,0.0
