,player,opp,opp_rank,overall_rank,pos_rank,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,fanduel_pts,fanduel_cost,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,2-pt,fl,punt_td,kick_td
10,Tom Brady ,DEN,#2,10,6,283.02,1.85,0.96,3.08,13.28,0.18,0.02,-0.02,0.0,18.87,19.82,$9000,2.2,20.03,$8000,2.5,18.86,$146100,0.13,19.83,$19450,1.02,21.69,$7350,2.95,20.03,$7400,2.71,23.06,$9000,2.56,20.02,$9300,2.15,19.82,$42,471.9,,,,
11,Todd Gurley ,CIN,#14,11,1,0.0,0.0,0.0,20.8,93.93,0.39,3.85,28.59,0.09,18.7,16.78,$8800,1.91,18.84,$7500,2.51,16.78,$134600,0.12,18.7,$15150,1.23,16.78,$6150,2.73,18.84,$6600,2.85,18.98,$7500,2.53,16.92,$6800,2.49,16.78,$34,493.53,,,,
12,Brian Hoyer ,NO,#32,12,7,268.16,2.04,0.74,2.18,8.46,0.1,0.0,0.0,0.0,18.49,19.23,$7100,2.71,19.45,$5000,3.89,18.49,$120200,0.15,19.23,$13950,1.38,21.17,$5700,3.71,19.45,$3700,5.26,22.35,$6600,3.39,19.45,$4800,4.05,19.23,$28,686.79,,,,
13,Larry Fitzgerald ,SF,#30,13,4,0.0,0.0,0.0,0.0,0.0,0.0,5.95,78.7,0.77,18.44,15.47,$7400,2.09,18.44,$7400,2.49,15.47,$131900,0.12,18.44,$12900,1.43,15.47,$5600,2.76,18.44,$6800,2.71,18.44,$7900,2.33,15.47,$7700,2.01,15.47,$31,499.03,,,,
14,Doug Martin ,IND,#19,14,2,0.0,0.0,0.0,17.0,84.52,0.48,3.66,32.67,0.07,18.24,16.41,$7500,2.19,18.46,$5800,3.18,16.41,$126500,0.13,18.24,$10600,1.72,16.41,$5000,3.28,18.46,$5100,3.62,18.68,$7400,2.52,16.63,$7000,2.38,16.41,$27,607.78,,,,
15,Matt Ryan ,MIN,#16,15,8,295.3,2.13,0.88,1.96,0.6,0.0,0.0,0.0,0.0,18.07,18.95,$7900,2.4,19.23,$6900,2.79,18.07,$129100,0.14,18.95,$15000,1.26,21.03,$6550,3.21,19.23,$7000,2.75,22.47,$7500,3.0,19.23,$7400,2.6,18.95,$29,653.45,,,,
16,Andy Dalton ,STL,#1,16,9,255.96,1.81,0.78,4.16,18.44,0.06,0.02,-0.02,0.0,17.94,18.71,$7900,2.37,18.88,$6100,3.1,17.93,$126400,0.14,18.72,$13950,1.34,20.49,$6800,3.01,18.88,$6800,2.78,21.6,$7900,2.73,18.87,$7000,2.7,18.71,$30,623.67,,,,
17,Blake Bortles ,SD,#29,16,9,277.65,1.51,0.88,3.65,17.9,0.15,0.0,0.0,0.0,17.94,18.82,$7300,2.58,19.0,$5900,3.22,17.94,$136500,0.13,18.82,$13450,1.4,20.71,$6350,3.26,19.0,$7000,2.71,21.95,$6900,3.18,19.0,$7800,2.44,18.82,$39,482.56,,,,
18,Brandon Marshall ,MIA,#27,17,5,0.0,0.0,0.0,0.0,0.0,0.0,6.14,82.95,0.58,17.74,14.67,$7800,1.88,17.83,$6800,2.62,14.67,$118400,0.12,17.74,$11800,1.5,14.67,$5250,2.79,17.83,$6200,2.88,17.92,$7300,2.45,14.76,$5900,2.5,14.67,$28,523.93,,,,
19,Ryan Fitzpatrick ,MIA,#27,18,10,241.41,1.73,0.7,3.54,16.79,0.2,0.0,0.0,0.0,17.66,18.36,$7200,2.55,18.58,$5000,3.72,17.66,$111100,0.16,18.36,$12450,1.47,20.07,$6000,3.35,18.58,$6700,2.77,21.21,$6100,3.48,18.58,$5600,3.32,18.36,$29,633.1,,,,
20,Demaryius Thomas ,NE,#13,19,6,1.09,0.02,0.0,0.0,0.0,0.0,7.51,83.72,0.29,17.61,13.85,$7700,1.8,17.7,$7400,2.39,13.85,$123200,0.11,17.61,$13850,1.27,13.86,$5300,2.62,17.7,$6400,2.77,17.8,$8100,2.2,13.94,$6200,2.25,13.85,$30,461.67,,,,
21,Adrian Peterson ,ATL,#20,20,3,0.46,0.02,0.0,21.04,86.98,0.77,2.73,16.35,0.02,17.6,16.24,$9000,1.8,17.75,$7300,2.43,16.24,$139800,0.12,17.6,$16200,1.09,16.24,$6400,2.54,17.75,$8000,2.22,17.91,$8400,2.13,16.39,$8400,1.95,16.24,$34,477.65,,,,
22,Eli Manning ,WSH,#18,21,11,290.59,1.67,0.99,3.15,10.46,0.04,0.0,0.0,0.0,17.53,18.52,$7700,2.41,18.67,$6500,2.87,17.53,$143100,0.12,18.52,$15350,1.21,20.44,$6500,3.14,18.67,$3600,5.19,21.73,$7900,2.75,18.67,$7300,2.56,18.52,$32,578.75,,,,
23,A.J. Green ,STL,#1,22,7,0.0,0.0,0.0,0.0,0.0,0.0,6.13,84.22,0.49,17.49,14.43,$8200,1.76,17.49,$7400,2.36,14.43,$102800,0.14,17.49,$12700,1.38,14.43,$5400,2.67,17.49,$6300,2.78,17.49,$7900,2.21,14.43,$6100,2.37,14.43,$28,515.36,,,,
24,Tony Romo ,CAR,#3,23,12,289.76,1.8,1.19,3.01,11.42,0.04,0.0,0.0,0.0,17.39,18.58,$7900,2.35,18.78,$5800,3.24,17.39,$127100,0.14,18.58,$13350,1.39,20.29,$6700,3.03,18.78,$6300,2.98,21.88,$8100,2.7,18.78,$5800,3.24,18.58,$33,563.03,,,,
25,Tevin Coleman ,MIN,#16,24,4,0.0,0.0,0.0,18.11,61.86,0.58,4.47,33.41,0.0,17.02,14.78,$6200,2.38,17.25,$4300,4.01,14.78,$66100,0.22,17.02,$8100,2.1,14.78,$4650,3.18,17.25,$3000,5.75,17.48,$2000,8.74,15.01,$3500,4.29,14.78,$13,1136.92,,,,
26,Derek Carr ,TEN,#12,25,13,269.31,1.53,0.78,3.29,12.69,0.12,0.0,0.0,0.0,17.0,17.78,$7400,2.4,18.02,$6300,2.86,17.0,$129900,0.13,17.78,$14250,1.25,19.69,$6450,3.05,18.02,$7200,2.5,20.95,$7900,2.65,18.02,$7600,2.37,17.78,$33,538.79,,,,
27,Ben Roethlisberger ,SEA,#4,26,14,286.13,1.91,1.17,2.2,3.21,0.02,0.07,-0.17,0.0,16.88,18.01,$7800,2.31,18.31,$6700,2.73,16.84,$128100,0.13,18.05,$15900,1.14,19.71,$6700,2.94,18.31,$3100,5.91,21.43,$8400,2.55,18.27,$5200,3.51,18.01,$33,545.76,,,,
28,Calvin Johnson ,PHI,#10,27,8,0.0,0.0,0.0,0.0,0.0,0.0,6.22,86.16,0.33,16.78,13.67,$8200,1.67,16.82,$7200,2.34,13.67,$114900,0.12,16.78,$12850,1.31,13.67,$5300,2.58,16.82,$6500,2.59,16.86,$7100,2.37,13.71,$7400,1.85,13.67,$31,440.97,,,,
29,Kirk Cousins ,NYG,#23,28,15,269.26,1.55,1.0,2.62,10.96,0.12,0.0,0.0,0.0,16.67,17.67,$6700,2.64,17.79,$5400,3.29,16.67,$111800,0.15,17.67,$13300,1.33,19.36,$6000,3.23,17.79,$5600,3.18,20.6,$6000,3.43,17.79,$5200,3.42,17.67,$31,570.0,,,,
30,Marcus Mariota ,OAK,#31,29,16,254.71,1.39,0.84,3.25,15.87,0.22,0.0,0.0,0.0,16.6,17.44,$7000,2.49,17.7,$5500,3.22,16.6,$119900,0.14,17.44,$13400,1.3,19.14,$6200,3.09,17.7,$6200,2.85,20.5,$6000,3.42,17.7,$5800,3.05,17.44,$28,622.86,,,,
31,DeMarco Murray ,DET,#26,30,5,0.2,0.02,0.0,15.79,67.79,0.58,3.69,26.39,0.02,16.52,14.67,$7700,1.91,16.68,$6100,2.73,14.67,$124400,0.12,16.52,$13500,1.22,14.67,$4850,3.02,16.68,$6300,2.65,16.84,$6800,2.48,14.83,$7600,1.95,14.67,$29,505.86,,,,
32,Matt Schaub ,CLE,#28,31,17,272.99,1.51,1.01,3.15,11.61,0.15,0.0,0.0,0.0,16.52,17.53,$6200,2.83,17.86,$5300,3.37,16.52,$105400,0.16,17.53,$10200,1.72,19.25,$5650,3.41,17.86,$3200,5.58,20.92,$5200,4.02,17.86,$5200,3.43,17.53,$23,762.17,,,,
33,Dez Bryant ,CAR,#3,32,9,1.38,0.04,0.0,0.0,0.0,0.0,5.43,69.18,0.63,16.34,13.63,$8300,1.64,16.38,$7600,2.16,13.63,$120100,0.11,16.34,$13100,1.25,13.64,$5400,2.53,16.38,$6200,2.64,16.44,$8300,1.98,13.67,$7000,1.95,13.63,$30,454.33,,,,
34,Mark Ingram ,HOU,#11,33,6,0.0,0.0,0.0,15.31,69.57,0.44,3.69,25.66,0.13,16.31,14.47,$7400,1.96,16.49,$6400,2.58,14.47,$101900,0.14,16.31,$12250,1.33,14.47,$5000,2.89,16.49,$3200,5.15,16.67,$7700,2.16,14.65,$6900,2.12,14.47,$29,498.97,,,,
35,Allen Robinson ,SD,#29,34,10,0.0,0.0,0.0,0.0,0.0,0.0,5.3,79.4,0.5,16.16,13.51,$7900,1.71,16.2,$7300,2.22,13.51,$127200,0.11,16.16,$12300,1.31,13.51,$5100,2.65,16.2,$5900,2.75,16.24,$7300,2.22,13.55,$7300,1.86,13.51,$32,422.19,,,,
36,Jay Cutler ,GB,#21,35,18,256.45,1.47,0.94,3.38,11.92,0.1,0.02,0.0,0.0,15.95,16.88,$6900,2.45,17.05,$5100,3.34,15.94,$117100,0.14,16.89,$13900,1.22,18.5,$6250,2.96,17.05,$5500,3.1,19.77,$6800,2.91,17.04,$5500,3.1,16.88,$29,582.07,,,,
37,Russell Wilson ,PIT,#8,36,19,255.73,1.16,0.88,5.34,27.53,0.08,0.0,0.0,0.0,15.9,16.78,$7600,2.21,17.04,$6000,2.84,15.9,$132400,0.12,16.78,$15150,1.11,18.46,$6300,2.93,17.04,$7100,2.4,19.86,$7100,2.8,17.04,$7100,2.4,16.78,$28,599.29,,,,
38,Matthew Stafford ,PHI,#10,37,20,262.22,1.77,1.56,2.96,15.21,0.04,0.02,-0.12,0.0,15.88,17.43,$7200,2.42,17.7,$5800,3.05,15.87,$139300,0.11,17.44,$13700,1.27,18.49,$6200,2.98,17.7,$6900,2.57,20.58,$7400,2.78,17.69,$6600,2.68,17.43,$32,544.69,,,,
39,DeAngelo Williams ,SEA,#4,38,7,0.0,0.0,0.0,14.87,61.92,0.41,3.64,30.7,0.09,15.86,14.04,$7100,1.98,15.9,$5700,2.79,14.04,$93100,0.15,15.86,$12550,1.26,14.04,$4950,2.84,15.9,$3200,4.97,15.94,$7500,2.13,14.08,$6700,2.1,14.04,$23,610.43,,,,
40,Randall Cobb ,CHI,#25,39,11,0.0,0.0,0.0,0.12,0.47,0.0,5.13,68.71,0.64,15.81,13.24,$7400,1.79,15.85,$6500,2.44,13.24,$106400,0.12,15.81,$11600,1.36,13.24,$5500,2.41,15.85,$5900,2.69,15.89,$6900,2.3,13.28,$5200,2.55,13.24,$26,509.23,,,,
41,Rob Gronkowski ,DEN,#2,40,2,0.0,0.0,0.0,0.0,0.0,0.0,5.68,68.33,0.53,15.61,12.77,$8400,1.52,15.65,$7900,1.98,12.77,$137600,0.09,15.61,$15300,1.02,12.77,$5850,2.18,15.65,$6800,2.3,15.69,$8200,1.91,12.81,$6100,2.1,12.77,$28,456.07,,,,
42,Jarvis Landry ,NYJ,#5,41,12,0.0,0.0,0.0,0.18,0.41,0.0,6.04,66.67,0.47,15.41,12.39,$7000,1.77,15.49,$6600,2.35,12.39,$96900,0.13,15.41,$11550,1.33,12.39,$4800,2.58,15.49,$6100,2.54,15.57,$7300,2.13,12.47,$6000,2.08,12.39,$29,427.24,,,,
43,Steve Johnson ,JAC,#24,42,13,0.0,0.0,0.0,0.0,0.0,0.0,5.91,66.76,0.47,15.37,12.41,$5500,2.26,15.41,$4500,3.42,12.41,$87900,0.14,15.37,$8500,1.81,12.41,$4700,2.64,15.41,$5000,3.08,15.45,$5800,2.66,12.45,$1500,8.3,12.41,$22,564.09,,,,
44,Amari Cooper ,TEN,#12,43,14,0.0,0.0,0.02,0.22,1.12,0.0,5.32,72.78,0.45,15.29,12.65,$6800,1.86,15.35,$6800,2.26,12.63,$109100,0.12,15.31,$10800,1.42,12.63,$4900,2.58,15.35,$5800,2.65,15.39,$6700,2.3,12.69,$6100,2.08,12.65,$28,451.79,,,,
45,Jameis Winston ,IND,#19,44,21,237.56,1.18,0.82,5.0,19.8,0.16,0.0,0.0,0.0,15.28,16.1,$7300,2.21,16.24,$5500,2.95,15.28,$123200,0.12,16.1,$14400,1.12,17.66,$6400,2.76,16.24,$6300,2.58,18.76,$7700,2.44,16.24,$6000,2.71,16.1,$28,575.0,,,,
46,Mark Sanchez ,DET,#26,45,22,252.26,1.8,1.17,3.29,11.03,0.0,0.0,0.0,0.0,15.27,16.44,$6700,2.45,16.83,$5200,3.24,15.27,$112400,0.14,16.44,$11100,1.48,17.8,$5800,3.07,16.83,$4600,3.66,19.75,$5700,3.46,16.83,$6100,2.76,16.44,$20,822.0,,,,
47,Eric Decker ,MIA,#27,46,15,0.0,0.0,0.0,0.0,0.0,0.0,4.73,74.51,0.51,15.2,12.84,$7100,1.81,15.22,$5800,2.62,12.84,$104100,0.12,15.2,$11900,1.28,12.84,$4950,2.59,15.22,$5400,2.82,15.24,$7200,2.12,12.86,$6700,1.92,12.84,$29,442.76,,,,
48,Matt Hasselbeck ,TB,#17,47,23,240.68,1.67,0.63,1.69,2.9,0.04,0.05,-0.06,0.0,15.16,15.77,$6400,2.46,16.04,$5400,2.97,15.14,$108300,0.14,15.79,$10000,1.58,17.54,$5900,2.97,16.04,$6000,2.67,18.7,$5800,3.22,16.02,$5900,2.72,15.77,$25,630.8,,,,
49,T.J. Yeldon ,SD,#29,48,8,0.24,0.04,0.0,14.82,62.93,0.53,2.74,25.03,0.08,15.07,13.7,$6500,2.11,15.24,$4800,3.18,13.7,$114500,0.12,15.07,$9900,1.52,13.7,$4800,2.85,15.24,$5500,2.77,15.41,$5800,2.66,13.87,$5600,2.48,13.7,$28,489.29,,,,
50,Teddy Bridgewater ,ATL,#20,49,24,212.52,1.4,0.71,3.94,22.77,0.1,0.02,0.02,0.0,14.94,15.64,$6500,2.41,16.01,$5000,3.2,14.93,$110200,0.14,15.65,$12300,1.27,17.06,$5600,3.05,16.01,$5900,2.71,18.5,$4800,3.85,16.0,$5500,2.91,15.64,$24,651.67,,,,
51,Brock Osweiler ,NE,#13,50,25,246.61,1.55,0.98,2.45,5.97,0.06,0.02,0.09,0.0,14.91,15.88,$6700,2.37,16.02,$5300,3.02,14.9,$113500,0.13,15.89,$12300,1.29,17.37,$5800,2.99,16.02,$5800,2.76,18.62,$6400,2.91,16.01,$6000,2.67,15.88,$27,588.15,,,,
52,Thomas Rawls ,PIT,#8,51,9,0.0,0.0,0.0,15.61,62.12,0.51,3.1,19.56,0.12,14.89,13.34,$6300,2.12,15.01,$4500,3.34,13.34,$106500,0.13,14.89,$12350,1.21,13.34,$4650,2.87,15.01,$4500,3.34,15.13,$7400,2.04,13.46,$5600,2.4,13.34,$14,952.86,,,,
53,Greg Olsen ,DAL,#22,52,3,0.0,0.0,0.0,0.0,0.0,0.0,5.17,64.07,0.55,14.88,12.29,$6400,1.92,14.88,$6200,2.4,12.29,$117500,0.1,14.88,$12450,1.2,12.29,$4900,2.51,14.88,$5600,2.66,14.88,$7500,1.98,12.29,$5200,2.36,12.29,$23,534.35,,,,
54,Brandin Cooks ,HOU,#11,53,16,0.0,0.0,0.02,0.07,0.18,0.0,5.34,69.31,0.45,14.85,12.2,$7300,1.67,14.94,$6400,2.33,12.18,$98200,0.12,14.87,$12650,1.18,12.18,$4950,2.46,14.94,$3200,4.67,15.01,$6800,2.21,12.27,$6000,2.05,12.2,$29,420.69,,,,
55,Josh McCown ,BAL,#15,54,26,273.24,1.33,0.94,2.3,8.07,0.04,0.0,0.0,0.0,14.78,15.72,$6300,2.5,16.04,$5000,3.21,14.78,$95000,0.16,15.72,$13050,1.2,17.51,$5400,3.24,16.04,$3000,5.35,19.09,$4500,4.24,16.04,$4800,3.34,15.72,$20,786.0,,,,
56,Kamar Aiken ,CLE,#28,55,17,0.0,0.0,0.0,0.0,0.0,0.0,5.18,72.89,0.39,14.59,12.0,$6100,1.97,14.7,$4900,3.0,12.0,$73900,0.16,14.59,$8550,1.71,12.0,$4600,2.61,14.7,$5000,2.94,14.81,$5200,2.85,12.11,$4300,2.82,12.0,$19,631.58,,,,
57,Alshon Jeffery ,GB,#21,56,18,0.0,0.0,0.0,0.0,0.0,0.0,4.95,66.75,0.47,14.45,11.97,$7600,1.58,14.45,$6600,2.19,11.97,$111200,0.11,14.45,$14900,0.97,11.97,$5400,2.22,14.45,$3000,4.82,14.45,$7600,1.9,11.97,$5300,2.26,11.97,$31,386.13,,,,
58,T.Y. Hilton ,TB,#17,56,18,0.0,0.0,0.0,0.0,0.0,0.0,4.49,68.99,0.51,14.45,12.2,$6900,1.77,14.47,$5700,2.54,12.2,$90800,0.13,14.45,$10950,1.32,12.2,$5000,2.44,14.47,$5500,2.63,14.49,$7500,1.93,12.22,$4700,2.6,12.2,$24,508.33,,,,
59,Sammy Watkins ,KC,#7,57,19,0.0,0.0,0.0,0.0,0.0,0.0,5.01,72.19,0.37,14.41,11.9,$6800,1.75,14.43,$5200,2.78,11.9,$83800,0.14,14.41,$9950,1.45,11.9,$4750,2.51,14.43,$5100,2.83,14.45,$6400,2.26,11.92,$5700,2.09,11.9,$25,476.0,,,,
60,Jeremy Maclin ,BUF,#9,58,20,0.0,0.0,0.0,0.04,0.21,0.0,5.32,66.23,0.39,14.34,11.68,$6200,1.88,14.36,$4700,3.06,11.68,$83300,0.14,14.34,$8800,1.63,11.68,$4550,2.57,14.36,$5200,2.76,14.38,$6200,2.32,11.7,$4000,2.93,11.68,$22,530.91,,,,
61,Latavius Murray ,TEN,#12,59,10,0.0,0.0,0.0,16.8,68.43,0.52,2.5,18.52,0.02,14.32,13.07,$6600,1.98,14.38,$5400,2.66,13.07,$85000,0.15,14.32,$9950,1.44,13.07,$4850,2.69,14.38,$5400,2.66,14.44,$5900,2.45,13.13,$5100,2.57,13.07,$22,594.09,,,,
62,Mike Evans ,IND,#19,60,21,0.0,0.0,0.0,0.0,0.0,0.0,4.17,65.41,0.58,14.19,12.11,$8100,1.5,14.21,$7400,1.92,12.11,$122400,0.1,14.19,$13100,1.08,12.11,$5750,2.11,14.21,$6100,2.33,14.23,$6900,2.06,12.13,$7200,1.68,12.11,$27,448.52,,,,
63,Brandon LaFell ,DEN,#2,61,22,0.0,0.0,0.0,0.0,0.0,0.0,4.72,66.48,0.48,14.07,11.71,$6900,1.7,14.16,$4300,3.29,11.71,$80800,0.14,14.07,$8450,1.67,11.71,$4700,2.49,14.16,$5200,2.72,14.25,$6400,2.23,11.8,$4700,2.51,11.71,$22,532.27,,,,
64,LeGarrette Blount ,DEN,#2,62,11,0.0,0.0,0.0,14.19,56.87,0.29,3.23,27.15,0.11,14.03,12.42,$7300,1.7,14.03,$5100,2.75,12.42,$79600,0.16,14.03,$10100,1.39,12.42,$4900,2.53,14.03,$5100,2.75,14.03,$6400,2.19,12.42,$5200,2.39,12.42,$22,564.55,,,,
65,Danny Woodhead ,JAC,#24,63,12,0.0,0.0,0.0,5.68,26.64,0.11,4.91,41.84,0.21,13.66,11.2,$6100,1.84,13.69,$5200,2.63,11.2,$74300,0.15,13.66,$10700,1.28,11.2,$4450,2.52,13.69,$5000,2.74,13.72,$6500,2.11,11.23,$4400,2.55,11.2,$24,466.67,,,,
66,Stefon Diggs ,ATL,#20,64,23,0.0,0.0,0.0,0.1,-0.02,0.0,4.28,65.34,0.48,13.65,11.51,$6600,1.74,13.69,$4800,2.85,11.51,$82900,0.14,13.65,$9450,1.44,11.51,$4800,2.4,13.69,$5000,2.74,13.73,$6100,2.25,11.55,$4800,2.41,11.51,$22,523.18,,,,
67,Jonathan Stewart ,DAL,#22,65,13,0.56,0.02,0.0,14.12,67.29,0.6,1.87,13.22,0.02,13.64,12.71,$7100,1.79,13.69,$5200,2.63,12.71,$122100,0.1,13.64,$10800,1.26,12.71,$5100,2.49,13.69,$4900,2.79,13.75,$5600,2.46,12.76,$5400,2.36,12.71,$22,577.73,,,,
68,Chris Ivory ,MIA,#27,66,14,0.63,0.02,0.0,13.09,61.61,0.5,2.28,17.38,0.08,13.58,12.44,$7000,1.78,13.69,$5800,2.36,12.44,$103400,0.12,13.58,$10050,1.35,12.45,$4900,2.54,13.69,$5900,2.32,13.81,$7400,1.87,12.55,$4500,2.79,12.44,$31,401.29,,,,
69,Matt Forte ,GB,#21,67,15,0.0,0.0,0.0,13.13,60.35,0.43,2.73,20.21,0.06,13.55,12.18,$7800,1.56,13.64,$6800,2.01,12.18,$106900,0.11,13.55,$13950,0.97,12.18,$5450,2.23,13.64,$3500,3.9,13.73,$7700,1.78,12.27,$5100,2.41,12.18,$29,420.0,,,,
70,Tyler Eifert ,STL,#1,68,4,0.0,0.0,0.0,0.0,0.0,0.0,4.98,59.96,0.42,13.5,11.01,$6200,1.78,13.5,$5800,2.33,11.01,$112700,0.1,13.5,$11200,1.21,11.01,$5100,2.16,13.5,$5000,2.7,13.5,$7700,1.75,11.01,$5100,2.16,11.01,$21,524.29,,,,
71,DeSean Jackson ,NYG,#23,69,24,0.0,0.0,0.0,0.0,0.0,0.0,4.25,64.0,0.47,13.47,11.35,$6300,1.8,13.47,$5100,2.64,11.35,$77800,0.15,13.47,$7800,1.73,11.35,$4500,2.52,13.47,$4200,3.21,13.47,$5500,2.45,11.35,$4100,2.77,11.35,$18,630.56,,,,
72,Eddie Lacy ,CHI,#25,70,16,0.0,0.0,0.0,14.5,63.44,0.46,2.3,18.47,0.05,13.47,12.32,$6500,1.9,13.53,$4700,2.88,12.32,$90200,0.14,13.47,$9550,1.41,12.32,$4800,2.57,13.53,$3300,4.1,13.59,$6500,2.09,12.38,$3500,3.54,12.32,$14,880.0,,,,
73,Jordan Matthews ,DET,#26,71,25,1.1,0.05,0.0,0.0,0.0,0.0,5.3,61.15,0.29,13.36,10.71,$6000,1.79,13.38,$5800,2.31,10.71,$86100,0.12,13.36,$10700,1.25,10.72,$4550,2.36,13.38,$4800,2.79,13.41,$6000,2.24,10.73,$4700,2.28,10.71,$23,465.65,,,,
74,Giovani Bernard ,STL,#1,72,17,0.0,0.0,0.0,11.15,46.95,0.3,3.53,26.85,0.11,13.29,11.53,$6300,1.83,13.35,$4500,2.97,11.53,$80300,0.14,13.29,$9900,1.34,11.53,$4800,2.4,13.35,$4800,2.78,13.41,$6800,1.97,11.59,$5700,2.03,11.53,$20,576.5,,,,
75,Alex Smith ,BUF,#9,73,27,197.82,1.2,0.86,4.0,18.21,0.1,0.02,0.37,0.02,13.27,14.12,$6600,2.14,14.37,$5000,2.87,13.26,$116200,0.11,14.13,$13650,1.04,15.24,$5700,2.67,14.37,$6200,2.32,16.59,$5300,3.13,14.36,$5700,2.52,14.12,$28,504.29,,,,
76,Lamar Miller ,NYJ,#5,74,18,0.0,0.0,0.0,11.24,46.98,0.16,3.95,28.42,0.16,13.25,11.28,$7200,1.57,13.37,$6100,2.19,11.28,$88400,0.13,13.25,$13950,0.95,11.28,$5000,2.26,13.37,$5800,2.31,13.49,$6700,2.01,11.4,$6700,1.7,11.28,$29,388.97,,,,
77,Javorius Allen ,CLE,#28,75,19,0.0,0.0,0.0,13.01,56.86,0.32,2.87,21.9,0.12,13.23,11.79,$6300,1.87,13.33,$4600,2.9,11.79,$94100,0.13,13.23,$8700,1.52,11.79,$4750,2.48,13.33,$3200,4.17,13.43,$6300,2.13,11.89,$4600,2.58,11.79,$17,693.53,,,,
