,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,final
244,Dexter McCluster,RB,3200,Oak@Ten 01:00PM ET,8.27,Ten,,,,,,5.8516,5.8516,5.8516,5.8516,0.0,0.0,
245,Kenny Britt,WR,3200,StL@Cin 01:00PM ET,6.11,StL,5.0,7.1,6.61,5.6,6.26,5.691,6.23014285714,7.35,5.0,2.35,0.377198413244,12.3
246,Torrey Smith,WR,3200,Ari@SF 04:05PM ET,7.62,SF,7.0,6.2,7.66,5.1,7.24,6.201,6.94871428571,9.24,5.1,4.14,0.595793672005,7.1
247,Chris Polk,RB,3200,NO@Hou 01:00PM ET,4.756,Hou,,1.7,7.06,2.3,6.9,4.525,4.31083333333,7.06,1.7,5.36,1.2433790837,3.7
248,Chris Thompson,RB,3200,NYG@Was 01:00PM ET,8.167,Was,9.0,3.1,8.25,4.0,8.93,5.6908,6.64154285714,9.0,3.1,5.9,0.888347802146,2.6
249,Chris Hogan,WR,3200,Buf@KC 01:00PM ET,7.116,Buf,6.5,2.8,6.52,2.4,5.75,5.3046,5.45637142857,8.92,2.4,6.52,1.19493331518,6.4
250,Adam Humphries,WR,3200,TB@Ind 01:00PM ET,4.543,TB,5.0,,6.99,,5.0,,6.0775,7.32,5.0,2.32,0.381735911148,4.0
251,Isaiah Crowell,RB,3200,Bal@Cle 08:30PM ET,7.52,Cle,6.0,6.4,9.32,6.6,8.36,5.396,7.19228571429,9.32,5.396,3.924,0.54558455488,
252,Packers ,DST,3100,Chi@GB 08:30PM ET,7.8,GB,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,0.0,0.0,
253,Eagles ,DST,3100,Phi@Det 12:30PM ET,9.0,Phi,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,0.0,0.0,
254,Jerricho Cotchery,WR,3100,Car@Dal 04:30PM ET,6.288,Car,4.0,4.4,7.15,4.2,6.78,4.5024,5.79034285714,9.5,4.0,5.5,0.949857398032,12.3
255,Josh Huff,WR,3100,Phi@Det 12:30PM ET,6.478,Phi,6.0,6.6,5.74,6.3,4.73,5.088,5.34971428571,6.6,2.99,3.61,0.674802392651,2.1
256,Richard Rodgers,TE,3100,Chi@GB 08:30PM ET,9.54,GB,14.0,16.4,8.07,15.2,9.13,8.28,11.3114285714,16.4,8.07,8.33,0.736423339227,7.0
257,Falcons ,DST,3100,Min@Atl 01:00PM ET,7.0,Atl,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,0.0,0.0,
258,Heath Miller,TE,3100,Pit@Sea 04:25PM ET,7.95,Pit,16.5,10.0,7.5,11.0,10.71,10.477,11.2538571429,16.5,7.5,9.0,0.799725808294,9.5
259,Harry Douglas,WR,3100,Oak@Ten 01:00PM ET,5.5,Ten,6.5,9.8,6.37,8.9,6.31,4.705,7.865,12.47,4.705,7.765,0.987285441831,11.9
260,Albert Wilson,WR,3100,Buf@KC 01:00PM ET,5.838,KC,5.0,1.8,5.92,1.9,7.72,5.205,4.79071428571,7.72,1.8,5.92,1.23572387058,6.3
261,Seth Roberts,WR,3100,Oak@Ten 01:00PM ET,5.09,Oak,,,3.3,,5.09,,5.96,9.49,3.3,6.19,1.03859060403,32.3
262,Lance Moore,WR,3000,Phi@Det 12:30PM ET,8.27,Det,4.0,1.6,5.53,1.8,6.86,4.138,4.49114285714,7.51,1.6,5.91,1.3159234048,2.4
263,Miles Austin,WR,3000,Phi@Det 12:30PM ET,3.92,Phi,,3.0,4.47,2.5,3.43,3.019,3.2838,4.47,2.5,1.97,0.599914732931,2.2
264,Tyler Clutts,RB,3000,Car@Dal 04:30PM ET,0.14,Dal,,,1.86,,,,1.86,1.86,1.86,0.0,0.0,
265,Mike Tolbert,RB,3000,Car@Dal 04:30PM ET,5.0,Car,3.0,4.2,5.09,4.7,4.92,3.451,4.05014285714,5.09,2.99,2.1,0.518500229269,1.6
266,John Kuhn,RB,3000,Chi@GB 08:30PM ET,1.26,GB,,,2.93,,,3.065,2.41166666667,3.065,1.24,1.825,0.756738078784,
267,Seyi Ajirotutu,WR,3000,Phi@Det 12:30PM ET,0.0,Phi,,,,,,1.065,1.065,1.065,1.065,0.0,0.0,1.4
268,Antone Smith,RB,3000,Chi@GB 08:30PM ET,0.275,Chi,,,,,,,,,,,,
269,Marc Mariani,WR,3000,Chi@GB 08:30PM ET,0.82,Chi,,,3.08,,4.7,,3.89,4.7,3.08,1.62,0.416452442159,6.5
270,Riley Cooper,WR,3000,Phi@Det 12:30PM ET,4.97,Phi,5.0,3.2,5.71,2.6,5.34,4.583,5.579,12.62,2.6,10.02,1.79602079226,3.6
271,Fozzy Whittaker,RB,3000,Car@Dal 04:30PM ET,1.49,Car,,3.3,2.95,3.5,2.02,1.055,2.565,3.5,1.055,2.445,0.953216374269,
272,Deonte Thompson,WR,3000,Chi@GB 08:30PM ET,0.0,Chi,,,,,,,,,,,,
273,George Winn,RB,3000,Phi@Det 12:30PM ET,0.0,Det,,,,,,,,,,,,
274,Kenjon Barner,RB,3000,Phi@Det 12:30PM ET,0.74,Phi,,,4.1,,1.78,,2.55333333333,4.1,1.78,2.32,0.90861618799,4.1
275,Brice Butler,WR,3000,Car@Dal 04:30PM ET,3.45,Dal,,,,,,,,,,,,
276,Brenton Bersin,WR,3000,Car@Dal 04:30PM ET,2.029,Car,,,,,,,,,,,,2.2
277,Brandon Wegher,RB,3000,Car@Dal 04:30PM ET,0.0,Car,,,,,,,,,,,,
278,Kevin Norwood,WR,3000,Car@Dal 04:30PM ET,0.0,Car,,,,,,,,,,,,
279,Jared Abbrederis,WR,3000,Chi@GB 08:30PM ET,1.94,GB,,,,,,,,,,,,
280,Devin Street,WR,3000,Car@Dal 04:30PM ET,1.95,Dal,,,,,2.39,4.169,2.563,4.169,1.13,3.039,1.18571985954,
281,TJ Jones,WR,3000,Phi@Det 12:30PM ET,0.16,Det,,,,,,,,,,,,
282,Rod Smith,RB,3000,Car@Dal 04:30PM ET,0.1,Dal,,,,,,,,,,,,
283,Joshua Bellamy,WR,3000,Chi@GB 08:30PM ET,3.22,Chi,,,4.62,,,1.007,2.8135,4.62,1.007,3.613,1.28416563,
284,Michael Burton,RB,3000,Phi@Det 12:30PM ET,0.31,Det,,,,,,,,,,,,
285,Corey Fuller,WR,3000,Phi@Det 12:30PM ET,0.9,Det,,,4.12,,,,2.845,4.12,1.57,2.55,0.896309314587,
286,Cameron Meredith,WR,3000,Chi@GB 08:30PM ET,2.388,Chi,,,3.22,,,,3.22,3.22,3.22,0.0,0.0,
287,Corey Brown,WR,3000,Car@Dal 04:30PM ET,6.8,Car,,,5.68,,,,5.68,5.68,5.68,0.0,0.0,
288,Ka'Deem Carey,RB,3000,Chi@GB 08:30PM ET,1.767,Chi,,,,,,,,,,,,
289,Ty Montgomery,WR,3000,Chi@GB 08:30PM ET,7.0,GB,,,,,,,,,,,,
290,Alonzo Harris,RB,3000,Chi@GB 08:30PM ET,0.317,GB,,,,,,,,,,,,
291,Aaron Ripkowski,RB,3000,Chi@GB 08:30PM ET,0.28,GB,,,,,,,,,,,,
292,Trey Williams,RB,3000,Car@Dal 04:30PM ET,0.0,Dal,,,,,,,,,,,,
293,Cameron Artis-Payne,RB,3000,Car@Dal 04:30PM ET,0.775,Car,,,,,,,,,,,,
294,Lucky Whitehead,WR,3000,Car@Dal 04:30PM ET,0.8,Dal,,,,,,,,,,,,
295,Jeff Janis,WR,3000,Chi@GB 08:30PM ET,0.99,GB,,2.0,3.6,2.0,2.04,1.013,2.2605,3.6,1.013,2.587,1.14443707144,
296,Bengals ,DST,3000,StL@Cin 01:00PM ET,7.6,Cin,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,0.0,0.0,
297,Steelers ,DST,3000,Pit@Sea 04:25PM ET,8.5,Pit,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,0.0,0.0,
298,Greg Jennings,WR,3000,Mia@NYJ 01:00PM ET,2.23,Mia,,6.8,2.77,7.4,2.76,1.724,4.04233333333,7.4,1.724,5.676,1.40413952338,8.9
299,Jason Avant,WR,3000,Buf@KC 01:00PM ET,2.02,KC,,,4.26,,5.22,3.422,4.30066666667,5.22,3.422,1.798,0.418074717098,
300,Vernon Davis,TE,3000,NE@Den 08:30PM ET,6.011,Den,6.0,6.8,7.65,6.4,8.81,7.821,6.60442857143,8.81,2.75,6.06,0.917566135277,3.0
301,Andre Caldwell,WR,3000,NE@Den 08:30PM ET,2.04,Den,,5.8,2.39,5.9,1.46,3.052,3.747,5.9,1.46,4.44,1.18494795837,8.8
302,Dwayne Bowe,WR,3000,Bal@Cle 08:30PM ET,1.525,Cle,2.5,1.4,10.93,1.7,6.07,,4.475,10.93,1.4,9.53,2.12960893855,
303,Eric Weems,WR,3000,Min@Atl 01:00PM ET,0.21,Atl,,,,,,1.019,1.019,1.019,1.019,0.0,0.0,
304,Matthew Slater,WR,3000,NE@Den 08:30PM ET,0.0,NE,,,,,1.14,,1.455,1.77,1.14,0.63,0.432989690722,
305,Wes Welker,WR,3000,StL@Cin 01:00PM ET,4.75,StL,4.0,,5.23,,6.45,6.432,6.3884,9.83,4.0,5.83,0.912591572225,3.2
306,Jerome Felton,RB,3000,Buf@KC 01:00PM ET,0.02,Buf,,,1.09,,,,1.09,1.09,1.09,0.0,0.0,2.2
307,Tim Hightower,RB,3000,NO@Hou 01:00PM ET,2.3,NO,,,,,3.15,1.05,2.1,3.15,1.05,2.1,1.0,
308,Cedric Peerman,RB,3000,StL@Cin 01:00PM ET,0.0,Cin,,,,,,1.637,1.637,1.637,1.637,0.0,0.0,
309,Jerome Simpson,WR,3000,Ari@SF 04:05PM ET,3.2,SF,,,4.18,,,,4.18,4.18,4.18,0.0,0.0,
310,Darrius Heyward-Bey,WR,3000,Pit@Sea 04:25PM ET,4.99,Pit,,8.8,4.66,7.4,2.57,,5.14,8.8,2.27,6.53,1.27042801556,
311,Marlon Moore,WR,3000,Bal@Cle 08:30PM ET,0.278,Cle,,,,,1.14,1.0678,1.1039,1.14,1.0678,0.0722,0.065404475043,8.0
312,Brandon Tate,WR,3000,StL@Cin 01:00PM ET,1.39,Cin,,,,,,4.3606,3.0803,4.3606,1.8,2.5606,0.831282667273,
313,Darrel Young,RB,3000,NYG@Was 01:00PM ET,0.47,Was,,,2.31,,,,2.31,2.31,2.31,0.0,0.0,
314,Donald Brown,RB,3000,SD@Jax 01:00PM ET,0.325,SD,,,3.43,,,,3.43,3.43,3.43,0.0,0.0,
315,Jorvorskie Lane,RB,3000,TB@Ind 01:00PM ET,0.33,TB,,,,,,,,,,,,
316,Jordan Norwood,WR,3000,NE@Den 08:30PM ET,2.971,Den,,4.0,2.82,4.0,,,3.60666666667,4.0,2.82,1.18,0.327171903882,
317,Hakeem Nicks,WR,3000,NYG@Was 01:00PM ET,0.0,NYG,,,,,,3.771,4.4605,5.15,3.771,1.379,0.309158166125,1.4
318,Bruce Miller,RB,3000,Ari@SF 04:05PM ET,1.83,SF,,,2.89,,1.12,1.501,1.63275,2.89,1.02,1.87,1.1453069974,
319,Bryan Walters,WR,3000,SD@Jax 01:00PM ET,7.733,Jax,4.5,4.2,6.33,4.1,5.11,1.052,4.76457142857,8.06,1.052,7.008,1.47085632046,1.4
320,Andre Roberts,WR,3000,NYG@Was 01:00PM ET,3.813,Was,,5.9,,5.0,,,4.61333333333,5.9,2.94,2.96,0.64161849711,
321,Jacoby Jones,WR,3000,Pit@Sea 04:25PM ET,0.0,Pit,,,,,,,,,,,,
322,Fred Jackson,RB,3000,Pit@Sea 04:25PM ET,4.68,Sea,3.0,2.6,5.68,2.7,6.44,1.441,3.78728571429,6.44,1.441,4.999,1.31994266531,3.1
323,Boobie Dixon,RB,3000,Buf@KC 01:00PM ET,1.69,Buf,,,,,,,,,,,,
324,Toby Gerhart,RB,3000,SD@Jax 01:00PM ET,1.617,Jax,,3.4,,3.7,,,3.55,3.7,3.4,0.3,0.0845070422535,
325,Chase Reynolds,RB,3000,StL@Cin 01:00PM ET,0.0,StL,,,,,,,,,,,,
326,C.J. Spiller,RB,3000,NO@Hou 01:00PM ET,7.756,NO,7.0,15.2,8.76,14.8,8.6,3.854,9.11485714286,15.2,3.854,11.346,1.24478089148,2.6
327,Joseph Morgan,WR,3000,Bal@Cle 08:30PM ET,0.0,Bal,,,,,,,,,,,,
328,Marcus Easley,WR,3000,Buf@KC 01:00PM ET,1.422,Buf,,,,,,,,,,,,
329,Stevan Ridley,RB,3000,Mia@NYJ 01:00PM ET,0.133,NYJ,1.5,3.9,3.96,4.5,3.22,,3.416,4.5,1.5,3.0,0.878220140515,
330,Matt Asiata,RB,3000,Min@Atl 01:00PM ET,2.77,Min,,3.3,3.06,3.6,3.24,1.344,2.9088,3.6,1.344,2.256,0.775577557756,5.0
331,Taiwan Jones,RB,3000,Oak@Ten 01:00PM ET,3.513,Oak,,,4.56,,,4.047,4.3035,4.56,4.047,0.513,0.119205298013,
332,Charles Johnson,WR,3000,Min@Atl 01:00PM ET,2.713,Min,5.0,7.3,4.93,6.7,1.17,3.494,4.50485714286,7.3,1.17,6.13,1.36075347244,
333,Brian Quick,WR,3000,StL@Cin 01:00PM ET,1.3,StL,5.5,6.2,3.65,6.1,2.74,5.438,4.724,6.2,2.74,3.46,0.732430143946,2.8
334,Daniel Herron,RB,3000,Buf@KC 01:00PM ET,2.175,Buf,,,,,,,,,,,,
335,Denarius Moore,WR,3000,Buf@KC 01:00PM ET,-0.167,Buf,,,,,,,,,,,,
336,Dontrelle Inman,WR,3000,SD@Jax 01:00PM ET,4.678,SD,6.5,3.4,5.71,3.7,8.04,5.146,6.30657142857,11.65,3.4,8.25,1.30815928963,17.5
337,Coby Fleener,TE,3000,TB@Ind 01:00PM ET,8.25,Ind,6.5,14.0,9.6,14.0,11.11,6.187,10.391,14.0,6.187,7.813,0.751900683284,5.7
338,Joe Banyard,RB,3000,SD@Jax 01:00PM ET,0.0,Jax,,,,,,,,,,,,
339,Jeremy Kerley,WR,3000,Mia@NYJ 01:00PM ET,4.32,NYJ,6.0,8.4,5.51,8.3,,4.835,6.58416666667,8.4,4.835,3.565,0.54145044931,
340,Travaris Cadet,RB,3000,Ari@SF 04:05PM ET,0.6,SF,,,,,3.92,,3.92,3.92,3.92,0.0,0.0,
341,Anthony Sherman,RB,3000,Buf@KC 01:00PM ET,0.33,KC,,,1.68,,,,1.68,1.68,1.68,0.0,0.0,
342,Will Tukuafu,RB,3000,Pit@Sea 04:25PM ET,0.775,Sea,,,,,,,,,,,,
343,Will Johnson,RB,3000,Pit@Sea 04:25PM ET,0.67,Pit,,,2.72,,,,2.72,2.72,2.72,0.0,0.0,3.6
344,Bobby Rainey,RB,3000,TB@Ind 01:00PM ET,0.64,TB,,5.0,,5.4,,1.287,3.89566666667,5.4,1.287,4.113,1.05578848293,
345,Roy Helu Jr.,RB,3000,Oak@Ten 01:00PM ET,3.133,Oak,,7.1,6.17,7.8,,,7.02333333333,7.8,6.17,1.63,0.232083531087,
346,Patrick DiMarco,RB,3000,Min@Atl 01:00PM ET,2.7,Atl,,,2.99,,1.88,,2.45,2.99,1.88,1.11,0.45306122449,
347,Isaiah Pead,RB,3000,Pit@Sea 04:25PM ET,-0.35,Pit,,,,,,,,,,,,
348,Zach Line,RB,3000,Min@Atl 01:00PM ET,2.13,Min,,,3.11,,,,3.11,3.11,3.11,0.0,0.0,1.8
349,Griff Whalen,WR,3000,TB@Ind 01:00PM ET,3.87,Ind,,,6.0,,6.19,2.99,5.2375,6.19,2.99,3.2,0.610978520286,
350,Derrick Coleman,RB,3000,Pit@Sea 04:25PM ET,0.15,Sea,,,1.09,,,,1.09,1.09,1.09,0.0,0.0,
351,Jonathan Grimes,RB,3000,NO@Hou 01:00PM ET,5.088,Hou,4.0,,8.78,,9.27,1.946,6.5272,9.27,1.946,7.324,1.12207378355,4.3
352,Jaron Brown,WR,3000,Ari@SF 04:05PM ET,2.78,Ari,4.0,,4.23,,,,4.115,4.23,4.0,0.23,0.0558930741191,
353,T.J. Graham,WR,3000,NO@Hou 01:00PM ET,2.25,NO,,,,,,1.211,1.211,1.211,1.211,0.0,0.0,
354,Glenn Winston,RB,3000,Bal@Cle 08:30PM ET,0.0,Cle,,,,,,,,,,,,
355,Keshawn Martin,WR,3000,NE@Den 08:30PM ET,7.167,NE,6.5,,7.77,,10.42,5.73,7.322,10.42,5.73,4.69,0.640535372849,1.8
356,Myles White,WR,3000,NYG@Was 01:00PM ET,1.15,NYG,,,,,2.98,,2.98,2.98,2.98,0.0,0.0,
357,Jordan Todman,RB,3000,Pit@Sea 04:25PM ET,0.22,Pit,,,3.39,,2.2,1.027,2.14425,3.39,1.027,2.363,1.10201702227,
358,Jarius Wright,WR,3000,Min@Atl 01:00PM ET,4.43,Min,6.0,7.9,5.5,7.3,4.8,4.056,6.57371428571,10.46,4.056,6.404,0.974182892907,3.3
359,Brandon Bolden,RB,3000,NE@Den 08:30PM ET,1.967,NE,3.0,2.6,2.39,3.1,2.5,1.283,2.689,3.95,1.283,2.667,0.991818519896,19.5
360,Ladarius Green,TE,3000,SD@Jax 01:00PM ET,11.038,SD,4.5,14.4,7.31,14.2,6.24,4.972,8.52028571429,14.4,4.5,9.9,1.1619328661,2.9
361,Russell Shepard,WR,3000,TB@Ind 01:00PM ET,1.286,TB,,,,,,,2.25,2.25,2.25,0.0,0.0,
362,Mohamed Sanu,WR,3000,StL@Cin 01:00PM ET,6.6,Cin,6.0,13.8,6.44,13.1,5.61,5.396,8.28657142857,13.8,5.396,8.404,1.01417094783,1.8
363,Zurlon Tipton,RB,3000,TB@Ind 01:00PM ET,0.129,Ind,,,,,,,,,,,,
364,Tommy Bohanon,RB,3000,Mia@NYJ 01:00PM ET,0.86,NYJ,,,1.81,,,,1.81,1.81,1.81,0.0,0.0,
365,Ryan Grant,WR,3000,NYG@Was 01:00PM ET,4.24,Was,,,,1.7,,4.296,2.998,4.296,1.7,2.596,0.865910607071,2.9
366,Markus Wheaton,WR,3000,Pit@Sea 04:25PM ET,5.13,Pit,3.0,3.5,5.07,2.8,5.66,3.956,5.03228571429,11.24,2.8,8.44,1.67717027196,38.1
367,Rex Burkhead,RB,3000,StL@Cin 01:00PM ET,1.11,Cin,,,,,,,1.09,1.09,1.09,0.0,0.0,2.8
368,Benny Cunningham,RB,3000,StL@Cin 01:00PM ET,4.37,StL,4.0,5.1,4.07,5.2,1.21,1.449,3.50483333333,5.2,1.21,3.99,1.1384278853,2.7
369,Kendall Gaskins,RB,3000,Ari@SF 04:05PM ET,2.1,SF,2.0,,4.71,,,,3.20666666667,4.71,2.0,2.71,0.845114345114,
370,Nikita Whitlock,RB,3000,NYG@Was 01:00PM ET,0.0,NYG,,,,,,,,,,,,
371,Stepfan Taylor,RB,3000,Ari@SF 04:05PM ET,0.25,Ari,,2.1,,2.5,,,2.3,2.5,2.1,0.4,0.173913043478,
372,Rico Richardson,WR,3000,Oak@Ten 01:00PM ET,0.0,Ten,,,,,,,1.05,1.05,1.05,0.0,0.0,
373,Denard Robinson,RB,3000,SD@Jax 01:00PM ET,2.457,Jax,3.0,5.5,5.54,5.6,4.02,2.543,5.05757142857,9.2,2.543,6.657,1.31624438607,4.2
374,Bennie Fowler,WR,3000,NE@Den 08:30PM ET,2.87,Den,3.0,,1.36,,,5.192,3.184,5.192,1.36,3.832,1.20351758794,
375,Nick Williams,WR,3000,Min@Atl 01:00PM ET,2.35,Atl,,,,,1.8,2.914,2.357,2.914,1.8,1.114,0.472634705134,10.6
376,Aaron Dobson,WR,3000,NE@Den 08:30PM ET,3.388,NE,,,,,,,,,,,,
377,Bernard Pierce,RB,3000,SD@Jax 01:00PM ET,0.686,Jax,,,,,,,,,,,,
378,Quincy Enunwa,WR,3000,Mia@NYJ 01:00PM ET,3.6,NYJ,,,,,4.88,,4.0,4.88,3.12,1.76,0.44,4.9
379,Jay Prosch,RB,3000,NO@Hou 01:00PM ET,0.31,Hou,,,,,,,,,,,,
380,Jalston Fowler,RB,3000,Oak@Ten 01:00PM ET,1.37,Ten,,,1.59,,,,1.59,1.59,1.59,0.0,0.0,7.2
381,Kenbrell Thompkins,WR,3000,Mia@NYJ 01:00PM ET,6.6,NYJ,,,2.87,,,,2.87,2.87,2.87,0.0,0.0,
382,Orleans Darkwa,RB,3000,NYG@Was 01:00PM ET,1.69,NYG,,1.7,5.62,1.6,2.75,4.715,3.2475,5.62,1.6,4.02,1.23787528868,
383,Roosevelt Nix,RB,3000,Pit@Sea 04:25PM ET,0.2,Pit,,,,,,,,,,,,
384,Rod Streater,WR,3000,Oak@Ten 01:00PM ET,1.8,Oak,,3.6,,2.8,,,3.2,3.6,2.8,0.8,0.25,
385,Marcus Murphy,RB,3000,NO@Hou 01:00PM ET,0.5,NO,,,,,,,,,,,,
386,Andre Williams,RB,3000,NYG@Was 01:00PM ET,2.76,NYG,,3.2,5.42,3.8,2.78,2.73,3.70833333333,5.42,2.73,2.69,0.725393258427,
387,Neal Sterling,WR,3000,SD@Jax 01:00PM ET,0.0,Jax,,,,,,,,,,,,
388,Javontee Herndon,WR,3000,SD@Jax 01:00PM ET,4.95,SD,,,4.32,,2.78,2.989,5.02725,10.02,2.78,7.24,1.44015117609,
389,Malcolm Johnson,RB,3000,Bal@Cle 08:30PM ET,0.44,Cle,,,,,,1.154,1.154,1.154,1.154,0.0,0.0,
390,Andrew Turzilli,WR,3000,Oak@Ten 01:00PM ET,0.0,Ten,,,,,,,,,,,,
391,Juwan Thompson,RB,3000,NE@Den 08:30PM ET,0.4,Den,,,,,,,,,,,,
392,James White,RB,3000,NE@Den 08:30PM ET,4.3,NE,7.5,5.8,10.6,6.7,6.88,4.222,6.95033333333,10.6,4.222,6.378,0.917653829553,2.6
393,Brandon Coleman,WR,3000,NO@Hou 01:00PM ET,4.23,NO,,6.8,4.24,6.4,3.21,3.713,4.42216666667,6.8,2.17,4.63,1.04699807787,
394,DeAndrew White,WR,3000,Ari@SF 04:05PM ET,0.95,SF,,,,,,1.015,1.015,1.015,1.015,0.0,0.0,
395,Kaelin Clay,WR,3000,Bal@Cle 08:30PM ET,0.0,Bal,,,,,,,,,,,,
396,Matt Hazel,WR,3000,Mia@NYJ 01:00PM ET,0.0,Mia,,,,,,,,,,,,
397,Keith Mumphery,WR,3000,NO@Hou 01:00PM ET,2.69,Hou,,3.4,,3.7,,3.413,3.28575,3.7,2.63,1.07,0.325648634254,
398,Justin Hardy,WR,3000,Min@Atl 01:00PM ET,3.833,Atl,5.0,1.6,7.41,1.8,6.44,12.62,5.45428571429,12.62,1.6,11.02,2.02042954426,4.1
399,J.J. Nelson,WR,3000,Ari@SF 04:05PM ET,7.24,Ari,4.0,1.6,3.69,1.8,3.56,1.14,2.99,5.14,1.14,4.0,1.33779264214,7.3
400,Kevin Smith,WR,3000,Pit@Sea 04:25PM ET,0.0,Sea,,,,,1.39,,1.39,1.39,1.39,0.0,0.0,3.1
401,Andre Holmes,WR,3000,Oak@Ten 01:00PM ET,4.51,Oak,4.0,3.2,5.31,2.6,2.71,3.131,3.67014285714,5.31,2.6,2.71,0.738390876182,1.9
402,Geremy Davis,WR,3000,NYG@Was 01:00PM ET,0.41,NYG,,,,,,,,,,,,
403,Jamize Olawale,RB,3000,Oak@Ten 01:00PM ET,3.45,Oak,,,2.79,,4.26,,3.3,4.26,2.79,1.47,0.445454545455,1.7
404,Paul Richardson,WR,3000,Pit@Sea 04:25PM ET,5.0,Sea,,,,,,,,,,,,
405,Jerick McKinnon,RB,3000,Min@Atl 01:00PM ET,2.28,Min,2.5,3.3,2.1,3.4,2.74,1.3844,2.80205714286,4.19,1.3844,2.8056,1.00126437719,3.3
406,Chris Conley,WR,3000,Buf@KC 01:00PM ET,3.87,KC,4.0,1.4,2.5,1.7,3.66,2.9436,2.72908571429,4.0,1.4,2.6,0.952700014657,
407,Quinton Patton,WR,3000,Ari@SF 04:05PM ET,4.99,SF,,,3.63,,5.11,3.266,4.0165,5.11,3.266,1.844,0.459106186979,1.6
408,Quan Bray,WR,3000,TB@Ind 01:00PM ET,0.0,Ind,,,,,,,,,,,,
409,Tre Mason,RB,3000,StL@Cin 01:00PM ET,3.086,StL,1.5,4.1,2.25,4.4,3.74,2.771,3.28014285714,4.4,1.5,2.9,0.884107835025,10.5
410,Sammie Coates,WR,3000,Pit@Sea 04:25PM ET,0.3,Pit,,1.6,,1.8,,1.389,1.59633333333,1.8,1.389,0.411,0.257465024013,
411,Tre McBride,WR,3000,Oak@Ten 01:00PM ET,0.0,Ten,,,,,,,,,,,,
412,Phillip Dorsett,WR,3000,TB@Ind 01:00PM ET,4.729,Ind,,,,,,,,,,,,
413,Rashad Ross,WR,3000,NYG@Was 01:00PM ET,2.657,Was,,,,,,,,,,,,
414,Marqise Lee,WR,3000,SD@Jax 01:00PM ET,2.575,Jax,5.0,9.5,5.09,8.8,3.13,,6.304,9.5,3.13,6.37,1.01046954315,2.3
415,DeVante Parker,WR,3000,Mia@NYJ 01:00PM ET,0.989,Mia,,3.0,,2.5,,2.722,2.74066666667,3.0,2.5,0.5,0.182437363172,18.0
416,Bruce Ellington,WR,3000,Ari@SF 04:05PM ET,2.014,SF,,2.7,2.94,2.4,3.87,,2.702,3.87,1.6,2.27,0.840118430792,
417,Tyler Lockett,WR,3000,Pit@Sea 04:25PM ET,8.54,Sea,7.0,3.5,8.59,3.8,8.64,5.8,6.44428571429,8.64,3.5,5.14,0.797605852361,6.8
418,Bradley Marquez,WR,3000,StL@Cin 01:00PM ET,0.67,StL,,,3.03,,,,3.03,3.03,3.03,0.0,0.0,4.3
419,Rashad Greene,WR,3000,SD@Jax 01:00PM ET,6.567,Jax,,,,,2.44,,2.65,2.86,2.44,0.42,0.158490566038,4.7
420,Devin Smith,WR,3000,Mia@NYJ 01:00PM ET,2.029,NYJ,,3.2,3.08,2.6,4.92,,3.45,4.92,2.6,2.32,0.672463768116,11.3
421,Akeem Hunt,RB,3000,NO@Hou 01:00PM ET,0.4,Hou,,,,,,,,,,,,3.5
422,Raheem Mostert,RB,3000,Bal@Cle 08:30PM ET,0.0,Bal,,,3.39,,2.3,1.044,2.536,3.41,1.044,2.366,0.932965299685,
423,Jeremy Butler,WR,3000,Bal@Cle 08:30PM ET,5.8,Bal,,,5.81,,7.17,,6.25333333333,7.17,5.78,1.39,0.222281449893,5.7
424,De'Anthony Thomas,WR,3000,Buf@KC 01:00PM ET,4.54,KC,,,,,,,,,,,,
425,Bishop Sankey,RB,3000,Oak@Ten 01:00PM ET,5.363,Ten,,1.8,,2.5,2.86,2.546,2.2592,2.86,1.59,1.27,0.562145892351,
426,Cody Latimer,WR,3000,NE@Den 08:30PM ET,1.856,Den,,1.6,4.86,1.8,3.11,,3.142,4.86,1.6,3.26,1.03755569701,1.7
427,Brittan Golden,WR,3000,Ari@SF 04:05PM ET,0.0,Ari,,,,,,,,,,,,
428,Tyrell Williams,WR,3000,SD@Jax 01:00PM ET,0.0,SD,,,,,,,1.73,1.73,1.73,0.0,0.0,
429,Cordarrelle Patterson,WR,3000,Min@Atl 01:00PM ET,1.05,Min,,6.1,,5.6,,,5.85,6.1,5.6,0.5,0.0854700854701,
430,Chris Harper,WR,3000,NE@Den 08:30PM ET,0.0,NE,4.5,,3.47,,9.68,6.912,6.1405,9.68,3.47,6.21,1.01131829656,
431,Damien Williams,RB,3000,Mia@NYJ 01:00PM ET,2.1,Mia,,1.9,,2.4,,,2.15,2.4,1.9,0.5,0.232558139535,3.0
432,Jaelen Strong,WR,3000,NO@Hou 01:00PM ET,4.16,Hou,,8.0,4.34,7.0,,2.894,5.5585,8.0,2.894,5.106,0.918593145633,
