,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,final
512,Jerome Cunningham,TE,2500,NYG@Was 01:00PM ET,2.3,NYG,,,,,2.79,,4.4,6.01,2.79,3.22,0.731818181818,
513,Nic Jacobs,TE,2500,SD@Jax 01:00PM ET,0.178,Jax,,,,,,,,,,,,
514,Brandon Williams,TE,2500,Mia@NYJ 01:00PM ET,0.0,Mia,,,,,,,,,,,,
515,Cooper Helfet,TE,2500,Pit@Sea 04:25PM ET,0.213,Sea,,,,,,,,,,,,
516,Blake Bell,TE,2500,Ari@SF 04:05PM ET,0.588,SF,,,,,,,,,,,,9.7
517,MyCole Pruitt,TE,2500,Min@Atl 01:00PM ET,1.19,Min,,1.4,,1.7,1.86,,1.65333333333,1.86,1.4,0.46,0.278225806452,
518,Cameron Brate,TE,2500,TB@Ind 01:00PM ET,4.263,TB,,,3.67,,3.85,4.688,3.907,4.688,3.42,1.268,0.324545687228,16.3
519,Will Tye,TE,2500,NYG@Was 01:00PM ET,4.171,NYG,4.0,,7.19,,7.07,4.408,5.667,7.19,4.0,3.19,0.562908064232,13.4
520,Chase Ford,TE,2500,Bal@Cle 08:30PM ET,0.0,Bal,,,,,,1.112,1.112,1.112,1.112,0.0,0.0,
521,Clive Walford,TE,2500,Oak@Ten 01:00PM ET,4.37,Oak,2.0,1.4,4.22,1.7,5.78,3.458,3.17828571429,5.78,1.4,4.38,1.37810140237,2.4
522,C.J. Fiedorowicz,TE,2500,NO@Hou 01:00PM ET,2.79,Hou,,3.8,4.63,3.9,1.93,1.907,3.14283333333,4.63,1.907,2.723,0.866415654664,4.0
523,Brian Parker,TE,2500,Buf@KC 01:00PM ET,0.533,KC,,,,,,,,,,,,
524,Tyler Kroft,TE,2500,StL@Cin 01:00PM ET,0.0,Cin,,1.4,,1.7,,,1.55,1.7,1.4,0.3,0.193548387097,
525,C.J. Uzomah,TE,2500,StL@Cin 01:00PM ET,0.0,Cin,,,,,,,,,,,,
526,Austin Seferian-Jenkins,TE,2500,TB@Ind 01:00PM ET,17.95,TB,,17.4,,16.7,,,13.8133333333,17.4,7.34,10.06,0.728281853282,
527,Demetrius Harris,TE,2500,Buf@KC 01:00PM ET,0.81,KC,,,,,1.31,,1.31,1.31,1.31,0.0,0.0,
528,Nick Boyle,TE,2500,Bal@Cle 08:30PM ET,3.2,Bal,,2.6,4.28,2.3,1.74,,2.73,4.28,1.74,2.54,0.930402930403,2.0
529,Troy Niklas,TE,2500,Ari@SF 04:05PM ET,1.75,Ari,,,,,,3.549,3.549,3.549,3.549,0.0,0.0,
530,Phillip Supernaw,TE,2500,Oak@Ten 01:00PM ET,0.26,Ten,,,,,,,,,,,,
531,Maxx Williams,TE,2500,Bal@Cle 08:30PM ET,4.644,Bal,4.0,6.2,4.98,6.1,4.59,3.151,4.64442857143,6.2,3.151,3.049,0.656485497216,
532,Jesse James,TE,2500,Pit@Sea 04:25PM ET,5.25,Pit,,,,,,,,,,,,3.8
533,Derek Carrier,TE,2500,NYG@Was 01:00PM ET,3.38,Was,,2.6,4.24,3.3,3.34,3.961,3.4882,4.24,2.6,1.64,0.470156527722,1.6
534,E.J. Bibbs,TE,2500,Bal@Cle 08:30PM ET,0.0,Cle,,,,,,,,,,,,
535,Raiders ,DST,2400,Oak@Ten 01:00PM ET,5.6,Oak,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,0.0,0.0,
536,Giants ,DST,2400,NYG@Was 01:00PM ET,9.4,NYG,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,0.0,0.0,
537,Vikings ,DST,2300,Min@Atl 01:00PM ET,7.5,Min,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,0.0,0.0,
538,Saints ,DST,2300,NO@Hou 01:00PM ET,4.9,NO,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,0.0,0.0,
539,Chargers ,DST,2300,SD@Jax 01:00PM ET,3.9,SD,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,
540,Lions ,DST,2200,Phi@Det 12:30PM ET,6.0,Det,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,0.0,0.0,
541,Titans ,DST,2200,Oak@Ten 01:00PM ET,6.9,Ten,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,0.0,0.0,
542,Cowboys ,DST,2100,Car@Dal 04:30PM ET,5.8,Dal,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,0.0,0.0,
543,Bears ,DST,2000,Chi@GB 08:30PM ET,4.9,Chi,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,0.0,0.0,
544,Browns ,DST,2000,Bal@Cle 08:30PM ET,5.7,Cle,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,0.0,0.0,
545,Colts ,DST,2000,TB@Ind 01:00PM ET,6.7,Ind,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0.0,0.0,
546,49ers ,DST,2000,Ari@SF 04:05PM ET,4.2,SF,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,
547,Redskins ,DST,2000,NYG@Was 01:00PM ET,7.5,Was,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,0.0,0.0,
