,Id,Name,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,final
22,14225,Andy Dalton,QB,7900,STL@CIN,20.5,CIN,20.7,17.6,18.49,18.6,18.688,18.9014,18.8304857143,20.7,17.6,3.1,0.164626661629,20.72
23,28643,Allen Robinson,WR,7900,SD@JAC,15.4,JAC,20.0,17.8,15.21,16.9,17.13,11.205,15.9878571429,20.0,11.205,8.795,0.550104990394,11.85
24,6899,Matt Forte,RB,7800,CHI@GB,15.3,CHI,19.0,16.3,10.82,16.7,14.0,11.1325,15.2117857143,19.0,10.82,8.18,0.537740943347,5.35
25,6589,Ben Roethlisberger,QB,7800,PIT@SEA,18.0,PIT,19.7,17.84,12.59,18.84,17.45,18.3427,17.8389571429,20.11,12.59,7.52,0.421549305813,24.04
26,6759,Brandon Marshall,WR,7800,MIA@NYJ,14.9,NYJ,13.5,19.6,16.39,18.8,15.43,12.082,15.9817142857,19.6,12.082,7.518,0.470412614416,25.55
27,14254,DeMarco Murray,RB,7700,PHI@DET,14.3,PHI,21.0,14.6,17.18,15.2,19.36,13.2905,17.4172142857,21.29,13.2905,7.9995,0.459286994394,3.0
28,11432,Demaryius Thomas,WR,7700,NE@DEN,13.3,DEN,20.5,29.4,16.71,26.2,16.36,10.6111,18.8658714286,29.4,10.6111,18.7889,0.995920070331,3.65
29,6826,Eli Manning,QB,7700,NYG@WAS,18.8,NYG,18.6,17.54,19.27,18.54,17.772,18.5996,18.3862285714,19.27,17.54,1.73,0.0940921621462,17.84
30,21980,Alshon Jeffery,WR,7600,CHI@GB,16.3,CHI,19.5,22.6,13.22,20.4,19.1,9.7425,16.8603571429,22.6,9.7425,12.8575,0.762587642187,9.35
31,22015,Russell Wilson,QB,7600,PIT@SEA,17.5,SEA,20.7,19.5,19.21,20.5,18.918,17.2222,19.6048857143,21.184,17.2222,3.9618,0.202082279782,35.2
32,6779,LeSean McCoy,RB,7600,BUF@KC,14.9,BUF,19.5,14.9,14.12,14.7,17.45,10.783,15.6661428571,19.5,10.783,8.717,0.556422859123,14.25
33,21970,Doug Martin,RB,7500,TB@IND,14.3,TB,19.5,13.6,12.84,13.7,14.53,15.202,14.7974285714,19.5,12.84,6.66,0.450078198915,9.85
34,11505,Emmanuel Sanders,WR,7500,NE@DEN,12.3,DEN,9.5,23.6,15.01,20.9,14.26,9.069,14.627,23.6,9.069,14.531,0.993436794968,11.6
35,14257,Randall Cobb,WR,7400,CHI@GB,11.7,GB,17.5,25.7,15.82,23.2,14.28,11.0145,17.6920714286,25.7,11.0145,14.6855,0.830061084667,7.7
36,14211,Mark Ingram,RB,7400,NO@HOU,14.8,NO,18.5,12.5,15.48,13.8,18.25,13.1275,15.3725,18.5,12.5,6.0,0.390307367052,10.0
37,45859,Derek Carr,QB,7400,OAK@TEN,18.2,OAK,18.3,17.82,15.64,18.82,17.69,18.1014,17.7853428571,18.82,15.64,3.18,0.178798914676,23.7
38,45859,Derek Carr,QB,7400,OAK@TEN,18.2,OAK,18.3,17.82,15.64,18.82,17.69,18.1014,15.6573428571,18.82,3.23,15.59,0.99569896005,23.7
