Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
30968,RB,Eddie,Lacy,7.3,9,6500,CHI@GB,GB,CHI,P,Ankle
6422,TE,Gary,Barnidge,13.3,10,6500,BAL@CLE,CLE,BAL,,
33259,QB,Teddy,Bridgewater,13.6,10,6500,MIN@ATL,MIN,ATL,,
31397,RB,Jeremy,Hill,9.4,10,6500,STL@CIN,CIN,STL,,
31061,RB,T.J.,Yeldon,11,9,6500,SD@JAC,JAC,SD,,
9392,WR,Michael,Crabtree,12.8,10,6500,OAK@TEN,OAK,TEN,,
6914,TE,Greg,Olsen,13.2,10,6400,CAR@DAL,CAR,DAL,,
21952,WR,Michael,Floyd,9.6,9,6400,ARI@SF,ARI,SF,Q,Hamstring
7953,WR,Vincent,Jackson,10,7,6400,TB@IND,TB,IND,,
6840,RB,Frank,Gore,11.2,10,6400,TB@IND,IND,TB,Q,Knee
6831,QB,Matt,Hasselbeck,15.6,3,6400,TB@IND,IND,TB,,
11485,WR,Golden,Tate,8.3,10,6300,PHI@DET,DET,PHI,,
22003,RB,Ronnie,Hillman,9,10,6300,NE@DEN,DEN,NE,,
29645,RB,Javorius,Allen,4.2,10,6300,BAL@CLE,BAL,CLE,,
25290,RB,Giovani,Bernard,11.8,10,6300,STL@CIN,CIN,STL,,
44449,WR,Willie,Snead,9.9,10,6300,NO@HOU,NO,HOU,,
6803,QB,Josh,McCown,16.9,7,6300,BAL@CLE,CLE,BAL,P,Ribs
28095,RB,Thomas,Rawls,8.7,10,6300,PIT@SEA,SEA,PIT,,
22027,QB,Nick,Foles,10.3,9,6300,STL@CIN,STL,CIN,,
6739,WR,DeSean,Jackson,6.4,4,6300,NYG@WAS,WAS,NYG,,
28202,RB,Jeremy,Langford,9.3,10,6200,CHI@GB,CHI,GB,,
7283,WR,Jeremy,Maclin,10.8,9,6200,BUF@KC,KC,BUF,,
33557,TE,Tyler,Eifert,13.6,10,6200,STL@CIN,CIN,STL,,
27776,RB,Tevin,Coleman,3.3,8,6200,MIN@ATL,ATL,MIN,,
22163,WR,Rishard,Matthews,11.2,10,6200,MIA@NYJ,MIA,NYJ,,
6679,QB,Matt,Schaub,0,0,6200,BAL@CLE,BAL,CLE,,
31459,RB,Spencer,Ware,6.2,5,6100,BUF@KC,KC,BUF,,
14905,WR,Kamar,Aiken,8,10,6100,BAL@CLE,BAL,CLE,,
8117,WR,Danny,Amendola,9,10,6100,NE@DEN,NE,DEN,Q,Knee
9421,RB,Danny,Woodhead,13,10,6100,SD@JAC,SD,JAC,,
6863,TE,Delanie,Walker,12,9,6100,OAK@TEN,TEN,OAK,,
30837,WR,Jordan,Matthews,9.4,10,6000,PHI@DET,PHI,DET,,
7778,QB,Matt,Cassel,10,5,6000,CAR@DAL,DAL,CAR,,
14194,QB,Blaine,Gabbert,16.7,2,6000,ARI@SF,SF,ARI,,
14231,QB,Colin,Kaepernick,12.6,9,6000,ARI@SF,SF,ARI,IR,Shoulder
28473,RB,Carlos,Hyde,10.8,7,6000,ARI@SF,SF,ARI,Q,Foot
26483,QB,Geno,Smith,21,1,6000,MIA@NYJ,NYJ,MIA,,
31421,QB,Zach,Mettenberger,3.9,4,6000,OAK@TEN,TEN,OAK,,
25837,RB,Duke,Johnson,8.9,10,6000,BAL@CLE,CLE,BAL,,
14344,QB,T.J.,Yates,10.6,2,6000,NO@HOU,HOU,NO,,
31836,WR,Terrance,Williams,7.8,10,5900,CAR@DAL,DAL,CAR,,
28080,WR,Devin,Funchess,4.7,10,5900,CAR@DAL,CAR,DAL,,
31561,WR,Donte,Moncrief,9.9,10,5900,TB@IND,IND,TB,,
22898,RB,Brandon,Bolden,1.7,9,5900,NE@DEN,NE,DEN,,
30244,RB,Matt,Jones,8.7,9,5900,NYG@WAS,WAS,NYG,,
31406,RB,Alfred,Blue,6.3,10,5900,NO@HOU,HOU,NO,,
28900,RB,Melvin,Gordon,6.3,10,5900,SD@JAC,SD,JAC,,
22035,WR,Travis,Benjamin,12.3,10,5900,BAL@CLE,CLE,BAL,,
30108,WR,Marquess,Wilson,6,10,5800,CHI@GB,CHI,GB,,
6742,TE,Brent,Celek,4.9,10,5800,PHI@DET,PHI,DET,,
7222,WR,James,Jones,11.8,10,5800,CHI@GB,GB,CHI,,
11609,RB,James,Starks,9.3,10,5800,CHI@GB,GB,CHI,,
33076,TE,Travis,Kelce,10.5,10,5800,BUF@KC,KC,BUF,,
6497,RB,Ahmad,Bradshaw,6.8,5,5800,TB@IND,IND,TB,,
22994,QB,Case,Keenum,2.7,2,5800,STL@CIN,STL,CIN,Q,Concussion
29249,RB,C.J.,Anderson,6.5,10,5800,NE@DEN,DEN,NE,,
30298,TE,Jordan,Reed,12.5,8,5800,NYG@WAS,WAS,NYG,Q,Knee
26458,WR,Tavon,Austin,10.9,10,5800,STL@CIN,STL,CIN,,
24907,RB,Karlos,Williams,12.8,7,5800,BUF@KC,BUF,KC,,
47828,RB,Antonio,Andrews,8.3,8,5700,OAK@TEN,TEN,OAK,,
