,Unnamed: 0,player,cbs,dk_name
215,351,Emmanuel Sanders,15.01,Emmanuel Sanders
216,353,Brandon Marshall,16.39,Brandon Marshall
217,354,T.Y. Hilton,14.8,T.Y. Hilton
218,358,Terrance Williams,9.91,Terrance Williams
219,359,Chris Conley,2.5,Chris Conley
220,361,Devin Smith,3.08,Devin Smith
221,362,Lance Moore,5.53,Lance Moore
222,363,Andre Caldwell,2.39,Andre Caldwell
223,364,Rishard Matthews,9.03,Rishard Matthews
224,366,Dorial Green-Beckham,7.18,Dorial Green-Beckham
225,367,Corey Fuller,4.12,Corey Fuller
226,368,DeAndre Hopkins,26.9,DeAndre Hopkins
227,370,Torrey Smith,7.66,Torrey Smith
228,371,Marques Colston,8.42,Marques Colston
229,372,John Brown,15.24,John Brown
230,373,Tavon Austin,6.35,Tavon Austin
231,375,Jordan Matthews,11.81,Jordan Matthews
232,376,Nelson Agholor,5.49,Nelson Agholor
233,377,A.J. Green,16.87,A.J. Green
234,378,Ted Ginn,8.45,Ted Ginn Jr.
235,379,Darrius Heyward-Bey,4.66,Darrius Heyward-Bey
236,382,Dontrelle Inman,5.71,Dontrelle Inman
237,383,Wes Welker,5.23,Wes Welker
238,385,Donte Moncrief,11.47,Donte Moncrief
239,387,Brandin Cooks,14.48,Brandin Cooks
240,388,James Jones,14.35,James Jones
241,389,Devin Funchess,7.02,Devin Funchess
242,390,Travis Benjamin,11.13,Travis Benjamin
243,391,Marc Mariani,3.08,Marc Mariani
244,392,Brandon LaFell,10.19,Brandon LaFell
245,393,Bruce Ellington,2.94,Bruce Ellington
246,395,Golden Tate,12.2,Golden Tate
247,396,Jamison Crowder,7.76,Jamison Crowder
248,400,Quinton Patton,3.63,Quinton Patton
249,401,Brandon Coleman,4.24,Brandon Coleman
250,402,Willie Snead,10.83,Willie Snead
251,403,Marvin Jones,10.17,Marvin Jones
252,408,Jason Witten,10.89,Jason Witten
253,410,Kyle Rudolph,7.42,Kyle Rudolph
254,412,Jacob Tamme,8.59,Jacob Tamme
255,413,Charles Clay,8.67,Charles Clay
256,414,Delanie Walker,9.49,Delanie Walker
257,416,Vance McDonald,3.56,Vance McDonald
258,417,Brandon Myers,2.93,Brandon Myers
259,418,Antonio Gates,11.81,Antonio Gates
260,419,Jake Stoneburner,5.92,Jake Stoneburner
261,420,Jared Cook,5.47,Jared Cook
262,421,Cameron Brate,3.67,Cameron Brate
263,422,Will Tye,7.19,Will Tye
264,425,Heath Miller,7.5,Heath Miller
265,427,Jimmy Graham,13.02,Jimmy Graham
266,429,Rob Gronkowski,14.42,Rob Gronkowski
267,430,Jim Dray,4.44,Jim Dray
268,433,Julius Thomas,10.53,Julius Thomas
269,436,Gavin Escobar,4.6,Gavin Escobar
270,437,Ladarius Green,7.31,Ladarius Green
271,438,Vernon Davis,7.65,Vernon Davis
272,439,Gary Barnidge,13.53,Gary Barnidge
273,440,Josh Hill,6.12,Josh Hill
274,443,Richard Rodgers,8.07,Richard Rodgers
275,445,Maxx Williams,4.98,Maxx Williams
276,447,Levine Toilolo,5.28,Levine Toilolo
277,449,Lance Kendricks,4.73,Lance Kendricks
278,450,Kellen Davis,4.48,Kellen Davis
279,451,Crockett Gillmore,9.9,Crockett Gillmore
280,452,Lee Smith,3.62,Lee Smith
281,453,Tyler Eifert,14.54,Tyler Eifert
282,454,Jermaine Gresham,3.59,Jermaine Gresham
283,455,Ryan Griffin,4.83,Ryan Griffin
284,458,Jordan Cameron,5.62,Jordan Cameron
285,461,Owen Daniels,4.39,Owen Daniels
286,462,Zach Miller,14.98,Zach Miller
287,463,Ed Dickson,4.07,Ed Dickson
288,465,Marcedes Lewis,2.63,Marcedes Lewis
289,466,Rhett Ellison,4.92,Rhett Ellison
290,467,Virgil Green,3.35,Virgil Green
291,471,Darren Fells,5.32,Darren Fells
292,473,Brandon Pettigrew,3.89,Brandon Pettigrew
293,474,Luke Willson,4.93,Luke Willson
294,476,Anthony Fasano,4.41,Anthony Fasano
295,477,Benjamin Watson,8.33,Benjamin Watson
296,480,Clive Walford,4.22,Clive Walford
297,481,C.J. Fiedorowicz,4.63,C.J. Fiedorowicz
298,482,Derek Carrier,4.24,Derek Carrier
299,485,Mychal Rivera,4.63,Mychal Rivera
300,487,Brent Celek,6.87,Brent Celek
301,490,Greg Olsen,14.18,Greg Olsen
302,491,Jordan Reed,12.36,Jordan Reed
303,492,Garrett Celek,5.73,Garrett Celek
304,493,Travis Kelce,11.91,Travis Kelce
305,494,Eric Ebron,11.17,Eric Ebron
306,496,Dion Sims,3.81,Dion Sims
307,499,Scott Chandler,5.03,Scott Chandler
308,502,Ryan Hewitt,2.59,NaN
309,503,Dwayne Allen,6.09,Dwayne Allen
310,504,Coby Fleener,9.6,Coby Fleener
311,506,Nick Boyle,4.28,Nick Boyle
