Name,Id,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Jay Ajayi,46882,RB,5100,MIA@NYJ,4.5,MIA,4.0,2.7,5.46,2.8,5.11,3.96,4.29,4.04571428571,5.46,2.7,2.76,0.682203389831
AJ McCarron,31047,QB,5100,STL@CIN,-0.2,CIN,,,,,,,,,,,,
Austin Seferian-Jenkins,16923,TE,5100,TB@IND,14.7,TB,,17.4,,16.7,,7.34,,13.8133333333,17.4,7.34,10.06,0.728281853282
James White,28930,RB,5100,NE@DEN,3.7,NE,7.5,5.8,10.6,6.7,6.88,,3.329,6.8015,10.6,3.329,7.271,1.06902889069
Brian Hartline,6809,WR,5100,BAL@CLE,5.4,CLE,7.5,5.6,9.18,5.8,10.84,9.6,3.9455,7.49507142857,10.84,3.9455,6.8945,0.919871153425
Larry Donnell,21123,TE,5100,NYG@WAS,6.1,NYG,,,,,,,,,,,,
Jermaine Kearse,22219,WR,5100,PIT@SEA,5.7,SEA,6.0,5.1,8.12,4.6,7.37,9.94,4.9985,6.58978571429,9.94,4.6,5.34,0.81034501447
Wes Welker,7857,WR,5100,STL@CIN,3.5,STL,4.0,,5.23,,6.45,9.83,3.468,5.7956,9.83,3.468,6.362,1.09772931189
Jacob Tamme,6664,TE,5100,MIN@ATL,7.8,ATL,10.5,1.6,8.59,1.8,11.08,9.39,6.398,7.05114285714,11.08,1.6,9.48,1.34446290368
Alfred Morris,22113,RB,5100,NYG@WAS,4.9,WAS,3.5,11.5,7.62,12.0,6.83,6.47,4.2455,7.45221428571,12.0,3.5,8.5,1.14060058851
Denard Robinson,28088,RB,5100,SD@JAC,2.1,JAC,3.0,5.5,5.54,5.6,4.02,9.2,1.84,4.95714285714,9.2,1.84,7.36,1.48472622478
Mohamed Sanu,22018,WR,5100,STL@CIN,5.4,CIN,6.0,13.8,6.44,13.1,5.61,7.66,3.439,8.007,13.8,3.439,10.361,1.29399275634
Dan Orlovsky,8071,QB,5000,PHI@DET,5.5,DET,,,,,,,,,,,,
David Fales,43956,QB,5000,CHI@GB,0.0,CHI,,,,,,,,,,,,
Josh Huff,29340,WR,5000,PHI@DET,5.4,PHI,6.0,6.6,5.74,6.3,4.73,2.99,2.9505,5.04435714286,6.6,2.9505,3.6495,0.723481683918
Derek Anderson,6373,QB,5000,CAR@DAL,0.2,CAR,,,,,,,,,,,,
Thaddeus Lewis,11761,QB,5000,PHI@DET,0.0,PHI,,,,,,,,,,,,
Ty Montgomery,29734,WR,5000,CHI@GB,5.8,GB,,,,,,,,,,,,
Scott Tolzien,14696,QB,5000,CHI@GB,0.0,GB,,,,,,,,,,,,
Joe Webb,11615,QB,5000,CAR@DAL,0.0,CAR,,,,,,,,,,,,
Darren Sproles,7972,RB,5000,PHI@DET,7.4,PHI,6.0,10.9,8.84,11.9,11.99,6.73,7.116,9.068,11.99,6.0,5.99,0.66056462285
Lance Moore,6783,WR,5000,PHI@DET,6.6,DET,4.0,1.6,5.53,1.8,6.86,7.51,2.352,4.236,7.51,1.6,5.91,1.39518413598
Zach Ertz,29780,TE,5000,PHI@DET,5.8,PHI,,,,,,,,,,,,
Chase Daniel,8803,QB,5000,BUF@KC,0.2,KC,,,,,,,,,,,,
Brandon Weeden,21959,QB,5000,NO@HOU,9.6,HOU,,,,,,,,,,,,
Kyle Rudolph,14237,TE,5000,MIN@ATL,6.7,MIN,6.0,12.0,7.42,12.0,7.44,10.13,3.4805,8.35292857143,12.0,3.4805,8.5195,1.01994167999
Ryan Nassib,26141,QB,5000,NYG@WAS,0.0,NYG,,,,,,,,,,,,
Taiwan Jones,14319,RB,5000,OAK@TEN,3.0,OAK,,,4.56,,,,3.2205,3.89025,4.56,3.2205,1.3395,0.344322344322
Landry Jones,27405,QB,5000,PIT@SEA,6.7,PIT,,,,,,,,,,,,
Mike Glennon,25410,QB,5000,TB@IND,0.0,TB,,,,,,,,,,,,
Jimmy Garoppolo,54604,QB,5000,NE@DEN,-0.1,NE,,,,,,,,,,,,
Jonas Gray,22774,RB,5000,MIA@NYJ,3.7,MIA,,,,,,,,,,,,
Matt Flynn,7053,QB,5000,NO@HOU,0.0,NO,,,,,,,,,,,,
Phillip Dorsett,25813,WR,5000,TB@IND,3.8,IND,,,,,,,,,,,,
Michael Vick,8118,QB,5000,PIT@SEA,6.3,PIT,,,,,,,,,,,,
Sean Renfree,24760,QB,5000,MIN@ATL,-0.4,ATL,,,,,,,,,,,,
Colt McCoy,11500,QB,5000,NYG@WAS,0.0,WAS,,,,,,,,,,,,
Adam Humphries,24671,WR,5000,TB@IND,3.4,TB,5.0,,6.99,,5.0,7.32,,6.0775,7.32,5.0,2.32,0.381735911148
Marcel Reece,10354,RB,5000,OAK@TEN,5.2,OAK,2.5,1.6,5.99,2.0,4.39,3.71,1.828,3.14542857143,5.99,1.6,4.39,1.39567626487
Orleans Darkwa,33691,RB,5000,NYG@WAS,1.7,NYG,,1.7,5.62,1.6,2.75,3.1,3.9835,3.12558333333,5.62,1.6,4.02,1.28615991682
Luke McCown,8051,QB,5000,NO@HOU,1.6,NO,,,,,,,,,,,,
Kendall Gaskins,39512,RB,5000,ARI@SF,1.8,SF,2.0,,4.71,,,2.91,,3.20666666667,4.71,2.0,2.71,0.845114345114
Charlie Whitehurst,7970,QB,5000,TB@IND,0.0,IND,,,,,,,,,,,,
Bryce Petty,31798,QB,5000,MIA@NYJ,0.0,NYJ,,,,,,,,,,,,
