"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"26483","QB","Geno","Smith","21","1","6000","NYJ@HOU","NYJ","HOU","","","",""
"26458","WR","Tavon","Austin","12","9","6000","STL@BAL","STL","BAL","","","",""
"28900","RB","Melvin","Gordon","6.4","9","6000","KC@SD","SD","KC","","","",""
"7778","QB","Matt","Cassel","10","5","6000","DAL@MIA","DAL","MIA","","","",""
"6774","WR","Pierre","Garcon","9.2","9","6000","WAS@CAR","WAS","CAR","","","",""
"22898","RB","Brandon","Bolden","1.7","8","5900","BUF@NE","NE","BUF","","","",""
"14905","WR","Kamar","Aiken","7.4","9","5900","STL@BAL","BAL","STL","","","",""
"7965","TE","Antonio","Gates","14.3","4","5900","KC@SD","SD","KC","P","Knee","",""
"7953","WR","Vincent","Jackson","9.4","6","5900","TB@PHI","TB","PHI","Q","Knee","",""
"30298","TE","Jordan","Reed","13.5","7","5800","WAS@CAR","WAS","CAR","","","",""
"11512","TE","Jimmy","Graham","9.1","9","5800","SF@SEA","SEA","SF","","","",""
"24755","WR","Jamison","Crowder","7.7","9","5800","WAS@CAR","WAS","CAR","","","",""
"33076","TE","Travis","Kelce","10.9","9","5700","KC@SD","KC","SD","P","Groin","",""
"6479","WR","Anquan","Boldin","9.2","7","5700","SF@SEA","SF","SEA","Q","Hamstring","",""
"29249","RB","C.J.","Anderson","6.3","9","5700","DEN@CHI","DEN","CHI","","","",""
"54606","WR","John","Brown","11.5","8","5700","CIN@ARI","ARI","CIN","Q","Hamstring","",""
"31406","RB","Alfred","Blue","5.2","9","5700","NYJ@HOU","HOU","NYJ","","","",""
"11466","QB","Jimmy","Clausen","3.6","2","5700","DEN@CHI","CHI","DEN","","","",""
"24907","RB","Karlos","Williams","14.7","6","5700","BUF@NE","BUF","NE","Q","Illness","",""
"24949","QB","E.J.","Manuel","10.3","4","5700","BUF@NE","BUF","NE","","","",""
"7645","WR","Steve","Johnson","8.9","7","5600","KC@SD","SD","KC","","","",""
"6610","WR","Nate","Washington","10.9","7","5600","NYJ@HOU","HOU","NYJ","P","Hip","",""
"15006","RB","Shaun","Draughn","2.3","6","5600","SF@SEA","SF","SEA","","","",""
"6844","QB","Shaun","Hill","0.5","1","5600","GB@MIN","MIN","GB","","","",""
"30968","RB","Eddie","Lacy","6.9","8","5600","GB@MIN","GB","MIN","P","Groin","",""
"28095","RB","Thomas","Rawls","5.3","9","5600","SF@SEA","SEA","SF","","","",""
"21959","QB","Brandon","Weeden","9.6","4","5500","NYJ@HOU","HOU","NYJ","","","",""
"21941","QB","Robert","Griffin III","10.4","9","5500","WAS@CAR","WAS","CAR","","","",""
"6641","TE","Jason","Witten","8.8","9","5500","DAL@MIA","DAL","MIA","","","",""
"14288","WR","Torrey","Smith","6.8","9","5500","SF@SEA","SF","SEA","","","",""
"28677","QB","Matt","McGloin","10.7","1","5500","OAK@DET","OAK","DET","","","",""
"7660","RB","Fred","Jackson","3.7","9","5400","SF@SEA","SEA","SF","","","",""
"25272","TE","Eric","Ebron","9.1","7","5400","OAK@DET","DET","OAK","","","",""
"6618","WR","Roddy","White","4.2","9","5400","IND@ATL","ATL","IND","","","",""
"14307","WR","Cecil","Shorts","8.3","6","5400","NYJ@HOU","HOU","NYJ","","","",""
"29314","TE","Richard","Rodgers","8.4","9","5400","GB@MIN","GB","MIN","","","",""
"32418","RB","Christine","Michael","1.2","5","5400","WAS@CAR","WAS","CAR","","","",""
"12550","D","Seattle","Seahawks","11.1","9","5400","SF@SEA","SEA","SF","","","",""
"24682","RB","Andre","Ellington","8.9","6","5400","CIN@ARI","ARI","CIN","","","",""
"14626","WR","Doug","Baldwin","9.4","9","5400","SF@SEA","SEA","SF","P","Toe","",""
"22288","WR","Cole","Beasley","6.4","9","5400","DAL@MIA","DAL","MIA","","","",""
"7972","RB","Darren","Sproles","6.7","9","5400","TB@PHI","PHI","TB","","","",""
"6808","QB","Matt","Moore","0.4","1","5400","DAL@MIA","MIA","DAL","","","",""
