,Unnamed: 0,player,cbs,dk_name
232,384,Rob Gronkowski,19.78,Rob Gronkowski
233,387,Julius Thomas,8.09,Julius Thomas
234,391,Gavin Escobar,4.59,Gavin Escobar
235,392,Ladarius Green,7.73,Ladarius Green
236,393,Vernon Davis,8.62,Vernon Davis
237,396,Richard Rodgers,7.21,Richard Rodgers
238,398,Maxx Williams,6.38,Maxx Williams
239,400,Levine Toilolo,4.99,Levine Toilolo
240,402,Lance Kendricks,4.75,Lance Kendricks
241,403,Kellen Davis,5.29,Kellen Davis
242,404,Crockett Gillmore,9.9,Crockett Gillmore
243,405,Lee Smith,3.88,Lee Smith
244,406,Tyler Eifert,13.28,Tyler Eifert
245,407,Jermaine Gresham,3.95,Jermaine Gresham
246,408,Ryan Griffin,4.04,Ryan Griffin
247,410,Austin Seferian-Jenkins,9.22,Austin Seferian-Jenkins
248,411,Jordan Cameron,6.52,Jordan Cameron
249,413,Owen Daniels,5.39,Owen Daniels
250,414,Zach Miller,8.24,Zach Miller
251,415,Ed Dickson,4.95,Ed Dickson
252,416,Marcedes Lewis,2.37,Marcedes Lewis
253,417,Rhett Ellison,4.67,Rhett Ellison
254,418,Virgil Green,3.85,Virgil Green
255,419,James O'Shaughnessy,3.66,James O'Shaughnessy
256,422,Zach Ertz,7.29,Zach Ertz
257,424,Darren Fells,4.95,Darren Fells
258,426,Brandon Pettigrew,4.01,Brandon Pettigrew
259,427,Luke Willson,5.71,Luke Willson
260,429,Anthony Fasano,4.29,Anthony Fasano
261,431,Clive Walford,4.68,Clive Walford
262,432,C.J. Fiedorowicz,3.63,C.J. Fiedorowicz
263,433,Derek Carrier,2.84,Derek Carrier
264,436,Mychal Rivera,4.89,Mychal Rivera
265,438,Brent Celek,5.42,Brent Celek
266,441,Greg Olsen,16.42,Greg Olsen
267,442,Jordan Reed,10.53,Jordan Reed
268,443,Garrett Celek,6.91,Garrett Celek
269,444,Travis Kelce,13.47,Travis Kelce
270,445,Eric Ebron,12.02,Eric Ebron
271,447,Dion Sims,4.61,Dion Sims
272,450,Scott Chandler,4.51,Scott Chandler
273,453,Ryan Hewitt,2.39,Ryan Hewitt
274,454,Dwayne Allen,5.8,Dwayne Allen
275,455,Coby Fleener,9.3,Coby Fleener
276,457,Nick Boyle,5.17,Nick Boyle
