,Unnamed: 0,player,fleaflicker,dk_name
157,165,Marlon Brown,6.6,Marlon Brown
158,166,Ty Montgomery,6.6,Ty Montgomery
159,167,Stevan Ridley,4.5,Stevan Ridley
160,168,Charles Johnson,6.5,Charles Johnson
161,169,Vernon Davis,6.5,Vernon Davis
162,170,Bobby Rainey,5.4,Bobby Rainey
163,171,Greg Jennings,7.4,Greg Jennings
164,172,Cordarrelle Patterson,5.4,Cordarrelle Patterson
165,173,Josh Huff,6.4,Josh Huff
166,174,Corey Brown,6.4,Corey Brown
167,175,Scott Chandler,6.4,Scott Chandler
168,177,Tre Mason,4.3,Tre Mason
169,178,Jermaine Kearse,5.3,Jermaine Kearse
170,179,Clay Harbor,7.3,Clay Harbor
171,180,Brian Quick,6.2,Brian Quick
172,181,Marcedes Lewis,6.2,Marcedes Lewis
173,182,Maxx Williams,6.2,Maxx Williams
174,183,Andre Caldwell,6.0,Andre Caldwell
175,184,Steve Johnson,5.9,Stevie Johnson
176,185,Dorial Green-Beckham,4.9,Dorial Green-Beckham
177,186,Coby Fleener,5.9,Coby Fleener
178,187,Mychal Rivera,5.9,Mychal Rivera
179,188,Toby Gerhart,3.9,Toby Gerhart
180,189,Knile Davis,3.9,Knile Davis
181,190,Andre Roberts,4.9,Andre Roberts
182,191,Torrey Smith,4.8,Torrey Smith
183,192,Garrett Graham,5.8,Garrett Graham
184,193,Ryan Griffin,5.8,Ryan Griffin
185,194,Mike Tolbert,4.7,Mike Tolbert
186,195,Lance Kendricks,5.7,Lance Kendricks
187,196,Matt Asiata,3.6,Matt Asiata
188,198,Andre Johnson,4.6,Andre Johnson
189,199,Jason Avant,5.6,Jason Avant
190,200,Dwayne Allen,4.6,Dwayne Allen
191,201,Nelson Agholor,4.5,Nelson Agholor
192,202,Jared Cook,5.5,Jared Cook
193,203,Dan Herron,3.4,Daniel Herron
194,204,Nate Washington,4.4,Nate Washington
195,205,Aaron Dobson,4.4,Aaron Dobson
196,206,Jerick McKinnon,3.3,Jerick McKinnon
197,207,Jerricho Cotchery,4.3,Jerricho Cotchery
198,208,Virgil Green,4.3,Virgil Green
199,209,Gavin Escobar,4.3,Gavin Escobar
200,210,Roddy White,4.2,Roddy White
201,211,Bryan Walters,4.2,Bryan Walters
202,212,Cole Beasley,4.2,Cole Beasley
203,213,Anthony Fasano,4.2,Anthony Fasano
204,214,Brandon Bolden,3.1,Brandon Bolden
205,215,Benny Cunningham,5.1,Benny Cunningham
206,216,Tevin Coleman,3.1,Tevin Coleman
207,217,Marquess Wilson,4.1,Marquess Wilson
208,219,Jeff Cumberland,4.1,Jeff Cumberland
209,220,Chris Thompson,4.0,Chris Thompson
210,221,Javorius Allen,4.0,Javorius Allen
211,222,Jordan Norwood,4.0,Jordan Norwood
212,223,Terron Ward,2.9,Terron Ward
213,224,Jermaine Gresham,3.9,Jermaine Gresham
214,225,Tyler Lockett,3.8,Tyler Lockett
215,226,Jay Ajayi,2.8,Jay Ajayi
216,227,Rod Streater,3.8,Rod Streater
217,228,Kevin White,3.8,NaN
218,229,Ed Dickson,3.8,Ed Dickson
219,230,Fred Jackson,2.7,Fred Jackson
220,231,Riley Cooper,2.7,Riley Cooper
221,232,Miles Austin,2.6,Miles Austin
222,233,Dontrelle Inman,3.6,Dontrelle Inman
223,234,Andre Holmes,2.6,Andre Holmes
224,235,Devin Smith,2.6,Devin Smith
225,236,Keith Mumphery,3.6,Keith Mumphery
226,237,Chris Gragg,3.6,Chris Gragg
227,238,Timothy Wright,2.6,NaN
228,240,Stepfan Taylor,2.5,Stepfan Taylor
229,241,Bishop Sankey,2.5,Bishop Sankey
230,242,Cameron Artis-Payne,2.5,Cameron Artis-Payne
231,243,Chris Hogan,2.5,Chris Hogan
232,244,DeVante Parker,2.5,DeVante Parker
233,245,Damien Williams,2.4,Damien Williams
234,246,Luke Willson,2.4,Luke Willson
235,247,Crockett Gillmore,2.4,Crockett Gillmore
236,248,Bruce Ellington,2.3,Bruce Ellington
237,249,Brent Celek,2.3,Brent Celek
238,250,Brandon Myers,3.3,Brandon Myers
239,251,Derek Carrier,3.3,Derek Carrier
240,252,C.J. Fiedorowicz,2.3,C.J. Fiedorowicz
241,253,Nick Boyle,2.3,Nick Boyle
242,254,Chris Polk,2.2,Chris Polk
243,255,Garrett Celek,3.2,Garrett Celek
244,256,Levine Toilolo,2.2,Levine Toilolo
245,257,Darren Fells,2.0,Darren Fells
246,258,Marcel Reece,1.9,Marcel Reece
247,259,Jeff Janis,1.9,Jeff Janis
248,261,Albert Wilson,1.9,Albert Wilson
249,262,Cody Latimer,1.8,Cody Latimer
250,263,J.J. Nelson,1.8,J.J. Nelson
251,264,Justin Hardy,1.8,Justin Hardy
252,265,Jacob Tamme,1.8,Jacob Tamme
253,266,Zach Miller,1.8,Zach Miller
254,267,Dion Sims,1.8,Dion Sims
255,268,Lance Moore,1.7,Lance Moore
256,269,Paul Richardson,1.7,Paul Richardson
257,270,Ryan Grant,1.7,Ryan Grant
258,271,Chris Conley,1.7,Chris Conley
259,272,Tyler Kroft,1.7,Tyler Kroft
260,273,Clive Walford,1.7,Clive Walford
261,274,Bernard Pierce,0.6,Bernard Pierce
262,275,Jonathan Grimes,0.6,Jonathan Grimes
263,276,Juwan Thompson,0.6,Juwan Thompson
264,277,Jake Stoneburner,1.6,Jake Stoneburner
265,278,Kennard Backman,1.6,Kennard Backman
266,279,MyCole Pruitt,1.6,MyCole Pruitt
267,280,Anthony Dixon,0.5,NaN
268,282,John Kuhn,0.4,John Kuhn
