player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,punt_td,kick_td,fl,2-pt

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Matthew Stafford, DetQBP",@KC,Sun 9:30 AM,22.3/38.8,256,1.8,1,2.2,7,0.1,0,0,0,15.5
"Matt Forte, ChiRB",Min,Sun 1:00,0/0,0,0,0,21.6,99.1,0.5,3.4,31,0.1,15.4
"Russell Wilson, SeaQB",@Dal,Sun 4:25,19.6/29.9,239.3,1,0.5,6.5,39.3,0.1,0,0,0,15.3
"Peyton Manning, DenQB",GB,Sun 8:30,25/41.6,297.4,1.7,1.2,0.9,-0.2,0,0,0,0,15.1
"Zach Mettenberger, TenQB",@Hou,Sun 1:00,21.8/34.9,253.5,1.9,1.1,1.6,4.9,0.1,0,0,0,15
"Joe Flacco, BalQB",SD,Sun 1:00,21.7/34.4,249,1.8,0.7,1.7,3.4,0.1,0,0,0,15
"Ryan Fitzpatrick, NYJQB",@Oak,Sun 4:05,21.4/33.8,236.9,1.7,1.1,4.3,18.9,0.2,0,0,0,14.9
"Brian Hoyer, HouQB",Ten,Sun 1:00,20.6/34.8,264.6,1.8,1.3,1.6,2.6,0,0,0,0,14.9
"Julio Jones, AtlWR",TB,Sun 1:00,0/0,0,0,0,0,0,0,7.2,91.8,0.9,14.3
"Josh McCown, CleQBQ",Ari,Sun 1:00,21.9/37.6,257.5,1.5,1.4,2.7,13.1,0.1,0,0,0,13.6
"Jameis Winston, TBQB",@Atl,Sun 1:00,20.3/32.5,238.4,1.3,1.2,3.8,12.6,0.2,0,0,0,13.3
"Derek Carr, OakQB",NYJ,Sun 4:05,24.9/40.5,263.7,1.5,1,1.6,4.5,0,0,0,0,13.3
"Antonio Brown, PitWR",Cin,Sun 1:00,0/0,0,0,0,0.2,1.5,0,7.5,102.4,0.5,13.2
"Colin Kaepernick, SFQBP",@StL,Sun 1:00,19.7/29.7,239.9,0.5,0.6,5.7,35.6,0.1,0,0,0,13
"Matt Cassel, DalQB",Sea,Sun 4:25,19.3/30.2,225.6,1.2,0.9,2.8,11.7,0.1,0,0,0,13
"Jay Cutler, ChiQB",Min,Sun 1:00,20.6/33.3,236.9,1.3,0.9,2.6,12.1,0.1,0,0,0,12.9
"Adrian Peterson, MinRBP",@Chi,Sun 1:00,0/0,0,0,0,19.2,87.6,0.6,1.9,16.2,0.1,12.9
"Nick Foles, StLQB",SF,Sun 1:00,19.1/29.3,218.7,1.4,0.6,1.8,7.8,0.1,0,0,0,12.8
"Teddy Bridgewater, MinQB",@Chi,Sun 1:00,17.9/29.5,221,1,0.6,3.9,19.1,0.2,0,0,0,12.6
"Chris Ivory, NYJRBP",@Oak,Sun 4:05,0/0,0,0,0,20.4,82,0.5,2,14,0.1,12.6
"DeAndre Hopkins, HouWR",Ten,Sun 1:00,0/0,0,0,0,0,0,0,6.6,95.6,0.6,12.5
"Emmanuel Sanders, DenWRP",GB,Sun 8:30,0/0,0,0,0,0.4,2.9,0,6.5,90,0.5,12.1
"Mark Ingram, NORB",NYG,Sun 1:00,0/0,0,0,0,14.6,63.1,0.6,2.7,20.7,0.1,12

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Demaryius Thomas, DenWR",GB,Sun 8:30,0/0,0,0,0,0,0,0,7.4,93.6,0.5,12
"Keenan Allen, SDWR",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,7,96.1,0.5,11.9
"Marshawn Lynch, SeaRBP",@Dal,Sun 4:25,0/0,0,0,0,18.4,84.3,0.4,2.2,18,0.1,11.8
"Chris Johnson, AriRB",@Cle,Sun 1:00,0/0,0,0,0,17.4,88.5,0.6,0.5,3.7,0,11.6
"A.J. Green, CinWR",@Pit,Sun 1:00,0/0,0,0,0,0.1,0.9,0,5.4,84.6,0.6,11.5
"Mike Evans, TBWR",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,5.4,81.3,0.5,11.1
"Odell Beckham Jr., NYGWRP",@NO,Sun 1:00,0/0,0,0,0,0.2,1.6,0,6.4,87.1,0.5,11
Rams D/STD/ST,SF,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,10.9
"Jonathan Stewart, CarRB",Ind,Mon 8:30,0/0,0,0,0,19.3,85.9,0.5,0.9,6.6,0,10.8
"Rob Gronkowski, NETE",Mia,W 36-7,0/0,0,0,0,0,0,0,5.1,62.8,0.8,10.8
"Doug Martin, TBRB",@Atl,Sun 1:00,0/0,0,0,0,15.6,61.4,0.4,2.9,23.4,0.1,10.7
"Calvin Johnson, DetWRP",@KC,Sun 9:30 AM,0/0,0,0,0,0,0,0,5.3,77.2,0.6,10.6
"Julian Edelman, NEWR",Mia,W 36-7,0/0,0,0,0,0.8,5.1,0,6.8,72.4,0.6,10.6
"Jeremy Maclin, KCWRP",Det,Sun 9:30 AM,0/0,0,0,0,0.2,1.6,0,6.4,85.3,0.4,10.6
"Brandon Marshall, NYJWR",@Oak,Sun 4:05,0/0,0,0,0,0,0,0,6.4,77.2,0.6,10.5
"LeGarrette Blount, NERB",Mia,W 36-7,0/0,0,0,0,14.2,64,0.7,0.5,4,0,10.5
"Darren McFadden, DalRB",Sea,Sun 4:25,0/0,0,0,0,16.2,56.3,0.5,3.1,26.4,0.1,10.3
"Charcandrick West, KCRBP",Det,Sun 9:30 AM,0/0,0,0,0,14.6,57.4,0.7,2,16.2,0.1,10.3
"Larry Fitzgerald, AriWR",@Cle,Sun 1:00,0/0,0,0,0,0,0,0,5.2,71,0.6,10.3
"T.Y. Hilton, IndWR",@Car,Mon 8:30,0/0,0,0,0,0.1,0.6,0,5.7,80.1,0.4,10.3
Cardinals D/STD/ST,@Cle,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,10.3
"Randall Cobb, GBWR",@Den,Sun 8:30,0/0,0,0,0,0.5,3.2,0,5.8,78,0.5,10
"Lamar Miller, MiaRB",@NE,L 7-36,0/0,0,0,0,13.4,59.8,0.4,3,23,0.1,9.9
"Alshon Jeffery, ChiWR",Min,Sun 1:00,0/0,0,0,0,0.3,1.8,0,5.6,77.1,0.5,9.7
Seahawks D/STD/ST,@Dal,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,9.6
"Phil Dawson, SFK",@StL,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,9.2
"Martavis Bryant, PitWR",Cin,Sun 1:00,0/0,0,0,0,0.3,2.2,0,4.1,64.1,0.5,9.1
Patriots D/STD/ST,Mia,W 36-7,0/0,0,0,0,0,0,0,0,0,0,9.1
"Frank Gore, IndRB",@Car,Mon 8:30,0/0,0,0,0,14,56,0.3,2.8,22.6,0.1,9
"Greg Olsen, CarTE",Ind,Mon 8:30,0/0,0,0,0,0,0,0,4.9,60.8,0.5,9
"Josh Brown, NYGK",@NO,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.9
Vikings D/STD/ST,@Chi,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.8
"Dion Lewis, NERBP",Mia,W 36-7,0/0,0,0,0,7.7,34.9,0.3,4.1,36.1,0.2,8.7
"John Brown, AriWRQ",@Cle,Sun 1:00,0/0,0,0,0,0.3,1.9,0,4.2,62.7,0.4,8.7
"Eric Decker, NYJWRQ",@Oak,Sun 4:05,0/0,0,0,0,0,0,0,5,63.3,0.4,8.7
"Eddie Lacy, GBRB",@Den,Sun 8:30,0/0,0,0,0,14.6,52.1,0.3,2.8,19.6,0.1,8.5
"Steven Hauschka, SeaK",@Dal,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.5
"Blair Walsh, MinK",@Chi,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.5
"Jarvis Landry, MiaWR",@NE,L 7-36,0/0,0,0,0,1.2,9.6,0,6.2,64.3,0.4,8.5
"Kai Forbath, NOK",NYG,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.4

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Chris Boswell, PitK",Cin,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.4
"Michael Crabtree, OakWR",NYJ,Sun 4:05,0/0,0,0,0,0,0,0,5.8,68.8,0.4,8.4
Broncos D/STD/ST,GB,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,8.3
"Chandler Catanzaro, AriK",@Cle,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.3
"Steve Smith Sr., BalWRP",SD,Sun 1:00,0/0,0,0,0,0,0,0,4.8,65.9,0.4,8.3
"Danny Woodhead, SDRB",@Bal,Sun 1:00,0/0,0,0,0,7,26.7,0.1,4.5,41.6,0.3,8.3
"Giovani Bernard, CinRB",@Pit,Sun 1:00,0/0,0,0,0,10.3,40,0.3,3.3,25.7,0.1,8.3
"Dez Bryant, DalWRQ",Sea,Sun 4:25,0/0,0,0,0,0,0,0,5.2,69.2,0.4,8.2
"Donte Moncrief, IndWR",@Car,Mon 8:30,0/0,0,0,0,0.1,0.6,0,5.1,68,0.4,8.2
"Matt Bryant, AtlK",TB,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.2
"Justin Tucker, BalK",SD,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.1
"Reggie Bush, SFRB",@StL,Sun 1:00,0/0,0,0,0,13.4,56.8,0.2,3.1,26.7,0,8.1
"Stephen Gostkowski, NEK",Mia,W 36-7,0/0,0,0,0,0,0,0,0,0,0,8.1
Panthers D/STD/ST,Ind,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,8
"Latavius Murray, OakRB",NYJ,Sun 4:05,0/0,0,0,0,13.3,43.9,0.3,2.6,20.1,0.1,8
"Mason Crosby, GBK",@Den,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,8
"Brandon McManus, DenK",GB,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,8
"Amari Cooper, OakWR",NYJ,Sun 4:05,0/0,0,0,0,0,0,0,5.7,64.4,0.3,7.9
"Josh Lambo, SDK",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.9
"Brandin Cooks, NOWR",NYG,Sun 1:00,0/0,0,0,0,0.3,1.8,0,5,67.2,0.3,7.9
"Graham Gano, CarK",Ind,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,7.8
"Robbie Gould, ChiK",Min,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.7
"Nick Novak, HouK",Ten,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.6
Jets D/STD/ST,@Oak,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,7.6
"Tyler Eifert, CinTE",@Pit,Sun 1:00,0/0,0,0,0,0,0,0,4.8,57.1,0.4,7.6
"Jeremy Hill, CinRB",@Pit,Sun 1:00,0/0,0,0,0,13.9,54.5,0.4,0.9,7.2,0,7.6
"Greg Zuerlein, StLK",SF,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.5
"Nick Folk, NYJK",@Oak,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,7.5
"Matt Prater, DetK",@KC,Sun 9:30 AM,0/0,0,0,0,0,0,0,0,0,0,7.5
Packers D/STD/ST,@Den,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,7.5
"Nate Washington, HouWR",Ten,Sun 1:00,0/0,0,0,0,0,0,0,3.9,58.6,0.4,7.5
"Delanie Walker, TenTE",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,4.9,55.8,0.4,7.4
"Malcom Floyd, SDWR",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,3,54.5,0.4,7.4
"Sebastian Janikowski, OakK",NYJ,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,7.4
"Mike Nugent, CinK",@Pit,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.4
"Antonio Andrews, TenRB",@Hou,Sun 1:00,0/0,0,0,0,13.1,49.4,0.5,1,8.2,0,7.3
"Dan Bailey, DalK",Sea,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,7.3
"Gary Barnidge, CleTE",Ari,Sun 1:00,0/0,0,0,0,0,0,0,4,51.4,0.4,7.3
"Cairo Santos, KCK",Det,Sun 9:30 AM,0/0,0,0,0,0,0,0,0,0,0,7.2
"Andrew Franks, MiaK",@NE,L 7-36,0/0,0,0,0,0,0,0,0,0,0,7.2

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"James Jones, GBWR",@Den,Sun 8:30,0/0,0,0,0,0,0,0,3.5,51.2,0.4,7.2
Falcons D/STD/ST,TB,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.2
"Travis Benjamin, CleWR",Ari,Sun 1:00,0/0,0,0,0,0,0,0,3.9,58,0.3,7.1
"Alfred Blue, HouRB",Ten,Sun 1:00,0/0,0,0,0,13.4,55.9,0.3,0.4,3.5,0,7.1
"Ryan Succop, TenK",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.1
"Kendall Wright, TenWR",@Hou,Sun 1:00,0/0,0,0,0,0.5,3.3,0,4.9,55.4,0.3,7.1
"Travis Kelce, KCTEP",Det,Sun 9:30 AM,0/0,0,0,0,0,0,0,4.8,53.6,0.4,7.1
"Adam Vinatieri, IndK",@Car,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,7
"Ronnie Hillman, DenRB",GB,Sun 8:30,0/0,0,0,0,11.9,48.8,0.3,1.8,15.3,0.1,7
"Golden Tate, DetWR",@KC,Sun 9:30 AM,0/0,0,0,0,0.5,3.1,0,4.8,58.9,0.3,6.9
"Connor Barth, TBK",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.9
"Dexter McCluster, TenWR, RB",@Hou,Sun 1:00,0/0,0,0,0,7.2,30.6,0.2,2.8,25.6,0.1,6.9
"Davante Adams, GBWRP",@Den,Sun 8:30,0/0,0,0,0,0,0,0,3.7,52.3,0.3,6.9
"Anquan Boldin, SFWRQ",@StL,Sun 1:00,0/0,0,0,0,0,0,0,5.5,67.9,0.2,6.9
"Ameer Abdullah, DetRB",@KC,Sun 9:30 AM,0/0,0,0,0,11.4,42.6,0.3,1.5,11.8,0.1,6.9
"Marvin Jones, CinWR",@Pit,Sun 1:00,0/0,0,0,0,0.4,2.8,0,3.5,50.1,0.3,6.9
"Martellus Bennett, ChiTE",Min,Sun 1:00,0/0,0,0,0,0,0,0,5.1,54.2,0.3,6.8
"Stevie Johnson, SDWR",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,3.8,53.1,0.3,6.8
"Rueben Randle, NYGWR",@NO,Sun 1:00,0/0,0,0,0,0,0,0,3.9,56.4,0.3,6.8
"Rishard Matthews, MiaWR",@NE,L 7-36,0/0,0,0,0,0,0,0,4.1,51,0.3,6.7
"Shane Vereen, NYGRB",@NO,Sun 1:00,0/0,0,0,0,4.3,21.1,0.1,3.2,31.9,0.2,6.7
Bengals D/STD/ST,@Pit,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.7
"Willie Snead, NOWR",NYG,Sun 1:00,0/0,0,0,0,0,0,0,4,55.5,0.3,6.6
"Travis Coons, CleK",Ari,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.5
"Mike Wallace, MinWR",@Chi,Sun 1:00,0/0,0,0,0,0,0,0,3.7,56.1,0.3,6.5
"Ladarius Green, SDTE",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,3.7,45.6,0.4,6.4
"Stefon Diggs, MinWR",@Chi,Sun 1:00,0/0,0,0,0,0.3,1.8,0,4.2,58.1,0.2,6.3
"Duke Johnson Jr., CleRB",Ari,Sun 1:00,0/0,0,0,0,6.2,23.8,0.1,4.7,36,0.1,6.3
"Brandon LaFell, NEWR",Mia,W 36-7,0/0,0,0,0,0,0,0,3.7,47.7,0.4,6.3
Texans D/STD/ST,Ten,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.3
"Larry Donnell, NYGTE",@NO,Sun 1:00,0/0,0,0,0,0,0,0,4,46.8,0.4,6.3
"C.J. Spiller, NORB",NYG,Sun 1:00,0/0,0,0,0,2.9,13.8,0.1,4.5,41.3,0.1,6.2
"Khiry Robinson, NORB",NYG,Sun 1:00,0/0,0,0,0,7.7,33.1,0.3,1.7,12.1,0.1,6.2
"Michael Floyd, AriWR",@Cle,Sun 1:00,0/0,0,0,0,0,0,0,2.9,44.2,0.4,6.2
Bears D/STD/ST,Min,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.2
"Jordan Cameron, MiaTE",@NE,L 7-36,0/0,0,0,0,0,0,0,3.9,47,0.4,6.2
"Chris Polk, HouRBP",Ten,Sun 1:00,0/0,0,0,0,8.8,39,0.3,1.5,13.6,0.1,6.1
Chiefs D/STD/ST,Det,Sun 9:30 AM,0/0,0,0,0,0,0,0,0,0,0,6
"Tavon Austin, StLWR",SF,Sun 1:00,0/0,0,0,0,1.7,13.1,0.1,3.4,38.1,0.2,6
"Ted Ginn Jr., CarWR",Ind,Mon 8:30,0/0,0,0,0,0.3,2.1,0,3.5,49.2,0.3,6

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Justin Hunter, TenWR",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,3,45.4,0.3,5.9
Lions D/STD/ST,@KC,Sun 9:30 AM,0/0,0,0,0,0,0,0,0,0,0,5.9
Titans D/STD/ST,@Hou,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.9
Colts D/STD/ST,@Car,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,5.8
"Jimmy Graham, SeaTE",@Dal,Sun 4:25,0/0,0,0,0,0,0,0,4.1,49.9,0.3,5.7
Raiders D/STD/ST,NYJ,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,5.7
"Rashad Jennings, NYGRB",@NO,Sun 1:00,0/0,0,0,0,7.9,37.1,0.2,1.8,14.1,0.1,5.7
"Benjamin Watson, NOTE",NYG,Sun 1:00,0/0,0,0,0,0,0,0,3.8,44.2,0.3,5.6
"Heath Miller, PitTEP",Cin,Sun 1:00,0/0,0,0,0,0,0,0,3.8,43.4,0.3,5.5
"Charles Sims, TBRB",@Atl,Sun 1:00,0/0,0,0,0,7.2,26.9,0.2,3.5,28.7,0.1,5.5
Chargers D/STD/ST,@Bal,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.5
"Jason Witten, DalTE",Sea,Sun 4:25,0/0,0,0,0,0,0,0,4.2,48.6,0.2,5.4
49ers D/STD/ST,@StL,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.4
"Andre Johnson, IndWR",@Car,Mon 8:30,0/0,0,0,0,0,0,0,3.3,42.5,0.2,5.4
"C.J. Anderson, DenRB",GB,Sun 8:30,0/0,0,0,0,8.3,32.5,0.2,2.2,17.4,0.1,5.4
Cowboys D/STD/ST,Sea,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,5.4
"Taylor Gabriel, CleWR",Ari,Sun 1:00,0/0,0,0,0,0,0,0,3.2,41.3,0.2,5.4
"Marques Colston, NOWRP",NYG,Sun 1:00,0/0,0,0,0,0,0,0,3,41.2,0.2,5.3
"Eddie Royal, ChiWR",Min,Sun 1:00,0/0,0,0,0,0,0,0,3.7,43.3,0.2,5.2
"Markus Wheaton, PitWR",Cin,Sun 1:00,0/0,0,0,0,0.1,0.7,0,2.9,41.1,0.2,5.1
"Javorius Allen, BalRB",SD,Sun 1:00,0/0,0,0,0,6.1,30.6,0.3,1.1,8.8,0,5.1
"Eric Ebron, DetTE",@KC,Sun 9:30 AM,0/0,0,0,0,0,0,0,3.6,39.8,0.3,5
"Tyler Lockett, SeaWR",@Dal,Sun 4:25,0/0,0,0,0,0.3,1.7,0,2.8,42.8,0.1,5
"Jacob Tamme, AtlTE",TB,Sun 1:00,0/0,0,0,0,0,0,0,2.9,32.7,0.3,5
"Richard Rodgers, GBTE",@Den,Sun 8:30,0/0,0,0,0,0,0,0,2.9,32.9,0.3,5
"Doug Baldwin, SeaWR",@Dal,Sun 4:25,0/0,0,0,0,0,0,0,3.4,46.4,0.2,4.9
"Andre Ellington, AriRB",@Cle,Sun 1:00,0/0,0,0,0,5.6,26.4,0.2,2.1,18.7,0.1,4.9
Saints D/STD/ST,NYG,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.9
"Roddy White, AtlWR",TB,Sun 1:00,0/0,0,0,0,0,0,0,2.8,34.9,0.3,4.9
"Dorial Green-Beckham, TenWR",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,2.1,31.3,0.3,4.9
"Crockett Gillmore, BalTE",SD,Sun 1:00,0/0,0,0,0,0,0,0,2.9,30.5,0.3,4.8
"Kamar Aiken, BalWR",SD,Sun 1:00,0/0,0,0,0,0,0,0,2.8,39.5,0.3,4.8
"Danny Amendola, NEWR",Mia,W 36-7,0/0,0,0,0,0.3,1.7,0,3.1,32,0.3,4.7
"Jared Cook, StLTE",SF,Sun 1:00,0/0,0,0,0,0,0,0,3,35.6,0.3,4.7
"Vernon Davis, SFTE",@StL,Sun 1:00,0/0,0,0,0,0,0,0,3.1,41.5,0.1,4.6
"Keith Mumphery, HouWR",Ten,Sun 1:00,0/0,0,0,0,0,0,0,2.6,34.1,0.2,4.6
"Owen Daniels, DenTEP",GB,Sun 8:30,0/0,0,0,0,0,0,0,3.3,35.6,0.3,4.6
"Torrey Smith, SFWR",@StL,Sun 1:00,0/0,0,0,0,0,0,0,2.5,41.4,0.1,4.5
"Mohamed Sanu, CinWR",@Pit,Sun 1:00,0/0,0,0,0,0.3,1.8,0,2.5,31.4,0.2,4.5
"Coby Fleener, IndTE",@Car,Mon 8:30,0/0,0,0,0,0,0,0,2.8,33.5,0.2,4.4

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Terrance Williams, DalWR",Sea,Sun 4:25,0/0,0,0,0,0,0,0,2.7,39.2,0.2,4.4
"Dwayne Harris, NYGWR",@NO,Sun 1:00,0/0,0,0,0,0,0,0,2.7,33.2,0.2,4.4
"Kenny Britt, StLWR",SF,Sun 1:00,0/0,0,0,0,0,0,0,2.4,36.9,0.2,4.4
"Jeremy Kerley, NYJWR",@Oak,Sun 4:05,0/0,0,0,0,0,0,0,3.1,34.2,0.2,4.4
Steelers D/STD/ST,Cin,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.3
"Zac Stacy, NYJRB",@Oak,Sun 4:05,0/0,0,0,0,6.1,21.6,0.2,2,16.1,0.1,4.3
"Brian Hartline, CleWR",Ari,Sun 1:00,0/0,0,0,0,0,0,0,2.9,38.6,0.2,4.3
"Donteea Dye, TBWR",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,2.6,35.5,0.2,4.2
"Chris Conley, KCWR",Det,Sun 9:30 AM,0/0,0,0,0,0,0,0,2.7,32,0.2,4.2
"Tevin Coleman, AtlRB",TB,Sun 1:00,0/0,0,0,0,6.9,28.4,0.3,0.5,3.8,0,4
"Orleans Darkwa, NYGRB",@NO,Sun 1:00,0/0,0,0,0,6.5,31.5,0.2,0.1,1.2,0,4
"Isaiah Crowell, CleRBP",Ari,Sun 1:00,0/0,0,0,0,8.3,33,0.2,0.9,7.3,0,4
"Kenny Stills, MiaWR",@NE,L 7-36,0/0,0,0,0,0,0,0,2.4,35.2,0.2,4
"Melvin Gordon, SDRBP",@Bal,Sun 1:00,0/0,0,0,0,10.8,38.1,0.2,1.2,9.2,0.1,4
"Jermaine Kearse, SeaWR",@Dal,Sun 4:25,0/0,0,0,0,0,0,0,2.6,38.2,0.2,3.9
"James Starks, GBRBQ",@Den,Sun 8:30,0/0,0,0,0,7.2,26.5,0.1,1.4,10.9,0.1,3.9
Giants D/STD/ST,@NO,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,3.9
Buccaneers D/STD/ST,@Atl,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,3.8
"David Johnson, AriRB",@Cle,Sun 1:00,0/0,0,0,0,3.1,16,0.2,1.1,12.2,0.1,3.7
"Theo Riddick, DetRB",@KC,Sun 9:30 AM,0/0,0,0,0,3.3,9.9,0.1,3.5,29,0.2,3.7
"Anthony Fasano, TenTE",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,1.9,22.2,0.3,3.7
"Joique Bell, DetRBP",@KC,Sun 9:30 AM,0/0,0,0,0,6.3,20.8,0.2,1,7.1,0,3.6
"Benjamin Cunningham, StLRB",SF,Sun 1:00,0/0,0,0,0,4.7,19.9,0.2,2.4,19.9,0.1,3.5
Ravens D/STD/ST,SD,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,3.4
"Christine Michael, DalRB",Sea,Sun 4:25,0/0,0,0,0,7.2,28.2,0.2,1.2,9.5,0,3.3
"Lance Kendricks, StLTEP",SF,Sun 1:00,0/0,0,0,0,0,0,0,1.9,20.7,0.2,3.3
