,2-pt,avg_yards/rec,comp,comp-%,fan_pts,fl,int,kick_td,pass_att,pass_tds,pass_yards,pass_yards/att,player,punt_td,rec,rec_tds,rec_yards,rush_att,rush_avg,rush_tds,rush_yards
70,0.0,,24.0,63.3,0.0,0.1,1.2,0.0,37.9,1.3,258.0,6.8,"Blake Bortles,JAC",0.0,0.0,0.0,0.0,3.5,7.4,0.0,25.9
71,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Aaron Murray,KC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,,14.7,53.8,0.0,0.2,0.9,0.0,27.3,1.2,181.0,6.6,"Marcus Mariota,TEN",0.0,0.0,0.0,0.0,2.1,6.2,0.1,13.3
73,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,Pages: 1 2 All,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
74,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,Running Backs Week 5 Standard Stats -- Average,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
75,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,Rushing,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
76,0.0,Avg,,,0.0,0.0,0.0,0.0,,0.0,0.0,,Player,0.0,0.0,0.0,0.0,0.0,Avg,0.0,0.0
77,0.0,7.3,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Jeremy Langford,CHI",0.0,1.3,0.0,9.3,3.7,4.7,0.1,17.2
78,0.0,8.7,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Antonio Andrews,TEN",0.0,1.2,0.0,10.2,7.0,4.3,0.2,30.2
79,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Terrance West,TEN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,7.9,,,0.0,0.2,0.0,0.0,,0.0,0.0,,"DeMarco Murray,PHI",0.0,2.9,0.1,22.9,14.5,4.3,0.7,62.0
81,0.0,7.3,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Alfred Blue,HOU",0.0,1.0,0.0,7.1,11.0,3.8,0.2,41.7
82,0.0,8.5,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Cedric Peerman,CIN",0.0,0.0,0.0,0.1,0.0,2.7,0.0,0.1
83,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Jordan Todman,PIT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,3.9,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Mike James,TB",0.0,0.0,0.0,0.1,0.2,3.7,0.0,0.9
85,0.0,6.3,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Carlos Hyde,SF",0.0,1.5,0.0,9.7,13.6,4.7,0.3,63.3
86,0.0,10.9,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Jalston Fowler,TEN",0.0,0.4,0.0,4.5,1.3,3.4,0.1,4.5
87,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Bryce Brown,BUF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,8.9,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Tevin Coleman,ATL",0.0,1.1,0.0,9.6,7.7,4.0,0.5,31.1
89,0.0,12.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Rex Burkhead,CIN",0.0,0.0,0.0,0.5,0.0,4.1,0.0,0.1
90,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Chase Reynolds,STL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,8.2,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Branden Oliver,SD",0.0,0.8,0.0,6.7,1.9,3.7,0.1,7.2
92,0.0,8.4,,,0.0,0.3,0.0,0.0,,0.0,0.0,,"Jamaal Charles,KC",0.0,3.8,0.6,31.5,13.6,5.1,1.0,70.0
93,0.0,7.4,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Christine Michael,DAL",0.0,0.8,0.0,5.8,3.9,4.1,0.1,16.0
94,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Tim Hightower,NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,3.6,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Bernard Pierce,JAC",0.0,0.0,0.0,0.1,0.2,3.3,0.0,0.7
96,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Alonzo Harris,GB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,7.9,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Melvin Gordon,SD",0.0,2.2,0.1,17.7,15.5,4.1,0.3,63.4
98,0.0,8.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Anthony Sherman,KC",0.0,0.8,0.2,6.4,0.1,3.0,0.0,0.2
99,0.0,7.9,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Zach Zenner,DET",0.0,1.0,0.0,7.9,3.8,3.2,0.1,12.1
100,0.0,10.7,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Shane Vereen,NYG",0.0,3.4,0.1,36.5,4.6,3.2,0.1,14.8
101,0.0,9.0,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Dexter McCluster,TEN",0.0,1.9,0.1,16.6,3.7,4.0,0.1,14.9
102,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Isaiah Pead,STL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,6.4,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Mike Davis,SF",0.0,0.0,0.0,0.2,0.3,3.7,0.0,1.0
104,0.0,8.5,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Jarryd Hayne,SF",0.0,0.0,0.0,0.2,0.2,3.3,0.0,0.7
105,0.0,10.5,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Bruce Miller,SF",0.0,1.3,0.1,13.2,0.3,1.9,0.0,0.6
106,0.0,8.4,,,0.0,0.2,0.0,0.0,,0.0,0.0,,"Matt Forte,CHI",0.0,4.6,0.1,38.5,15.8,4.7,0.3,75.0
107,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Marcus Murphy,NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,8.6,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Chris Johnson,ARI",0.0,2.1,0.1,17.9,12.7,3.4,0.2,43.6
109,0.0,7.8,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Khiry Robinson,NO",0.0,1.5,0.0,12.0,5.0,4.3,0.2,21.5
110,0.0,9.3,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Glenn Winston,CLE",0.0,0.0,0.0,0.3,0.2,3.1,0.0,0.5
111,0.0,6.3,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"John Kuhn,GB",0.0,0.7,0.0,4.2,1.5,3.4,0.2,5.1
